,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
120,1900,,,,,,,,,,,,6.68,47.459,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,140754896.0,,,,,,,,
121,1901,67.81,4.53,0.0,,0.0,,,,,,,11.21,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,
122,1902,49.068,5.5,0.0,,0.0,,,,,,,16.71,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,
123,1903,35.697,5.965,0.0,,0.0,,,,,,,22.675,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,
124,1904,12.88,2.921,0.0,,0.0,,,,,,,25.596,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,
125,1905,15.171,3.883,0.0,,0.0,,,,,,,29.479,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,
126,1906,14.187,4.182,0.0,,0.0,,,,,,,33.662,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,
127,1907,10.355,3.485,0.0,,0.0,,,,,,,37.147,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,
128,1908,3.723,1.383,0.0,,0.0,,,,,,,38.53,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,
129,1909,14.77,5.691,0.0,,0.0,,,,,,,44.221,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,
130,1910,13.15,5.815,0.0,,0.0,,,,,,,50.036,332.947,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,150280992.0,,,,,,,,
131,1911,-3.163,-1.583,0.0,,0.035,,,,,,,48.453,,,,,,,,,,,,0.0,,,,,,,,,,0.035,,,,,,,,,,,,,
132,1912,6.005,2.909,0.0,833.333,0.291,,,,,,,51.363,,,,,,,,,,,,0.0,,,,,,,,,,0.326,,,,,,,,,,,,,
133,1913,9.501,4.88,0.0,-53.571,-0.174,,,,,,,56.243,,,,,,,,,,,,0.0,,,,,,,,,,0.151,,,,,,,,,,,,,
134,1914,-1.556,-0.875,0.0,669.231,1.012,,,,,,,55.368,,,,,,,,,,,,0.0,,,,,,,,,,1.163,,,,,,,,,,,,,
135,1915,1.472,0.815,0.0,-70.0,-0.814,,,,,,,56.182,,,,,,,,,,,,0.0,,,,,,,,,,0.349,,,,,,,,,,,,,
136,1916,18.252,10.254,0.0,96.667,0.337,,,,,,,66.437,,,,,,,,,,,,0.0,,,,,,,,,,0.686,,,,,,,,,,,,,
137,1917,8.094,5.377,0.0,133.898,0.919,,,,,,,71.814,,,,,,,,,,,,0.0,,,,,,,,,,1.605,,,,,,,,,,,,,
138,1918,-4.225,-3.034,0.0,105.072,1.686,,,,,,,68.779,,,,,,,,,,,,0.0,,,,,,,,,,3.291,,,,,,,,,,,,,
139,1919,3.719,2.558,0.0,-20.495,-0.675,,,,,,,71.337,,,,,,,,,,,,0.0,,,,,,,,,,2.617,,,,,,,,,,,,,
140,1920,11.518,8.216,0.0,-33.778,-0.884,,,,,,,79.554,482.563,,,,,,,,,,,0.0,0.0,,,,,,,,,1.733,10.511,,,,164856080.0,,,,,,,,
141,1921,-0.596,-0.474,0.0,22.819,0.395,,,,,,,79.079,,,,,,,,,,,,0.0,,,,,,,,,,2.128,,,,,,,,,,,,,
