,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
480,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,53332.903,,,,,,,,,,,,,,,,,33000.0,1.76,,,,,,,
481,1981,,0.0,,,,16.667,0.293,,,,,0.0,0.0,,,,,,,,,60391.672,,,,,,,,,,,,,,,,,34000.0,2.053,,,,,,,
482,1982,,0.0,,,,42.857,0.88,,,,,0.0,0.0,,,,,,,,,83808.847,,,,,,,,,,,,,,,,,35000.0,2.933,,,,,,,
483,1983,,0.0,,,,-40.0,-1.173,,,,,0.0,0.0,,,,,,,,,48888.495,,,,,,,,,,,,,,,,,36000.0,1.76,,,,,,,
484,1984,,0.0,,,,16.667,0.293,,,,,0.0,0.0,,,,,,,,,54034.654,,,,,,,,,,,,,,,,,38000.0,2.053,,,,,,,
485,1985,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,51332.921,,,,,,,,,,,,,,,,,40000.0,2.053,,,,,,,
486,1986,,0.0,,,,-4.049,-0.083,,,,,0.0,0.0,,,,,,,,,48053.225,,,,,,,,,,,,,,,,,41000.0,1.97,,,,,,,
487,1987,,0.0,,,,3.818,0.075,,,,,0.0,0.0,,,,,,,,,47567.43,,,,,,,,,,,,,,,,,43000.0,2.045,,,,,,,
488,1988,,0.0,,,,-2.785,-0.057,,,,,0.0,0.0,,,,,,,,,45191.73,,,,,,,,,,,,,,,,,44000.0,1.988,,,,,,,
489,1989,,0.0,,,,15.156,0.301,,,,,0.0,0.0,,,,,,,,,49778.208,,,,,,,,,,,,,,,,,46000.0,2.29,,,,,,,
490,1990,,0.0,,,,5.18,0.119,,,,,0.0,0.0,,,,,,,,,51242.661,,,,,,,,,,,,,,,,,47000.0,2.408,,,,,,,
491,1991,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,49151.124,,,,,,,,,,,,,,,,,49000.0,2.408,,,,,,,
492,1992,,0.0,,,,2.862,0.069,,,,,0.0,0.0,,,,,,,,,49546.645,,,,,,,,,,,,,,,,,50000.0,2.477,,,,,,,
493,1993,,0.0,,,,-2.715,-0.067,,,,,0.0,0.0,,,,,,,,,47256.172,,,,,,,,,,,,,,,,,51000.0,2.41,,,,,,,
494,1994,,0.0,,,,-2.588,-0.062,,,,,0.0,0.0,,,,,,,,,45148.054,,,,,,,,,,,,,,,,,52000.0,2.348,,,,,,,
495,1995,,0.0,,,,-2.656,-0.062,,,,,0.0,0.0,,,,,,,,,43119.493,,,,,,,,,,,,,,,,,53000.0,2.285,,,,,,,
496,1996,,0.0,,,,0.265,0.006,,,,,0.0,0.0,,,,,,,,,42433.08,,,,,,,,,,,,,,,,,54000.0,2.291,,,,,,,
497,1997,,0.0,,,,2.458,0.056,,,,,0.0,0.0,,,,,,,,,42685.433,,,,,,,,,,,,,,,,,55000.0,2.348,,,,,,,
498,1998,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,41923.193,,,,,,,,,,,,,,,,,56000.0,2.348,,,,,,,
499,1999,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,41187.757,,,,,,,,,,,,,,,,,57000.0,2.348,,,,,,,
500,2000,,0.0,,,,-2.082,-0.049,,,,,0.0,0.0,0.159,0.0,0.0,0.0,0.0,0.0,0.0,,39634.886,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2741.379,58000.0,2.299,0.0,0.0,0.0,0.0,,0.0,0.0
501,2001,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.161,0.0,0.0,0.0,0.0,0.0,0.0,,39634.886,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2775.862,58000.0,2.299,0.0,0.0,0.0,0.0,,0.0,0.0
502,2002,,0.0,,,,1.661,0.038,,,,,0.0,0.0,0.168,0.0,0.0,0.0,0.0,0.0,0.0,,39610.465,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2847.458,59000.0,2.337,0.0,0.0,0.0,0.0,,0.0,0.0
503,2003,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.177,0.0,0.0,0.0,0.0,0.0,0.0,,39610.465,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,3000.0,59000.0,2.337,0.0,0.0,0.0,0.0,,0.0,0.0
504,2004,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.177,0.0,0.0,0.0,0.0,0.0,0.0,,38950.291,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2950.0,60000.0,2.337,0.0,0.0,0.0,0.0,,0.0,0.0
505,2005,,0.0,,,,6.227,0.146,,,,,0.0,0.0,0.178,0.0,0.0,0.0,0.0,0.0,0.0,,41375.816,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2966.667,60000.0,2.483,0.0,0.0,0.0,0.0,,0.0,0.0
506,2006,,0.0,,,,1.695,0.042,,,,,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.0,,42790.427,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,3067.797,59000.0,2.525,0.0,0.0,0.0,0.0,,0.0,0.0
507,2007,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.184,0.0,0.0,0.0,0.0,0.0,0.0,,43528.193,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,3172.414,58000.0,2.525,0.0,0.0,0.0,0.0,,0.0,0.0
508,2008,,0.0,,,,0.274,0.007,,,,,0.0,0.0,0.187,0.0,0.0,0.0,0.0,0.0,0.0,,44413.197,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,3280.702,57000.0,2.532,0.0,0.0,0.0,0.0,,0.0,0.0
509,2009,,0.0,,,,-0.273,-0.007,,,,,0.0,0.0,0.178,0.0,0.0,0.0,0.0,0.0,0.0,,44291.845,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,3122.807,57000.0,2.525,0.0,0.0,0.0,0.0,,0.0,0.0
510,2010,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.159,0.0,0.0,0.0,0.0,0.0,0.0,,45082.771,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2839.286,56000.0,2.525,0.0,0.0,0.0,0.0,,0.0,0.0
511,2011,,0.0,,,,-42.934,-1.084,,,,,0.0,0.0,0.155,0.0,0.0,0.0,0.0,0.0,0.0,,25726.729,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2767.857,56000.0,1.441,0.0,0.0,0.0,0.0,,0.0,0.0
512,2012,,0.0,,,,0.274,0.004,,,,,0.0,0.0,0.157,0.0,0.0,0.0,0.0,0.0,0.0,,25797.217,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2803.571,56000.0,1.445,0.0,0.0,0.0,0.0,,0.0,0.0
513,2013,,0.0,,,,-0.273,-0.004,,,,,0.0,0.0,0.156,0.0,0.0,0.0,0.0,0.0,0.0,,25726.729,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2785.714,56000.0,1.441,0.0,0.0,0.0,0.0,,0.0,0.0
514,2014,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.156,0.0,0.0,0.0,0.0,0.0,0.0,,25726.729,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2785.714,56000.0,1.441,0.0,0.0,0.0,0.0,,0.0,0.0
515,2015,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.163,0.0,0.0,0.0,0.0,0.0,0.0,,25726.729,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2910.714,56000.0,1.441,0.0,0.0,0.0,0.0,,0.0,0.0
516,2016,,0.0,,,,1.645,0.024,,,,,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,,26149.812,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,3035.714,56000.0,1.464,0.0,0.0,0.0,0.0,,0.0,0.0
517,2017,,,,,,,,,,,,,,0.167,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2982.143,56000.0,,0.0,0.0,0.0,0.0,,0.0,0.0
518,2018,,,,,,,,,,,,,,0.163,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2963.636,55000.0,,0.0,0.0,0.0,0.0,,0.0,0.0
519,2019,,,,,,,,,,,,,,0.163,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2963.636,55000.0,,0.0,0.0,0.0,0.0,,0.0,0.0
