,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
520,1900,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2995663.0,,,,,,,,
521,1901,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3021420.0,,,,,,,,
522,1902,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3047127.0,,,,,,,,
523,1903,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3073315.0,,,,,,,,
524,1904,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3099724.0,,,,,,,,
525,1905,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3126354.0,,,,,,,,
526,1906,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3153208.0,,,,,,,,
527,1907,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3179897.0,,,,,,,,
528,1908,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3207199.0,,,,,,,,
529,1909,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3234731.0,,,,,,,,
530,1910,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3262493.0,,,,,,,,
531,1911,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3290373.0,,,,,,,,
532,1912,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3318601.0,,,,,,,,
533,1913,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3347066.0,,,,,,,,
534,1914,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3375770.0,,,,,,,,
535,1915,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3404714.0,,,,,,,,
536,1916,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3433900.0,,,,,,,,
537,1917,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3463331.0,,,,,,,,
538,1918,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3487015.0,,,,,,,,
539,1919,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3512369.0,,,,,,,,
540,1920,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3537908.0,,,,,,,,
541,1921,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3563632.0,,,,,,,,
542,1922,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3589544.0,,,,,,,,
543,1923,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3615643.0,,,,,,,,
544,1924,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3641933.0,,,,,,,,
545,1925,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3668414.0,,,,,,,,
546,1926,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3695087.0,,,,,,,,
547,1927,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3721954.0,,,,,,,,
548,1928,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3749017.0,,,,,,,,
549,1929,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3776276.0,,,,,,,,
550,1930,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3803733.0,,,,,,,,
551,1931,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3831391.0,,,,,,,,
552,1932,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3859249.0,,,,,,,,
553,1933,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3887310.0,,,,,,,,
554,1934,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3915574.0,,,,,,,,
555,1935,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3944045.0,,,,,,,,
556,1936,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3972722.0,,,,,,,,
557,1937,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4001608.0,,,,,,,,
558,1938,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4030704.0,,,,,,,,
559,1939,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4060011.0,,,,,,,,
560,1940,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4093865.0,,,,,,,,
561,1941,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4132344.0,,,,,,,,
562,1942,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4175527.0,,,,,,,,
563,1943,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4219161.0,,,,,,,,
564,1944,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4263251.0,,,,,,,,
565,1945,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4307801.0,,,,,,,,
566,1946,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4352818.0,,,,,,,,
567,1947,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4398304.0,,,,,,,,
568,1948,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4444266.0,,,,,,,,
569,1949,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4490709.0,,,,,,,,
570,1950,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4548000.0,,,,,,,,
571,1951,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4617000.0,,,,,,,,
572,1952,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4713000.0,,,,,,,,
573,1953,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4823000.0,,,,,,,,
574,1954,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4936000.0,,,,,,,,
575,1955,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5043000.0,,,,,,,,
576,1956,,,0.0,,0.093,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.093,18.098,,,,5141000.0,,,,,,,,
577,1957,,,0.0,25.0,0.023,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.116,22.246,,,,5228000.0,,,,,,,,
578,1958,,,0.0,410.0,0.477,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.593,111.764,,,,5307000.0,,,,,,,,
579,1959,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.593,110.227,,,,5381000.0,,,,,,,,
580,1960,,,0.0,31.373,0.186,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.779,142.843,,,,5455000.0,,,,,,,,
581,1961,,,0.0,55.224,0.43,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,1.21,218.68,,,,5531000.0,,,,,,,,
582,1962,,,0.0,352.885,4.268,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,5.478,976.771,,,,5608000.0,,,,,,,,
583,1963,,,0.0,69.851,3.826,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,9.304,1638.318,,,,5679000.0,,,,,,,,
584,1964,,,0.0,13.125,1.221,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,10.525,1835.25,,,,5735000.0,,,,,,,,
585,1965,,,,-27.742,-2.92,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,7.605,1317.845,,,,5771000.0,,,,,,,,
586,1966,,,,-3.664,-0.279,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,7.327,1267.362,,,,5781000.0,,,,,,,,
587,1967,,,,-14.897,-1.091,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,6.235,1079.87,,,,5774000.0,,,,,,,,
588,1968,,,,39.665,2.473,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,8.708,1508.721,,,,5772000.0,,,,,,,,
589,1969,,,,227.733,19.832,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,28.54,4917.321,,,,5804000.0,,,,,,,,
590,1970,,,,106.062,30.27,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,58.81,9984.775,,,,5890000.0,,,,,,,,
591,1971,,,,12.952,7.617,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,66.427,10996.064,,,,6041000.0,,,,,,,,
592,1972,,,,23.353,15.512,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,81.94,13112.446,,,,6249000.0,,,,,,,,
593,1973,,,,15.842,12.981,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,94.921,14609.96,,,,6497000.0,,,,,,,,
594,1974,,,,4.477,4.25,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,99.171,14665.865,,,,6762000.0,,,,,,,,
595,1975,,,,-8.781,-8.708,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,90.462,12879.02,,,,7024000.0,,,,,,19102709760.0,,
596,1976,,,,-2.914,-2.636,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,87.827,12064.082,,,,7280000.0,,,,,,17335730176.0,,
