,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
640,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,28386.868,,,,,,,,,,,,,,,,,62000.0,1.76,,,,,,,
641,1981,,0.0,,,,-16.667,-0.293,,,,,0.0,0.0,,,,,,,,,23655.722,,,,,,,,,,,,,,,,,62000.0,1.467,,,,,,,
642,1982,,0.0,,,,40.0,0.587,,,,,0.0,0.0,,,,,,,,,33118.014,,,,,,,,,,,,,,,,,62000.0,2.053,,,,,,,
643,1983,,0.0,,,,-42.857,-0.88,,,,,0.0,0.0,,,,,,,,,18924.578,,,,,,,,,,,,,,,,,62000.0,1.173,,,,,,,
644,1984,,0.0,,,,25.0,0.293,,,,,0.0,0.0,,,,,,,,,23655.722,,,,,,,,,,,,,,,,,62000.0,1.467,,,,,,,
645,1985,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,23655.722,,,,,,,,,,,,,,,,,62000.0,1.467,,,,,,,
646,1986,,0.0,,,,-7.512,-0.11,,,,,0.0,0.0,,,,,,,,,21878.677,,,,,,,,,,,,,,,,,62000.0,1.356,,,,,,,
647,1987,,0.0,,,,24.469,0.332,,,,,0.0,0.0,,,,,,,,,27232.078,,,,,,,,,,,,,,,,,62000.0,1.688,,,,,,,
648,1988,,0.0,,,,0.267,0.005,,,,,0.0,0.0,,,,,,,,,27304.908,,,,,,,,,,,,,,,,,62000.0,1.693,,,,,,,
649,1989,,0.0,,,,-0.267,-0.005,,,,,0.0,0.0,,,,,,,,,27232.078,,,,,,,,,,,,,,,,,62000.0,1.688,,,,,,,
650,1990,,0.0,,,,3.694,0.062,,,,,0.0,0.0,,,,,,,,,27789.756,,,,,,,,,,,,,,,,,63000.0,1.751,,,,,,,
651,1991,,0.0,,,,-0.35,-0.006,,,,,0.0,0.0,,,,,,,,,27692.549,,,,,,,,,,,,,,,,,63000.0,1.745,,,,,,,
652,1992,,0.0,,,,0.268,0.005,,,,,0.0,0.0,,,,,,,,,27332.815,,,,,,,,,,,,,,,,,64000.0,1.749,,,,,,,
653,1993,,0.0,,,,-0.267,-0.005,,,,,0.0,0.0,,,,,,,,,26433.797,,,,,,,,,,,,,,,,,66000.0,1.745,,,,,,,
654,1994,,0.0,,,,7.054,0.123,,,,,0.0,0.0,,,,,,,,,27876.157,,,,,,,,,,,,,,,,,67000.0,1.868,,,,,,,
655,1995,,0.0,,,,6.615,0.124,,,,,0.0,0.0,,,,,,,,,28858.788,,,,,,,,,,,,,,,,,69000.0,1.991,,,,,,,
656,1996,,0.0,,,,0.268,0.005,,,,,0.0,0.0,,,,,,,,,28522.884,,,,,,,,,,,,,,,,,70000.0,1.997,,,,,,,
657,1997,,0.0,,,,2.773,0.055,,,,,0.0,0.0,,,,,,,,,28499.485,,,,,,,,,,,,,,,,,72000.0,2.052,,,,,,,
658,1998,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,28109.081,,,,,,,,,,,,,,,,,73000.0,2.052,,,,,,,
659,1999,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,27359.581,,,,,,,,,,,,,,,,,75000.0,2.052,,,,,,,
660,2000,,0.0,,,,4.199,0.086,,,,,0.0,0.0,0.141,0.0,0.0,0.0,0.0,0.0,0.0,,28133.245,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1855.263,76000.0,2.138,0.0,0.0,0.0,0.0,,0.0,0.0
661,2001,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.161,0.0,0.0,0.0,0.0,0.0,0.0,,27767.879,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2090.909,77000.0,2.138,0.0,0.0,0.0,0.0,,0.0,0.0
662,2002,,0.0,,,,7.208,0.154,,,,,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,,29387.598,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2307.692,78000.0,2.292,0.0,0.0,0.0,0.0,,0.0,0.0
663,2003,,0.0,,,,5.107,0.117,,,,,0.0,0.0,0.198,0.0,0.0,0.0,0.0,0.0,0.0,,30497.377,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2506.329,79000.0,2.409,0.0,0.0,0.0,0.0,,0.0,0.0
664,2004,,0.0,,,,3.718,0.09,,,,,0.0,0.0,0.208,0.0,0.0,0.0,0.0,0.0,0.0,,31235.899,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2600.0,80000.0,2.499,0.0,0.0,0.0,0.0,,0.0,0.0
