,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
680,1900,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4756635.0,,,,,,23113025536.0,,
681,1901,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4929644.0,,,,,,24043382784.0,,
682,1902,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5094954.0,,,,,,23544180736.0,,
683,1903,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5285563.0,,,,,,26932004864.0,,
684,1904,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5485838.0,,,,,,29817030656.0,,
685,1905,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5696234.0,,,,,,33751775232.0,,
686,1906,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5914645.0,,,,,,35444785152.0,,
687,1907,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6121229.0,,,,,,36190081024.0,,
688,1908,,0.0,0.0,,0.023,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.023,3.66,,,,6355959.0,,,,,,39726366720.0,,
689,1909,,0.0,0.0,50.0,0.012,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.035,5.287,,,,6599705.0,,,,,,41716224000.0,,
690,1910,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.035,5.091,,,,6852669.0,,,,,,44755292160.0,,
691,1911,,0.0,0.0,-33.333,-0.012,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.023,3.272,,,,7108577.0,,,,,,45547864064.0,,
692,1912,,0.0,0.0,250.0,0.058,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.081,11.029,,,,7381312.0,,,,,,49283190784.0,,
693,1913,,0.0,0.0,171.429,0.14,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.221,28.907,,,,7644045.0,,,,,,49782763520.0,,
694,1914,,0.0,0.0,110.526,0.244,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.465,59.047,,,,7878423.0,,,,,,44605444096.0,,
695,1915,,0.0,0.0,85.0,0.395,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.861,106.648,,,,8069762.0,,,,,,44848033792.0,,
696,1916,,0.0,0.0,70.27,0.605,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,1.465,177.987,,,,8233077.0,,,,,,43556671488.0,,
697,1917,,0.0,0.0,40.476,0.593,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,2.059,245.586,,,,8382047.0,,,,,,40019345408.0,,
698,1918,,0.0,0.0,10.734,0.221,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,2.279,267.205,,,,8530833.0,,,,,,47394152448.0,,
699,1919,,0.0,0.0,-1.531,-0.035,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,2.245,258.197,,,,8693347.0,,,,,,49135550464.0,,
700,1920,,0.0,0.0,23.834,0.535,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,2.78,312.842,,,,8884894.0,,,,,,52714090496.0,,
701,1921,,0.0,0.0,26.36,0.733,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,3.512,385.237,,,,9117153.0,,,,,,54061031424.0,,
702,1922,,0.0,0.0,45.364,1.593,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,5.106,543.177,,,,9399467.0,,,,,,58343903232.0,,
703,1923,,0.0,0.0,13.212,0.675,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,5.78,594.632,,,,9720491.0,,,,,,64813637632.0,,
704,1924,,0.0,0.0,36.217,2.093,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,7.874,783.368,,,,10050859.0,,,,,,69845139456.0,,
705,1925,,0.0,0.0,31.019,2.442,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,10.316,995.139,,,,10366210.0,,,,,,69543608320.0,,
706,1926,,0.0,0.0,29.2,3.012,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,13.328,1249.083,,,,10670216.0,,,,,,72880979968.0,,
707,1927,,0.0,0.0,9.686,1.291,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,14.619,1331.588,,,,10978559.0,,,,,,78059831296.0,,
708,1928,,0.0,0.0,4.853,0.709,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,15.328,1357.423,,,,11292242.0,,,,,,82933981184.0,,
709,1929,,0.0,2.885,3.338,0.512,,,,,,,0.0,0.0,,,,,,,,,,,2.885,248.654,,,,,,,,,15.84,1365.18,,,,11602921.0,,,,,,86719750144.0,,
710,1930,,0.0,0.323,-4.185,-0.663,,,,,,,0.0,0.0,,,,,,,,,,,3.208,269.637,,,,,,,,,15.177,1275.579,,,,11898250.0,,,,,,83129245696.0,,
711,1931,,0.0,0.323,26.59,4.036,,,,,,,0.0,0.0,,,,,,,,,,,3.531,290.2,,,,,,,,,19.213,1578.888,,,,12168551.0,,,,,,77357785088.0,,
712,1932,,0.0,0.323,13.499,2.593,,,,,,,0.0,0.0,,,,,,,,,,,3.854,310.56,,,,,,,,,21.806,1756.99,,,,12411154.0,,,,,,74821263360.0,,
713,1933,,0.0,0.323,4.053,0.884,,,,,,,0.0,0.0,,,,,,,,,,,4.178,330.663,,,,,,,,,22.69,1795.997,,,,12633735.0,,,,,,78300471296.0,,
714,1934,,0.0,0.323,2.409,0.547,,,,,,,0.0,0.0,,,,,,,,,,,4.501,350.298,,,,,,,,,23.237,1808.593,,,,12847974.0,,,,,,84524720128.0,,
715,1935,,0.0,0.323,1.952,0.454,,,,,,,0.0,0.0,,,,,,,,,,,4.824,369.335,,,,,,,,,23.69,1813.885,,,,13060544.0,,,,,,88255700992.0,,
716,1936,,0.0,0.323,8.591,2.035,,,,,,,0.0,0.0,,,,,,,,,,,5.147,387.577,,,,,,,,,25.726,1937.247,,,,13279454.0,,,,,,88855257088.0,,
717,1937,,0.0,0.323,5.787,1.489,,,,,,,0.0,0.0,,,,,,,,,,,5.47,404.988,,,,,,,,,27.214,2014.917,,,,13506374.0,,,,,,95333826560.0,,
718,1938,,0.0,0.067,4.444,1.21,,,,,,,0.0,0.0,,,,,,,,,,,5.537,402.725,,,,,,,,,28.424,2067.486,,,,13747976.0,,,,,,95724896256.0,,
719,1939,,0.007,0.067,8.961,2.547,,,,,,,0.007,0.491,,,,,,,,,,,5.603,400.97,,,,,,,,,30.971,2216.221,,,,13974562.0,,,,,,99356319744.0,,
720,1940,0.0,0.0,0.067,10.702,3.315,,,,,,,0.007,0.483,,,,,,,,,,,5.67,399.281,,,,,,,,,34.285,2414.317,,,,14200814.0,,,,,,101000000000.0,,
721,1941,0.0,0.0,0.067,6.852,2.349,,,,,,,0.007,0.476,,,,,,,,,,,5.737,397.866,,,,,,,,,36.635,2540.702,,,,14419057.0,,,,,,106000000000.0,,
722,1942,300.0,0.021,0.067,7.683,2.814,,,,,,,0.027,1.873,,,,,,,,,,,5.804,396.006,,,,,,,,,39.449,2691.786,,,,14655320.0,,,,,,107000000000.0,,
723,1943,125.0,0.034,0.067,4.746,1.872,,,,,,,0.062,4.146,,,,,,,,,,,5.87,394.028,,,,,,,,,41.321,2773.574,,,,14898257.0,,,,,,107000000000.0,,
724,1944,-44.444,-0.027,0.067,-2.42,-1.0,,,,,,,0.034,2.265,,,,,,,,,,,5.937,391.906,,,,,,,,,40.321,2661.608,,,,15149203.0,,,,,,119000000000.0,,
725,1945,-40.0,-0.014,0.067,-5.567,-2.245,,,,,,,0.021,1.336,,,,,,,,,,,6.004,389.642,,,,,,,,,38.077,2471.147,,,,15408492.0,,,,,,115000000000.0,,
726,1946,0.0,0.0,0.067,-9.102,-3.466,,,,,,,0.021,1.313,,,,,,,,,,,6.071,387.165,,,,,,,,,34.611,2207.404,,,,15679460.0,,,,,,125000000000.0,,
727,1947,366.666,0.075,0.182,5.04,1.745,,,,,,,0.096,6.01,,,,,,,,,,,6.253,391.159,,,,,,,,,36.355,2274.279,,,,15985468.0,,,,,,139000000000.0,,
728,1948,28.572,0.027,-1.459,6.302,2.291,,,,,,,0.124,7.557,,,,,,,,,,,4.794,293.281,,,,,,,,,38.647,2364.154,,,,16346870.0,,,,,,147000000000.0,,
729,1949,0.0,0.0,2.327,-2.738,-1.058,,,,,,,0.124,7.375,,,,,,,,,,,7.122,425.169,,,,,,,,,37.588,2244.058,,,,16750098.0,,,,,,145000000000.0,,
730,1950,44.444,0.055,0.976,3.868,1.454,,,,,,,0.178,10.473,,,,,,,,,,,8.098,475.268,,,,,,,,,39.042,2291.463,,,,17038000.0,,,,,,146000000000.0,,
731,1951,53.846,0.096,0.804,4.29,1.675,,,,,,,0.275,15.786,,,,,,,,,,,8.902,511.904,,,,,,,,,40.717,2341.384,,,,17390000.0,,,,,,148000000000.0,,
732,1952,180.0,0.494,0.729,1.457,0.593,,,,,,,0.769,43.321,,,,,,,,,,,9.631,542.825,,,,,,,,,41.31,2328.23,,,,17743000.0,,,,,,135000000000.0,,
733,1953,-25.893,-0.199,-2.145,14.865,6.141,,,,,,,0.57,31.481,,,,,,,,,,,7.486,413.744,,,,,,,,,47.45,2622.44,,,,18094000.0,,,,,,146000000000.0,,
734,1954,12.048,0.069,0.097,3.652,1.733,,,,,,,0.638,34.606,,,,,,,,,,,7.583,411.148,,,,,,,,,49.183,2666.774,,,,18443000.0,,,,,,153000000000.0,,
735,1955,46.237,0.295,0.129,3.216,1.582,,,,,,,0.933,49.675,,,,,,,,,,,7.712,410.427,,,,,,,,,50.765,2701.846,,,,18789000.0,,,,,,164000000000.0,,
736,1956,19.118,0.178,0.483,1.649,0.837,,,,,,,1.112,58.111,,,,,,,,,,,8.194,428.295,,,,,,,,,51.602,2697.175,,,,19132000.0,,,,,,168000000000.0,,
737,1957,42.593,0.474,0.944,9.488,4.896,,,,,,,1.585,81.416,,,,,,,,,,,9.138,469.288,,,,,,,,,56.499,2901.53,,,,19472000.0,,,,,,178000000000.0,,
738,1958,12.987,0.206,0.15,5.023,2.838,,,,,,,1.791,90.419,,,,,,,,,,,9.288,468.861,,,,,,,,,59.336,2995.27,,,,19810000.0,,,,,,191000000000.0,,
739,1959,15.326,0.275,-0.054,25.01,14.84,,,,,,,2.066,102.538,,,,,,,,,,,9.235,458.379,,,,,,,,,74.176,3681.932,,,,20146000.0,,,,,,176000000000.0,,
740,1960,-9.967,-0.206,5.599,43.274,32.099,,,,,,,1.86,90.804,,,,,,,,,,,14.833,724.203,,,,,,,,,106.275,5188.703,,,,20482000.0,,,,,,184000000000.0,,
741,1961,25.461,0.474,10.446,28.606,30.401,,,,,,,2.333,112.09,,,,,,,,,,,25.28,1214.372,,,,,,,,,136.676,6565.589,,,,20817000.0,,,,,,198000000000.0,,
742,1962,-15.882,-0.371,6.66,16.704,22.83,,,,,,,1.963,92.79,,,,,,,,,,,31.94,1509.952,,,,,,,,,159.506,7540.565,,,,21153000.0,,,,,,196000000000.0,,
743,1963,-27.622,-0.542,4.59,-1.086,-1.733,,,,,,,1.421,66.109,,,,,,,,,,,36.53,1699.961,,,,,,,,,157.773,7342.022,,,,21489000.0,,,,,,192000000000.0,,
