,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
801,1992,,,,,,,,,,,,0.0,0.0,,,,,,,,5.059,16504.978,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3443000.0,56.827,,,,,11232522240.0,,
802,1993,,0.0,0.0,,0.0,-24.882,-14.14,,,,,0.0,0.0,,,,,,,,4.207,12693.167,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3363000.0,42.687,,,,,10147409920.0,,
803,1994,,0.0,0.0,,0.0,-9.391,-4.009,,,,,0.0,0.0,,,,,,,,4.675,11777.849,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3284000.0,38.678,,,,,8274240000.0,,
804,1995,,0.0,0.0,,0.0,-1.453,-0.562,,,,,0.0,0.0,,,,,,,,4.402,11848.414,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3217000.0,38.116,,,,,8658544640.0,,
805,1996,,0.0,0.0,,0.0,26.367,10.05,,,,,0.0,0.0,,,,,,,,5.114,15204.081,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3168000.0,48.167,,,,,9417674752.0,,
806,1997,,0.0,0.0,,0.0,-15.059,-7.254,,,,,0.0,0.0,,,,,,,,4.159,13058.725,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3133000.0,40.913,,,,,9836334080.0,,
807,1998,,0.0,0.0,,0.0,7.079,2.896,,,,,0.0,0.0,,,,,,,,4.978,14091.086,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3109000.0,43.809,,,,,8800092160.0,,
808,1999,,0.0,0.0,,0.0,-39.415,-17.267,,,,,0.0,0.0,,,,,,,,2.728,8592.337,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3089000.0,26.542,,,,,9729720320.0,,
809,2000,,0.0,0.0,,0.0,8.795,2.334,,,,,0.0,0.0,5.618,1.248,1.84,0.0,1.248,0.0,0.0,2.929,9405.922,,0.0,0.0,22.212,406.515,54.961,3.088,1005.863,32.749,599.349,,0.0,0.0,0.0,0.0,1830.124,3070000.0,28.876,406.515,22.212,0.0,0.0,9858983936.0,0.0,0.0
810,2001,,0.0,0.0,,0.0,-2.026,-0.585,,,,,0.0,0.0,5.568,0.958,1.987,0.0,0.958,0.0,0.0,2.719,9272.737,,0.0,0.0,17.207,313.995,52.895,2.945,965.257,35.689,651.262,,0.0,0.0,0.0,0.0,1824.844,3051000.0,28.291,313.995,17.207,0.0,0.0,10404185088.0,0.0,0.0
811,2002,,0.0,0.0,,0.0,-4.258,-1.205,,,,,0.0,0.0,5.215,1.641,2.09,0.0,1.641,0.0,0.0,2.405,8927.605,,0.0,0.0,31.465,540.87,71.54,3.731,1229.73,40.075,688.86,,0.0,0.0,0.0,0.0,1718.939,3034000.0,27.086,540.87,31.465,0.0,0.0,11264486400.0,0.0,0.0
812,2003,,0.0,0.0,,0.0,10.409,2.819,,,,,0.0,0.0,5.212,1.962,1.82,0.0,1.962,0.0,0.0,2.328,9909.138,,0.0,0.0,37.646,650.099,72.567,3.782,1253.148,34.921,603.048,,0.0,0.0,0.0,0.0,1726.885,3018000.0,29.906,650.099,37.646,0.0,0.0,12845384704.0,0.0,0.0
813,2004,,0.0,0.0,,0.0,4.551,1.361,,,,,0.0,0.0,5.904,1.978,2.205,0.0,1.978,0.0,0.0,2.285,10418.785,,0.0,0.0,33.502,659.114,70.849,4.183,1393.869,37.347,734.755,,0.0,0.0,0.0,0.0,1967.391,3001000.0,31.267,659.114,33.502,0.0,0.0,13681249280.0,0.0,0.0
814,2005,,0.0,0.0,,0.0,15.915,4.976,,,,,0.0,0.0,5.978,1.755,2.504,0.0,1.756,0.0,0.001,2.375,12157.992,,0.0,0.0,29.356,588.729,71.257,4.26,1429.051,41.885,839.987,,0.0,0.0,0.0,0.0,2005.475,2981000.0,36.243,589.064,29.373,0.0,0.0,15262571520.0,0.017,0.335
815,2006,,0.0,0.0,,0.0,-1.091,-0.395,,,,,0.0,0.0,5.617,1.807,2.422,0.0,1.808,0.0,0.001,2.052,12118.905,,0.0,0.0,32.168,610.886,75.301,4.23,1430.02,43.116,818.796,,0.0,0.0,0.0,0.0,1899.067,2958000.0,35.848,611.224,32.185,0.0,0.0,17466900480.0,0.018,0.338
816,2007,,0.0,0.0,,0.0,11.557,4.143,,,,,0.0,0.0,5.584,1.834,2.348,0.0,1.837,0.0,0.003,2.011,13634.72,,0.0,0.0,32.841,625.29,74.937,4.185,1426.8,42.042,800.488,,0.0,0.0,0.0,0.0,1904.011,2933000.0,39.991,626.313,32.894,0.0,0.0,19888445440.0,0.054,1.023
817,2008,,0.0,0.0,,0.0,-3.501,-1.4,,,,,0.0,0.0,5.466,1.779,2.266,0.0,1.781,0.0,0.002,1.782,13270.492,,0.0,0.0,32.545,611.771,74.034,4.047,1391.688,41.453,779.23,,0.0,0.0,0.0,0.0,1879.79,2908000.0,38.591,612.459,32.581,0.0,0.0,21660479488.0,0.037,0.688
818,2009,,0.0,0.0,,0.0,-10.74,-4.145,,,,,0.0,0.0,5.378,1.999,2.29,0.0,2.003,0.0,0.004,1.696,11927.306,,0.0,0.0,37.172,692.175,79.829,4.293,1486.496,42.583,792.936,,0.0,0.0,0.0,0.0,1862.105,2888000.0,34.446,693.56,37.246,0.0,0.0,20310546432.0,0.074,1.385
819,2010,,0.0,0.0,,0.0,13.888,4.784,,,,,0.0,0.0,6.176,2.53,2.287,0.0,2.537,0.0,0.007,1.747,13635.718,,0.0,0.0,40.967,879.388,78.112,4.824,1676.747,37.032,794.925,,0.0,0.0,0.0,0.0,2146.583,2877000.0,39.23,881.821,41.08,0.0,0.0,22459838464.0,0.113,2.433
820,2011,,0.0,0.0,,0.0,6.201,2.433,,,,,0.0,0.0,7.071,2.464,2.357,0.0,2.467,0.0,0.003,1.676,14481.266,,0.0,0.0,34.849,856.448,68.226,4.824,1676.747,33.335,819.256,,0.0,0.0,0.0,0.0,2457.629,2877000.0,41.663,857.49,34.891,0.0,0.0,24861704192.0,0.042,1.043
821,2012,,0.0,0.0,,0.0,7.527,3.136,,,,,0.0,0.0,7.622,2.299,2.124,0.0,2.303,0.0,0.004,1.73,15533.461,,0.0,0.0,30.162,797.157,58.081,4.427,1535.021,27.866,736.477,,0.0,0.0,0.0,0.0,2642.878,2884000.0,44.799,798.544,30.215,0.0,0.0,25898418176.0,0.052,1.387
822,2013,,0.0,0.0,,0.0,-2.908,-1.303,,,,,0.0,0.0,7.306,2.151,2.168,0.0,2.155,0.0,0.004,1.647,15008.882,,0.0,0.0,29.443,742.236,59.174,4.323,1491.718,29.676,748.102,,0.0,0.0,0.0,0.0,2520.918,2898000.0,43.496,743.616,29.498,0.0,0.0,26405591040.0,0.055,1.38
823,2014,,0.0,0.0,,0.0,1.707,0.742,,,,,0.0,0.0,7.334,1.972,2.266,0.0,1.976,0.0,0.004,1.632,15191.636,,0.0,0.0,26.89,677.198,57.843,4.242,1456.731,30.899,778.159,,0.0,0.0,0.0,0.0,2518.427,2912000.0,44.238,678.571,26.944,0.0,0.0,27113279488.0,0.055,1.374
824,2015,,0.0,0.0,,0.0,-8.449,-3.738,,,,,0.0,0.0,7.392,2.184,2.571,0.0,2.188,0.001,0.003,1.45,13841.587,,0.0,0.0,29.546,746.411,64.381,4.759,1626.452,34.781,878.674,,0.0,0.0,0.0,0.0,2526.295,2926000.0,40.5,747.779,29.6,0.014,0.342,27930048512.0,0.041,1.025
825,2016,,0.0,0.0,,0.0,3.891,1.576,,,,,0.0,0.0,6.951,2.327,2.195,0.0,2.33,0.001,0.002,1.503,14331.248,,0.0,0.0,33.477,792.575,65.097,4.525,1541.213,31.578,747.616,,0.0,0.0,0.0,0.0,2367.554,2936000.0,42.077,793.597,33.52,0.014,0.341,27987372032.0,0.029,0.681
826,2017,,,,,,,,,,,,,,7.362,2.246,2.411,0.0,2.251,0.003,0.002,,,,,,30.509,762.649,63.328,4.662,1583.022,32.751,818.676,,,,0.0,0.0,2499.722,2945000.0,,764.346,30.577,0.041,1.019,,0.027,0.679
827,2018,,,,,,,,,,,,,,7.387,2.295,1.898,0.0,2.316,0.019,0.002,,,,,,31.065,777.378,57.042,4.214,1427.446,25.693,642.954,,,,0.0,0.0,2502.459,2952000.0,,784.492,31.349,0.257,6.436,,0.027,0.678
828,2019,,,,,,,,,,,,,,7.256,2.347,2.029,0.0,2.363,0.013,0.003,,,,,,32.348,793.54,60.529,4.392,1484.885,27.961,685.936,,,,0.0,0.0,2453.168,2958000.0,,798.949,32.568,0.179,4.395,,0.041,1.014
