,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
829,1986,,,,,,,,,,,,0.0,0.0,,,,,,,,,6769.278,,,,,,,,,,,,,,,,,63000.0,0.426,,,,,,,
830,1987,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,6878.46,,,,,,,,,,,,,,,,,62000.0,0.426,,,,,,,
831,1988,,0.0,,,,283.126,1.207,,,,,0.0,0.0,,,,,,,,,26785.221,,,,,,,,,,,,,,,,,61000.0,1.634,,,,,,,
832,1989,,0.0,,,,32.932,0.538,,,,,0.0,0.0,,,,,,,,,35606.051,,,,,,,,,,,,,,,,,61000.0,2.172,,,,,,,
833,1990,,0.0,,,,5.621,0.122,,,,,0.0,0.0,,,,,,,,,37000.746,,,,,,,,,,,,,,,,,62000.0,2.294,,,,,,,
834,1991,,0.0,,,,9.087,0.208,,,,,0.0,0.0,,,,,,,,,38499.945,,,,,,,,,,,,,,,,,65000.0,2.502,,,,,,,
835,1992,,0.0,,,,9.843,0.246,,,,,0.0,0.0,,,,,,,,,40423.658,,,,,,,,,,,,,,,,,68000.0,2.749,,,,,,,
836,1993,,0.0,,,,1.602,0.044,,,,,0.0,0.0,,,,,,,,,38789.646,,,,,,,,,,,,,,,,,72000.0,2.793,,,,,,,
837,1994,,0.0,,,,9.72,0.271,,,,,0.0,0.0,,,,,,,,,39796.202,,,,,,,,,,,,,,,,,77000.0,3.064,,,,,,,
838,1995,,0.0,,,,13.18,0.404,,,,,0.0,0.0,,,,,,,,,43352.266,,,,,,,,,,,,,,,,,80000.0,3.468,,,,,,,
839,1996,,0.0,,,,-34.092,-1.182,,,,,0.0,0.0,,,,,,,,,27539.813,,,,,,,,,,,,,,,,,83000.0,2.286,,,,,,,
840,1997,,0.0,,,,61.722,1.411,,,,,0.0,0.0,,,,,,,,,43490.113,,,,,,,,,,,,,,,,,85000.0,3.697,,,,,,,
841,1998,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,42490.34,,,,,,,,,,,,,,,,,87000.0,3.697,,,,,,,
842,1999,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,41535.558,,,,,,,,,,,,,,,,,89000.0,3.697,,,,,,,
843,2000,,0.0,,,,19.602,0.725,,,,,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,,48585.482,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,8021.978,91000.0,4.421,0.0,0.0,0.0,0.0,,0.0,0.0
844,2001,,0.0,,,,3.471,0.153,,,,,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,,49190.923,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,8172.043,93000.0,4.575,0.0,0.0,0.0,0.0,,0.0,0.0
845,2002,,0.0,,,,3.371,0.154,,,,,0.0,0.0,0.775,0.0,0.0,0.0,0.0,0.0,0.0,,49778.552,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,8157.895,95000.0,4.729,0.0,0.0,0.0,0.0,,0.0,0.0
846,2003,,0.0,,,,11.36,0.537,,,,,0.0,0.0,0.791,0.0,0.0,0.0,0.0,0.0,0.0,,54290.27,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,8154.639,97000.0,5.266,0.0,0.0,0.0,0.0,,0.0,0.0
847,2004,,0.0,,,,4.284,0.226,,,,,0.0,0.0,0.813,0.0,0.0,0.0,0.0,0.0,0.0,,55472.046,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,8212.121,99000.0,5.492,0.0,0.0,0.0,0.0,,0.0,0.0
848,2005,,0.0,,,,7.99,0.439,,,,,0.0,0.0,0.855,0.0,0.0,0.0,0.0,0.0,0.0,,59305.478,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,8550.0,100000.0,5.931,0.0,0.0,0.0,0.0,,0.0,0.0
849,2006,,0.0,,,,-0.191,-0.011,,,,,0.0,0.0,0.854,0.0,0.0,0.0,0.0,0.0,0.0,,58606.428,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,8455.446,101000.0,5.919,0.0,0.0,0.0,0.0,,0.0,0.0
850,2007,,0.0,,,,3.048,0.18,,,,,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,,60392.508,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,8712.871,101000.0,6.1,0.0,0.0,0.0,0.0,,0.0,0.0
851,2008,,0.0,,,,-6.061,-0.37,,,,,0.0,0.0,0.859,0.0,0.0,0.0,0.0,0.0,0.0,,56732.274,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,8504.95,101000.0,5.73,0.0,0.0,0.0,0.0,,0.0,0.0
852,2009,,0.0,,,,-0.306,-0.018,,,,,0.0,0.0,0.899,0.0,0.0,0.0,0.03,0.0,0.03,,56558.53,,,,0.0,0.0,3.337,0.03,297.03,0.0,0.0,,,,0.0,0.0,8900.99,101000.0,5.712,297.03,3.337,0.0,0.0,,3.337,297.03
853,2010,,0.0,,,,-6.132,-0.35,,,,,0.0,0.0,0.89,0.0,0.0,0.0,0.106,0.0,0.106,,52569.717,,,,0.0,0.0,11.92,0.106,1040.196,0.0,0.0,,,,0.0,0.0,8726.471,102000.0,5.362,1040.196,11.92,0.011,0.98,,11.909,1039.216
854,2011,,0.0,,,,1.021,0.055,,,,,0.0,0.0,0.882,0.0,0.0,0.0,0.114,0.0,0.113,,53106.267,,,,0.0,0.0,12.861,0.114,1112.745,0.0,0.0,,,,0.0,0.0,8651.961,102000.0,5.417,1112.745,12.861,0.057,4.902,,12.805,1107.843
855,2012,,0.0,,,,-1.106,-0.06,,,,,0.0,0.0,0.868,0.0,0.0,0.0,0.137,0.002,0.135,,52008.844,,,,0.0,0.0,15.783,0.137,1330.097,0.0,0.0,,,,0.0,0.0,8427.184,103000.0,5.357,1330.097,15.783,0.23,19.417,,15.553,1310.68
856,2013,,0.0,,,,-3.203,-0.172,,,,,0.0,0.0,0.895,0.0,0.0,0.0,0.153,0.002,0.151,,50342.756,,,,0.0,0.0,17.095,0.153,1485.437,0.0,0.0,,,,0.0,0.0,8689.32,103000.0,5.185,1485.437,17.095,0.223,19.417,,16.872,1466.019
857,2014,,0.0,,,,1.513,0.078,,,,,0.0,0.0,0.894,0.0,0.0,0.0,0.162,0.009,0.153,,50612.996,,,,0.0,0.0,18.085,0.162,1553.891,0.0,0.0,,,,0.0,0.0,8592.353,104000.0,5.264,1553.891,18.085,0.963,82.738,,17.122,1471.154
858,2015,,0.0,,,,3.085,0.162,,,,,0.0,0.0,0.922,0.0,0.0,0.0,0.176,0.011,0.165,,52174.2,,,,0.0,0.0,19.064,0.176,1689.538,0.0,0.0,,,,0.0,0.0,8862.615,104000.0,5.426,1689.538,19.064,1.162,103.0,,17.901,1586.538
859,2016,,0.0,,,,-0.142,-0.008,,,,,0.0,0.0,0.91,0.0,0.0,0.005,0.15,0.011,0.134,,51604.092,,,,0.0,0.0,16.439,0.15,1423.924,0.0,0.0,,,,45.714,0.528,8662.019,105000.0,5.418,1423.924,16.439,1.178,102.019,,14.733,1276.19
860,2017,,,,,,,,,,,,,,0.934,0.0,0.0,0.0,0.144,0.011,0.133,,,,,,0.0,0.0,15.391,0.144,1368.686,0.0,0.0,,,,0.0,0.0,8892.495,105000.0,,1368.686,15.391,1.147,102.019,,14.244,1266.667
861,2018,,,,,,,,,,,,,,0.967,0.0,0.0,0.0,0.147,0.011,0.136,,,,,,0.0,0.0,15.176,0.147,1384.075,0.0,0.0,,,,0.0,0.0,9119.925,106000.0,,1384.075,15.176,1.108,101.057,,14.068,1283.019
862,2019,,,,,,,,,,,,,,0.991,0.0,0.0,0.0,0.147,0.011,0.136,,,,,,0.0,0.0,14.799,0.147,1384.075,0.0,0.0,,,,0.0,0.0,9352.629,106000.0,,1384.075,14.799,1.081,101.057,,13.718,1283.019
