,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
863,1965,,,,,,,,,,,2780.734,,,,,,,,,,,,56.232,,,,,,,,,,1896.864,521.398,,,,,,5172.048,,,,,,,
864,1966,,,,11.373,59.298,8.987,464.798,,,,2931.515,,,,,,,,,,,,62.389,,,,,,,,,,2185.889,580.696,,,,,,5636.846,,,,,,,
865,1967,,,,6.027,34.999,4.733,266.769,,,,2854.301,,,,,,,,,,,,71.392,,,,,,,,,,2547.59,615.695,,,,,,5903.615,,,,,,,
866,1968,,,,17.017,104.773,7.773,458.884,,,,2896.735,,,,,,,,,,,,77.818,,,,,,,,,,2913.306,720.468,,,,,,6362.499,,,,,,,
867,1969,,,,15.11,108.86,13.643,868.023,,,,3250.19,,,,,,,,,,,,102.601,,,,,,,,,,3384.457,829.329,,,,,,7230.522,,,,,,,
868,1970,,,,38.279,317.461,13.85,1001.455,,,,3631.141,,,,,,,,,,,,142.325,151.017,,,,,,,,,3935.245,1146.79,,,,,,8231.978,,,,,,,
869,1971,,,27.591,20.083,230.314,9.522,783.839,,,,3886.855,,,,,,,,,,,,169.551,178.608,,,,,,,,,4375.889,1377.104,,,,,,9015.817,,,,,,,
870,1972,,,29.06,17.774,244.766,5.919,533.624,,,,4036.594,,,,,,,,,,,,196.415,207.668,,,,,,,,,4712.24,1621.87,,,,,,9549.441,,,,,,,
871,1973,,,50.051,19.395,314.558,8.017,765.57,,,,4134.18,,,,,,,,,,,,242.412,257.718,,,,,,,,,5360.956,1936.428,,,,,,10315.012,,,,,,,
872,1974,,,55.764,6.612,128.041,2.149,221.687,,,,4234.74,,,,,,,,,,,,302.309,313.482,,,,,,,,,5326.235,2064.469,,,,,,10536.698,,,,,,,
873,1975,,,41.624,6.306,130.18,3.831,403.624,,,,4557.455,,,,,,,,,,,,351.212,355.106,,,,,,,,,5301.163,2194.649,,,,,,10940.322,,,,,,,
874,1976,,,54.47,14.097,309.387,4.825,527.881,,,,4665.685,,,,,,,,,,,,405.999,409.576,,,,,,,,,5637.929,2504.036,,,,,,11468.203,,,,,,,
875,1977,,,89.086,9.188,230.059,5.815,666.873,,,,4975.582,,,,,,,,,,,,499.769,498.661,,,,,,,,,5927.31,2734.095,,,,,,12135.076,,,,,,,
876,1978,,,94.723,4.511,123.333,6.808,826.133,,,,5219.3,,,,,,,,,,,,599.577,593.385,,,,,,,,,6290.381,2857.428,,,,,,12961.208,,,,,,,
877,1979,,,81.483,2.577,73.627,4.658,603.764,,,,5472.167,,,,,,,,,,,,685.354,674.868,,,,,,,,,6454.76,2931.054,,,,,,13564.972,,,,,,,
878,1980,,,44.009,-3.001,-87.957,0.872,118.264,,,,5784.01,,,,,,,,,,,,735.637,718.877,,,,,,,,,6120.767,2843.097,,,,,,13683.237,,,,,,,
