,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
1039,1900,,,,,,,,,,,,172.526,28851.807,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5979721.0,,,,,,18647705600.0,,
1040,1901,5.607,9.674,0.0,,0.0,,,,,,,182.199,30159.155,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6041260.0,,,,,,18720569344.0,,
1041,1902,-3.808,-6.937,0.0,,0.012,,,,,,,175.262,28722.469,,,,,,,,,,,0.0,0.0,,,,,,,,,0.012,1.906,,,,6101911.0,,,,,,19455809536.0,,
1042,1903,2.144,3.757,0.0,0.0,0.0,,,,,,,179.019,29039.484,,,,,,,,,,,0.0,0.0,,,,,,,,,0.012,1.887,,,,6164683.0,,,,,,19638503424.0,,
1043,1904,1.317,2.357,0.0,0.0,0.0,,,,,,,181.376,29122.637,,,,,,,,,,,0.0,0.0,,,,,,,,,0.012,1.867,,,,6228010.0,,,,,,19942055936.0,,
1044,1905,4.717,8.555,0.0,0.0,0.0,,,,,,,189.931,30185.523,,,,,,,,,,,0.0,0.0,,,,,,,,,0.012,1.848,,,,6292115.0,,,,,,21059323904.0,,
1045,1906,6.8,12.915,0.0,0.0,0.0,,,,,,,202.846,31911.843,,,,,,,,,,,0.0,0.0,,,,,,,,,0.012,1.83,,,,6356442.0,,,,,,21874436096.0,,
1046,1907,5.492,11.141,0.0,0.0,0.0,,,,,,,213.987,33327.288,,,,,,,,,,,0.0,0.0,,,,,,,,,0.012,1.811,,,,6420769.0,,,,,,23218335744.0,,
1047,1908,0.936,2.004,0.0,100.0,0.012,,,,,,,215.991,33305.334,,,,,,,,,,,0.0,0.0,,,,,,,,,0.023,3.587,,,,6485163.0,,,,,,23320059904.0,,
1048,1909,-1.833,-3.959,0.0,0.0,0.0,,,,,,,212.031,32383.248,,,,,,,,,,,0.0,0.0,,,,,,,,,0.023,3.552,,,,6547557.0,,,,,,23245950976.0,,
1049,1910,-1.422,-3.015,0.0,0.0,0.0,,,,,,,209.016,31630.044,,,,,,,,,,,0.0,0.0,,,,,,,,,0.023,3.52,,,,6608150.0,,,,,,23572295680.0,,
1050,1911,2.604,5.442,0.0,-50.0,-0.012,,,,,,,214.458,32158.732,,,,,,,,,,,0.0,0.0,,,,,,,,,0.012,1.744,,,,6668744.0,,,,,,24308504576.0,,
1051,1912,7.214,15.472,0.0,0.0,0.0,,,,,,,229.93,34217.153,,,,,,,,,,,0.0,0.0,,,,,,,,,0.012,1.731,,,,6719738.0,,,,,,25531027456.0,,
1052,1913,4.178,9.606,0.0,0.0,0.0,,,,,,,239.537,35406.16,,,,,,,,,,,0.0,0.0,,,,,,,,,0.012,1.719,,,,6765398.0,,,,,,25403318272.0,,
1053,1914,-9.217,-22.077,0.0,0.0,0.0,,,,,,,217.459,31955.54,,,,,,,,,,,0.0,0.0,,,,,,,,,0.012,1.709,,,,6805059.0,,,,,,21200689152.0,,
1054,1915,0.096,0.209,0.0,0.0,0.0,,,,,,,217.669,31895.695,,,,,,,,,,,0.0,0.0,,,,,,,,,0.012,1.704,,,,6824387.0,,,,,,19666782208.0,,
1055,1916,-29.777,-64.814,0.0,-100.0,-0.012,,,,,,,152.854,22421.267,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6817383.0,,,,,,19423950848.0,,
1056,1917,-93.661,-143.165,0.0,,0.0,,,,,,,9.689,1429.333,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6778714.0,,,,,,19011569664.0,,
1057,1918,-3.28,-0.318,0.0,,0.0,,,,,,,9.371,1410.538,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6643721.0,,,,,,18613608448.0,,
