,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
1160,1980,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6151000.0,,,,,,55180447744.0,,
1161,1981,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249000.0,,,,,,58602496000.0,,
1162,1982,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6350000.0,,,,,,62218760192.0,,
1163,1983,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6452000.0,,,,,,64648241152.0,,
1164,1984,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6558000.0,,,,,,68618969088.0,,
1165,1985,,,,,,,,0.0,0.0,0.0,1.07,,,20.702,1.313,0.0,0.0,1.313,0.0,0.0,3.287,35178.731,132.6,137.172,20577.893,6.34,196.904,6.34,1.313,196.904,0.0,0.0,97.186,153.615,23044.573,0.0,0.0,3105.611,6666000.0,234.501,196.904,6.34,0.0,0.0,71343710208.0,0.0,0.0
1166,1986,,,-4.582,-1.361,-2.09,7.655,17.951,0.0,0.0,0.0,1.07,,,21.542,0.804,0.0,0.0,0.804,0.0,0.0,3.447,37240.395,147.331,132.59,19558.943,3.734,118.65,3.734,0.804,118.65,0.0,0.0,101.817,151.525,22352.135,0.0,0.0,3177.755,6779000.0,252.453,118.65,3.734,0.0,0.0,73235005440.0,0.0,0.0
1167,1987,,,-10.724,6.59,9.986,-3.093,-7.809,0.0,0.0,0.0,1.07,,,22.909,0.804,0.0,0.0,0.804,0.0,0.0,3.171,35491.649,145.513,121.866,17679.658,3.511,116.688,3.511,0.804,116.688,0.0,0.0,95.827,161.511,23431.116,0.0,0.0,3323.517,6893000.0,244.644,116.688,3.511,0.0,0.0,77140025344.0,0.0,0.0
1168,1988,,,-5.85,-1.222,-1.974,0.083,0.203,0.0,0.0,0.0,1.07,,,23.572,0.698,0.0,0.0,0.698,0.0,0.0,3.016,34928.304,143.694,116.016,16550.117,2.962,99.61,2.962,0.698,99.61,0.0,0.0,98.143,159.537,22758.459,0.0,0.0,3362.625,7010000.0,244.847,99.61,2.962,0.0,0.0,81172733952.0,0.0,0.0
1169,1989,,,-7.799,-4.221,-6.734,1.975,4.836,0.0,0.0,0.0,1.07,,,23.3,0.698,0.0,0.0,0.698,0.0,0.0,3.347,35033.423,150.972,108.217,15184.075,2.997,97.975,2.997,0.698,97.975,0.0,0.0,95.701,152.802,21439.925,0.0,0.0,3269.258,7127000.0,249.683,97.975,2.997,0.0,0.0,74606510080.0,0.0,0.0
1170,1990,,,-11.699,-5.015,-7.663,4.134,10.323,0.0,0.0,0.0,1.035,,,23.152,1.658,0.0,0.0,1.658,0.0,0.0,3.915,35897.524,153.97,96.518,13325.663,7.161,228.911,7.161,1.658,228.911,0.0,0.0,100.395,145.139,20038.521,0.0,0.0,3196.466,7243000.0,260.006,228.911,7.161,0.0,0.0,66412797952.0,0.0,0.0
