,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
1201,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,83411.65,,,,,,,,,,,,,,,,,211000.0,17.6,,,,,,,
1202,1981,,0.0,,,,5.0,0.88,,,,,0.0,0.0,,,,,,,,,85952.802,,,,,,,,,,,,,,,,,215000.0,18.48,,,,,,,
1203,1982,,0.0,,,,-14.286,-2.64,,,,,0.0,0.0,,,,,,,,,71999.422,,,,,,,,,,,,,,,,,220000.0,15.84,,,,,,,
1204,1983,,0.0,,,,-24.074,-3.813,,,,,0.0,0.0,,,,,,,,,53451.423,,,,,,,,,,,,,,,,,225000.0,12.027,,,,,,,
1205,1984,,0.0,,,,-9.756,-1.173,,,,,0.0,0.0,,,,,,,,,47188.028,,,,,,,,,,,,,,,,,230000.0,10.853,,,,,,,
1206,1985,,0.0,,,,-10.811,-1.173,,,,,0.0,0.0,,,,,,,,,41191.158,,,,,,,,,,,,,,,,,235000.0,9.68,,,,,,,
1207,1986,,0.0,,,,-1.705,-0.165,,,,,0.0,0.0,,,,,,,,,39811.053,,,,,,,,,,,,,,,,,239000.0,9.515,,,,,,,
1208,1987,,0.0,,,,11.583,1.102,,,,,0.0,0.0,,,,,,,,,43691.0,,,,,,,,,,,,,,,,,243000.0,10.617,,,,,,,
1209,1988,,0.0,,,,-6.92,-0.735,,,,,0.0,0.0,,,,,,,,,40008.842,,,,,,,,,,,,,,,,,247000.0,9.882,,,,,,,
1210,1989,,0.0,,,,14.353,1.418,,,,,0.0,0.0,,,,,,,,,44843.563,,,,,,,,,,,,,,,,,252000.0,11.301,,,,,,,
