,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
1482,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,1.712,16783.654,,,,,,,,,,,,,,,,,252000.0,4.229,,,,,2469851904.0,,
1483,1981,,0.0,,,,6.935,0.293,,,,,0.0,0.0,,,,,,,,1.864,17876.726,,,,,,,,,,,,,,,,,253000.0,4.523,,,,,2426508032.0,,
1484,1982,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,1.835,17806.345,,,,,,,,,,,,,,,,,254000.0,4.523,,,,,2465231872.0,,
1485,1983,,0.0,,,,6.486,0.293,,,,,0.0,0.0,,,,,,,,1.865,18886.833,,,,,,,,,,,,,,,,,255000.0,4.816,,,,,2582129920.0,,
1486,1984,,0.0,,,,-6.091,-0.293,,,,,0.0,0.0,,,,,,,,1.701,17736.516,,,,,,,,,,,,,,,,,255000.0,4.523,,,,,2659584000.0,,
1487,1985,,0.0,,,,12.971,0.587,,,,,0.0,0.0,,,,,,,,2.138,19958.882,,,,,,,,,,,,,,,,,256000.0,5.109,,,,,2389842944.0,,
1488,1986,,0.0,,,,4.249,0.217,,,,,0.0,0.0,,,,,,,,1.807,20725.94,,,,,,,,,,,,,,,,,257000.0,5.327,,,,,2948165888.0,,
1489,1987,,0.0,,,,-4.786,-0.255,,,,,0.0,0.0,,,,,,,,1.455,19657.582,,,,,,,,,,,,,,,,,258000.0,5.072,,,,,3484585984.0,,
1490,1988,,0.0,,,,-5.837,-0.296,,,,,0.0,0.0,,,,,,,,1.304,18438.708,,,,,,,,,,,,,,,,,259000.0,4.776,,,,,3661580032.0,,
1491,1989,,0.0,,,,8.839,0.422,,,,,0.0,0.0,,,,,,,,1.266,19991.407,,,,,,,,,,,,,,,,,260000.0,5.198,,,,,4105790976.0,,
1492,1990,,0.0,,,,5.939,0.309,,,,,0.0,0.0,,,,,,,,1.319,21097.62,,,,,,,,,,,,,,,,,261000.0,5.506,,,,,4173659904.0,,
1493,1991,,0.0,,,,1.115,0.061,,,,,0.0,0.0,,,,,,,,1.288,21251.433,,,,,,,,,,,,,,,,,262000.0,5.568,,,,,4324509184.0,,
1494,1992,,0.0,,,,5.635,0.314,,,,,0.0,0.0,,,,,,,,1.37,22363.626,,,,,,,,,,,,,,,,,263000.0,5.882,,,,,4293530112.0,,
1495,1993,,0.0,,,,-2.545,-0.15,,,,,0.0,0.0,,,,,,,,1.289,21711.873,,,,,,,,,,,,,,,,,264000.0,5.732,,,,,4446190080.0,,
1496,1994,,0.0,,,,-5.161,-0.296,,,,,0.0,0.0,,,,,,,,1.154,20513.584,,,,,,,,,,,,,,,,,265000.0,5.436,,,,,4709879808.0,,
1497,1995,,0.0,,,,3.784,0.206,,,,,0.0,0.0,,,,,,,,1.136,21209.788,,,,,,,,,,,,,,,,,266000.0,5.642,,,,,4967112192.0,,
1498,1996,,0.0,,,,-10.214,-0.576,,,,,0.0,0.0,,,,,,,,0.887,18972.058,,,,,,,,,,,,,,,,,267000.0,5.066,,,,,5711408128.0,,
1499,1997,,0.0,,,,20.392,1.033,,,,,0.0,0.0,,,,,,,,1.028,22755.534,,,,,,,,,,,,,,,,,268000.0,6.098,,,,,5931899904.0,,
1500,1998,,0.0,,,,1.571,0.096,,,,,0.0,0.0,,,,,,,,1.129,23027.011,,,,,,,,,,,,,,,,,269000.0,6.194,,,,,5486394880.0,,
1501,1999,,0.0,,,,4.691,0.291,,,,,0.0,0.0,,,,,,,,1.153,24017.953,,,,,,,,,,,,,,,,,270000.0,6.485,,,,,5623254016.0,,
1502,2000,,0.0,,,,7.506,0.487,,,,,0.0,0.0,0.758,0.0,0.0,0.0,0.0,0.0,0.0,1.235,25630.862,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2786.765,272000.0,6.972,0.0,0.0,0.0,0.0,5645221888.0,0.0,0.0
1503,2001,,0.0,,,,0.06,0.004,,,,,0.0,0.0,0.796,0.0,0.0,0.0,0.0,0.0,0.0,1.371,25646.14,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2926.471,272000.0,6.976,0.0,0.0,0.0,0.0,5089149952.0,0.0,0.0
1504,2002,,0.0,,,,0.673,0.047,,,,,0.0,0.0,0.828,0.0,0.0,0.0,0.0,0.0,0.0,1.47,25724.167,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,3032.967,273000.0,7.023,0.0,0.0,0.0,0.0,4776456192.0,0.0,0.0
1505,2003,,0.0,,,,1.066,0.075,,,,,0.0,0.0,0.868,0.0,0.0,0.0,0.0,0.0,0.0,1.495,25903.597,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,3167.883,274000.0,7.098,0.0,0.0,0.0,0.0,4749073920.0,0.0,0.0
1506,2004,,0.0,,,,0.745,0.053,,,,,0.0,0.0,0.896,0.0,0.0,0.0,0.0,0.0,0.0,1.455,26001.755,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,3258.182,275000.0,7.15,0.0,0.0,0.0,0.0,4915979776.0,0.0,0.0
1507,2005,,0.0,,,,0.774,0.055,,,,,0.0,0.0,0.953,0.0,0.0,0.0,0.0,0.0,0.0,1.508,26107.969,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,3452.899,276000.0,7.206,0.0,0.0,0.0,0.0,4778480128.0,0.0,0.0
1508,2006,,0.0,,,,0.227,0.016,,,,,0.0,0.0,0.976,0.0,0.0,0.0,0.0,0.0,0.0,1.556,26072.782,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,3524.91,277000.0,7.222,0.0,0.0,0.0,0.0,4642400768.0,0.0,0.0
1509,2007,,0.0,,,,-4.591,-0.332,,,,,0.0,0.0,1.003,0.0,0.0,0.0,0.0,0.0,0.0,1.345,24697.428,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,3594.624,279000.0,6.891,0.0,0.0,0.0,0.0,5123939840.0,0.0,0.0
1510,2008,,0.0,,,,17.912,1.234,,,,,0.0,0.0,1.011,0.0,0.0,0.0,0.0,0.0,0.0,1.703,29017.296,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,3610.714,280000.0,8.125,0.0,0.0,0.0,0.0,4771380224.0,0.0,0.0
1511,2009,,0.0,,,,-5.755,-0.468,,,,,0.0,0.0,1.023,0.0,0.0,0.0,0.0,0.0,0.0,1.704,27250.16,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,3640.569,281000.0,7.657,0.0,0.0,0.0,0.0,4493024768.0,0.0,0.0
1512,2010,,0.0,,,,-3.624,-0.277,,,,,0.0,0.0,0.968,0.0,0.0,0.0,0.002,0.002,0.0,1.785,26169.532,,,,0.0,0.0,0.207,0.002,7.092,0.0,0.0,,,,0.0,0.0,3432.624,282000.0,7.38,7.092,0.207,0.207,7.092,4133272064.0,0.0,0.0
