,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
1522,1980,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9570000.0,,,,,,103000000000.0,,
1523,1981,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9636000.0,,,,,,107000000000.0,,
1524,1982,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9703000.0,,,,,,112000000000.0,,
1525,1983,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9770000.0,,,,,,118000000000.0,,
1526,1984,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9837000.0,,,,,,122000000000.0,,
1527,1985,,,,,,,,0.0,0.0,0.0,25.112,,,33.175,0.02,0.0,0.0,0.02,0.0,0.0,3.317,41212.044,86.532,,,0.06,2.02,0.06,0.02,2.02,0.0,0.0,296.341,,,0.0,0.0,3350.672,9901000.0,408.04,2.02,0.06,0.0,0.0,123000000000.0,0.0,0.0
1528,1986,,,,,,14.164,57.795,0.0,0.0,0.0,27.472,,,36.282,0.02,0.0,0.0,0.02,0.0,0.0,3.697,46747.13,88.189,,,0.055,2.007,0.055,0.02,2.007,0.0,0.0,350.119,,,0.0,0.0,3640.943,9965000.0,465.835,2.007,0.055,0.0,0.0,126000000000.0,0.0,0.0
1529,1987,,,,,,1.456,6.781,0.0,0.0,0.0,26.711,,,37.453,0.02,0.0,0.0,0.02,0.0,0.0,3.692,47139.054,99.544,,,0.053,1.995,0.053,0.02,1.995,0.0,0.0,346.307,,,0.0,0.0,3735.587,10026000.0,472.616,1.995,0.053,0.0,0.0,128000000000.0,0.0,0.0
1530,1988,,,,,,1.436,6.786,0.0,0.0,0.0,28.616,,,38.15,0.02,0.0,0.0,0.02,0.0,0.0,3.775,47554.982,115.26,,,0.052,1.984,0.052,0.02,1.984,0.0,0.0,335.469,,,0.0,0.0,3784.347,10081000.0,479.402,1.984,0.052,0.0,0.0,127000000000.0,0.0,0.0
1531,1989,,,,,,-3.284,-15.744,0.0,0.0,0.0,28.092,,,38.489,0.02,0.0,0.0,0.02,0.0,0.0,3.409,45797.851,121.382,,,0.052,1.976,0.052,0.02,1.976,0.0,0.0,314.127,,,0.0,0.0,3801.758,10124000.0,463.657,1.976,0.052,0.0,0.0,136000000000.0,0.0,0.0
