,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
1563,1900,,,,,,,,,,,,174.776,25827.635,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,6767030.0,,,,,,39978049536.0,,
1564,1901,-5.323,-9.304,0.0,,,,,,,,,165.473,24186.551,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,6841511.0,,,,,,40649576448.0,,
1565,1902,2.985,4.939,0.0,,,,,,,,,170.411,24652.38,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,6912568.0,,,,,,41797664768.0,,
1566,1903,4.022,6.853,0.0,,,,,,,,,177.264,25344.652,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,6994152.0,,,,,,43066535936.0,,
1567,1904,-4.353,-7.717,0.0,,,,,,,,,169.547,23956.127,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,7077403.0,,,,,,44507164672.0,,
1568,1905,-4.332,-7.345,0.0,,,,,,,,,162.202,22648.385,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,7161766.0,,,,,,46120898560.0,,
1569,1906,8.243,13.371,0.0,,,,,,,,,175.573,24253.022,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,7239239.0,,,,,,47431028736.0,,
1570,1907,0.573,1.006,0.0,,,,,,,,,176.579,24079.897,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,7333048.0,,,,,,48489504768.0,,
1571,1908,-0.578,-1.021,0.0,,,,,,,,,175.559,23731.578,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,7397676.0,,,,,,49335025664.0,,
1572,1909,-0.212,-0.372,0.0,,,,,,,,,175.186,23516.481,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,7449502.0,,,,,,50633539584.0,,
1573,1910,1.697,2.972,0.0,,,,,,,,,178.158,23754.659,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,7499928.0,,,,,,52328542208.0,,
1574,1911,-3.608,-6.429,0.0,,,,,,,,,171.73,22787.453,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,7536153.0,,,,,,52513763328.0,,
1575,1912,-0.356,-0.611,0.0,,,,,,,,,171.119,22538.837,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,7592180.0,,,,,,52704960512.0,,
1576,1913,-0.566,-0.968,0.0,,,,,,,,,170.151,22210.321,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,7660877.0,,,,,,52320448512.0,,
1577,1914,-26.828,-45.648,0.0,,,,,,,,,124.503,16133.093,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,7717239.0,,,,,,47998443520.0,,
1578,1915,-15.173,-18.891,0.0,,,,,,,,,105.612,13628.679,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,7749263.0,,,,,,46422097920.0,,
1579,1916,33.044,34.899,0.0,,,,,,,,,140.511,18127.435,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,7751283.0,,,,,,48062304256.0,,
1580,1917,-20.845,-29.29,0.0,,,,,,,,,111.221,14410.087,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,7718297.0,,,,,,40368566272.0,,
1581,1918,-6.965,-7.747,0.0,,,,,,,,,103.474,13484.432,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,7673616.0,,,,,,31804319744.0,,
1582,1919,33.057,34.206,0.0,,,,,,,,,137.68,18081.074,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,7614606.0,,,,,,36652539904.0,,
1583,1920,21.133,29.096,0.0,,,,,,,,,166.776,22052.756,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,7562598.0,,,,,,41422721024.0,,
1584,1921,-2.85,-4.752,0.0,,,,,,,,,162.024,21478.311,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,7543594.0,,,,,,41121918976.0,,
1585,1922,-2.496,-4.045,0.0,,,,,,,,,157.979,20865.577,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,7571266.0,,,,,,44032937984.0,,
1586,1923,8.087,12.775,0.0,,,,,,,,,170.754,22353.078,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,7638944.0,,,,,,44458606592.0,,
1587,1924,1.915,3.27,0.0,,,,,,,,,174.024,22576.22,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,7708289.0,,,,,,44723720192.0,,
1588,1925,-1.134,-1.974,0.0,,,,,,,,,172.05,22120.181,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,7777967.0,,,,,,44200275968.0,,
1589,1926,9.235,15.889,0.0,,,,,,,,,187.939,23960.646,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,7843645.0,,,,,,44451946496.0,,
1590,1927,9.199,17.289,0.0,,,,,,,,,205.228,25956.359,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,7906655.0,,,,,,44799873024.0,,
1591,1928,0.098,0.201,0.0,,,,,,,,,205.429,25777.455,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,7969332.0,,,,,,45784129536.0,,
1592,1929,-2.313,-4.752,0.0,,,,,,,,,200.677,25001.215,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,8026675.0,,,,,,44031422464.0,,
1593,1930,1.763,3.538,0.0,,,,,,,,,204.215,25276.153,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,8079351.0,,,,,,43981897728.0,,
1594,1931,-1.361,-2.778,0.0,,,,,,,,,201.436,24774.816,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,8130693.0,,,,,,43563487232.0,,
