,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
1684,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,6882.667,,,,,,,,,,,,,,,,,144000.0,0.991,,,,,,,
1685,1981,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,6696.649,,,,,,,,,,,,,,,,,148000.0,0.991,,,,,,,
1686,1982,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,6563.603,,,,,,,,,,,,,,,,,151000.0,0.991,,,,,,,
1687,1983,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,6353.231,,,,,,,,,,,,,,,,,156000.0,0.991,,,,,,,
1688,1984,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,6194.4,,,,,,,,,,,,,,,,,160000.0,0.991,,,,,,,
1689,1985,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,6006.691,,,,,,,,,,,,,,,,,165000.0,0.991,,,,,,,
1690,1986,,0.0,,,,20.907,0.207,,,,,0.0,0.0,,,,,,,,,7048.923,,,,,,,,,,,,,,,,,170000.0,1.198,,,,,,,
1691,1987,,0.0,,,,-18.303,-0.219,,,,,0.0,0.0,,,,,,,,,5626.341,,,,,,,,,,,,,,,,,174000.0,0.979,,,,,,,
1692,1988,,0.0,,,,-23.607,-0.231,,,,,0.0,0.0,,,,,,,,,4178.059,,,,,,,,,,,,,,,,,179000.0,0.748,,,,,,,
1693,1989,,0.0,,,,44.285,0.331,,,,,0.0,0.0,,,,,,,,,5896.554,,,,,,,,,,,,,,,,,183000.0,1.079,,,,,,,
1694,1990,,0.0,,,,31.925,0.344,,,,,0.0,0.0,,,,,,,,,7572.141,,,,,,,,,,,,,,,,,188000.0,1.424,,,,,,,
1695,1991,,0.0,,,,13.365,0.19,,,,,0.0,0.0,,,,,,,,,8449.31,,,,,,,,,,,,,,,,,191000.0,1.614,,,,,,,
1696,1992,,0.0,,,,-16.223,-0.262,,,,,0.0,0.0,,,,,,,,,6969.122,,,,,,,,,,,,,,,,,194000.0,1.352,,,,,,,
1697,1993,,0.0,,,,-0.232,-0.003,,,,,0.0,0.0,,,,,,,,,6812.493,,,,,,,,,,,,,,,,,198000.0,1.349,,,,,,,
1698,1994,,0.0,,,,-4.624,-0.062,,,,,0.0,0.0,,,,,,,,,6368.85,,,,,,,,,,,,,,,,,202000.0,1.287,,,,,,,
