,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
1724,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,0.276,473.496,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3717000.0,1.76,,,,,6369635840.0,,
1725,1981,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.215,460.729,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3820000.0,1.76,,,,,8185240064.0,,
1726,1982,,0.0,0.0,,0.0,-33.333,-0.587,,,,,0.0,0.0,,,,,,,,0.196,298.708,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3928000.0,1.173,,,,,5990249984.0,,
1727,1983,,0.0,0.0,,2.628,50.0,0.587,,,,,0.0,0.0,,,,,,,,0.296,435.64,,0.0,0.0,,,,,,,,,2.628,650.558,,,,4040000.0,1.76,,,,,5944941056.0,,
1728,1984,,0.0,0.0,75.565,1.986,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.278,423.379,,0.0,0.0,,,,,,,,,4.614,1110.007,,,,4157000.0,1.76,,,,,6341061120.0,,
1729,1985,,0.0,0.0,13.973,0.645,16.667,0.293,,,,,0.0,0.0,,,,,,,,0.287,479.859,,0.0,0.0,,,,,,,,,5.259,1229.043,,,,4279000.0,2.053,,,,,7157279744.0,,
1730,1986,,0.0,0.0,0.0,0.0,-0.885,-0.018,,,,,0.0,0.0,,,,,,,,0.32,462.01,,0.0,0.0,,,,,,,,,5.259,1193.888,,,,4405000.0,2.035,,,,,6357581824.0,,
1731,1987,,0.0,0.0,-12.486,-0.657,-22.662,-0.461,,,,,0.0,0.0,,,,,,,,0.266,347.064,,0.0,0.0,,,,,,,,,4.602,1014.871,,,,4535000.0,1.574,,,,,5917440000.0,,
1732,1988,,0.0,0.0,-28.364,-1.305,26.507,0.417,,,,,0.0,0.0,,,,,,,,0.324,426.096,,0.0,0.0,,,,,,,,,3.297,705.543,,,,4673000.0,1.991,,,,,6137736192.0,,
1733,1989,,0.0,0.0,-20.219,-0.667,2.554,0.051,,,,,0.0,0.0,,,,,,,,0.365,423.65,,0.0,0.0,,,,,,,,,2.63,545.725,,,,4820000.0,2.042,,,,,5587225088.0,,
1734,1990,,0.0,0.0,0.0,0.0,16.058,0.328,,,,,0.0,0.0,,,,,,,,0.406,476.073,,0.0,0.0,,,,,,,,,2.63,528.404,,,,4978000.0,2.37,,,,,5834200064.0,,
1735,1991,,0.0,0.0,0.0,0.0,17.634,0.418,,,,,0.0,0.0,,,,,,,,0.45,541.424,,0.0,0.0,,,,,,,,,2.63,510.855,,,,5149000.0,2.788,,,,,6194979840.0,,
1736,1992,,0.0,0.0,40.384,1.062,10.661,0.297,,,,,0.0,0.0,,,,,,,,0.486,578.584,,0.0,0.0,,,,,,,,,3.693,692.543,,,,5332000.0,3.085,,,,,6352679936.0,,
1737,1993,,0.0,0.0,3.288,0.121,10.665,0.329,,,,,0.0,0.0,,,,,,,,0.519,618.259,,0.0,0.0,,,,,,,,,3.814,690.705,,,,5522000.0,3.414,,,,,6573000192.0,,
1738,1994,,0.0,0.0,1.724,0.066,4.894,0.167,,,,,0.0,0.0,,,,,,,,0.603,626.723,,0.0,0.0,,,,,,,,,3.88,679.005,,,,5714000.0,3.581,,,,,5938016256.0,,
