,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
1764,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,40459.445,,,,,,,,,,,,,,,,,58000.0,2.347,,,,,,,
1765,1981,,0.0,,,,-12.5,-0.293,,,,,0.0,0.0,,,,,,,,,35402.015,,,,,,,,,,,,,,,,,58000.0,2.053,,,,,,,
1766,1982,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,35402.015,,,,,,,,,,,,,,,,,58000.0,2.053,,,,,,,
1767,1983,,0.0,,,,14.286,0.293,,,,,0.0,0.0,,,,,,,,,39773.691,,,,,,,,,,,,,,,,,59000.0,2.347,,,,,,,
1768,1984,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,39773.691,,,,,,,,,,,,,,,,,59000.0,2.347,,,,,,,
1769,1985,,0.0,,,,-12.5,-0.293,,,,,0.0,0.0,,,,,,,,,34221.948,,,,,,,,,,,,,,,,,60000.0,2.053,,,,,,,
1770,1986,,0.0,,,,-1.443,-0.03,,,,,0.0,0.0,,,,,,,,,33727.969,,,,,,,,,,,,,,,,,60000.0,2.024,,,,,,,
1771,1987,,0.0,,,,44.183,0.894,,,,,0.0,0.0,,,,,,,,,48630.143,,,,,,,,,,,,,,,,,60000.0,2.918,,,,,,,
1772,1988,,0.0,,,,9.137,0.267,,,,,0.0,0.0,,,,,,,,,52203.594,,,,,,,,,,,,,,,,,61000.0,3.184,,,,,,,
1773,1989,,0.0,,,,20.84,0.664,,,,,0.0,0.0,,,,,,,,,63082.571,,,,,,,,,,,,,,,,,61000.0,3.848,,,,,,,
1774,1990,,0.0,,,,-29.027,-1.117,,,,,0.0,0.0,,,,,,,,,44049.64,,,,,,,,,,,,,,,,,62000.0,2.731,,,,,,,
1775,1991,,0.0,,,,-12.389,-0.338,,,,,0.0,0.0,,,,,,,,,38592.217,,,,,,,,,,,,,,,,,62000.0,2.393,,,,,,,
1776,1992,,0.0,,,,-21.873,-0.523,,,,,0.0,0.0,,,,,,,,,30150.852,,,,,,,,,,,,,,,,,62000.0,1.869,,,,,,,
1777,1993,,0.0,,,,16.196,0.303,,,,,0.0,0.0,,,,,,,,,34477.905,,,,,,,,,,,,,,,,,63000.0,2.172,,,,,,,
1778,1994,,0.0,,,,-3.63,-0.079,,,,,0.0,0.0,,,,,,,,,33226.257,,,,,,,,,,,,,,,,,63000.0,2.093,,,,,,,
1779,1995,,0.0,,,,2.567,0.054,,,,,0.0,0.0,,,,,,,,,34079.31,,,,,,,,,,,,,,,,,63000.0,2.147,,,,,,,
1780,1996,,0.0,,,,3.181,0.068,,,,,0.0,0.0,,,,,,,,,34613.917,,,,,,,,,,,,,,,,,64000.0,2.215,,,,,,,
1781,1997,,0.0,,,,-0.268,-0.006,,,,,0.0,0.0,,,,,,,,,34521.285,,,,,,,,,,,,,,,,,64000.0,2.209,,,,,,,
1782,1998,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,34521.285,,,,,,,,,,,,,,,,,64000.0,2.209,,,,,,,
1783,1999,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,33990.255,,,,,,,,,,,,,,,,,65000.0,2.209,,,,,,,
1784,2000,,0.0,,,,9.29,0.205,,,,,0.0,0.0,0.595,0.0,0.0,0.0,0.0,0.0,0.0,,37147.995,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,9153.846,65000.0,2.415,0.0,0.0,0.0,0.0,,0.0,0.0
1785,2001,,0.0,,,,1.43,0.035,,,,,0.0,0.0,0.644,0.0,0.0,0.0,0.0,0.0,0.0,,37679.144,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,9902.797,65000.0,2.449,0.0,0.0,0.0,0.0,,0.0,0.0
1786,2002,,0.0,,,,5.236,0.128,,,,,0.0,0.0,0.643,0.0,0.0,0.0,0.0,0.0,0.0,,39051.376,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,9742.424,66000.0,2.577,0.0,0.0,0.0,0.0,,0.0,0.0
1787,2003,,0.0,,,,-0.227,-0.006,,,,,0.0,0.0,0.624,0.0,0.0,0.0,0.0,0.0,0.0,,38962.611,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,9454.545,66000.0,2.572,0.0,0.0,0.0,0.0,,0.0,0.0
1788,2004,,0.0,,,,3.546,0.091,,,,,0.0,0.0,0.627,0.0,0.0,0.0,0.0,0.0,0.0,,40344.116,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,9502.485,66000.0,2.663,0.0,0.0,0.0,0.0,,0.0,0.0
1789,2005,,0.0,,,,5.302,0.141,,,,,0.0,0.0,0.652,0.0,0.0,0.0,0.0,0.0,0.0,,42483.276,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,9885.394,66000.0,2.804,0.0,0.0,0.0,0.0,,0.0,0.0
1790,2006,,0.0,,,,12.942,0.363,,,,,0.0,0.0,0.666,0.0,0.0,0.0,0.0,0.0,0.0,,47981.264,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,10096.985,66000.0,3.167,0.0,0.0,0.0,0.0,,0.0,0.0
