,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
1804,1980,,,,,,,,,,,,0.0,0.597,,,,,,,,,82.192,,,,,,,,,,,,,,,,,407000.0,0.033,,,,,,,
1805,1981,79.821,0.0,,,,261.693,0.088,,,,,0.0,1.046,,,,,,,,,289.459,,,,,,,,,,,,,,,,,418000.0,0.121,,,,,,,
1806,1982,11.409,0.0,,,,29.32,0.035,,,,,0.0,1.135,,,,,,,,,364.731,,,,,,,,,,,,,,,,,429000.0,0.156,,,,,,,
1807,1983,99.999,0.0,,,,-7.011,-0.011,,,,,0.001,2.213,,,,,,,,,330.679,,,,,,,,,,,,,,,,,440000.0,0.145,,,,,,,
1808,1984,100.0,0.001,,,,-12.096,-0.018,,,,,0.002,4.319,,,,,,,,,283.59,,,,,,,,,,,,,,,,,451000.0,0.128,,,,,,,
1809,1985,24.849,0.0,,,,23.554,0.03,,,,,0.002,5.241,,,,,,,,,340.569,,,,,,,,,,,,,,,,,464000.0,0.158,,,,,,,
1810,1986,60.434,0.001,,,,520.983,0.823,,,,,0.004,8.145,,,,,,,,,2048.65,,,,,,,,,,,,,,,,,479000.0,0.981,,,,,,,
1811,1987,128.571,0.005,,,,263.783,2.589,,,,,0.009,18.051,,,,,,,,,7226.347,,,,,,,,,,,,,,,,,494000.0,3.57,,,,,,,
1812,1988,9.211,0.001,,,,29.054,1.037,,,,,0.01,19.095,,,,,,,,,9033.331,,,,,,,,,,,,,,,,,510000.0,4.607,,,,,,,
1813,1989,0.0,0.0,,,,-0.214,-0.01,,,,,0.01,18.656,,,,,,,,,8806.818,,,,,,,,,,,,,,,,,522000.0,4.597,,,,,,,
