,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
1844,1900,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1826430.0,,,,,,1339840000.0,,
1845,1901,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1840391.0,,,,,,1397069952.0,,
1846,1902,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1853479.0,,,,,,1361170048.0,,
1847,1903,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1869224.0,,,,,,1368755968.0,,
1848,1904,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1885950.0,,,,,,1381538944.0,,
1849,1905,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1903539.0,,,,,,1440240000.0,,
1850,1906,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1921288.0,,,,,,1501475968.0,,
1851,1907,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1938909.0,,,,,,1518670976.0,,
1852,1908,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1957051.0,,,,,,1578384000.0,,
1853,1909,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1975233.0,,,,,,1625223936.0,,
1854,1910,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1993674.0,,,,,,1701062016.0,,
1855,1911,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2012084.0,,,,,,1743641984.0,,
1856,1912,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2030680.0,,,,,,1800690048.0,,
1857,1913,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2056583.0,,,,,,1892285952.0,,
1858,1914,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2090184.0,,,,,,1830739968.0,,
1859,1915,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2131149.0,,,,,,1894420992.0,,
1860,1916,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2173308.0,,,,,,1974083968.0,,
1861,1917,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2215934.0,,,,,,2140333952.0,,
1862,1918,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2255850.0,,,,,,2187719936.0,,
1863,1919,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2297091.0,,,,,,2217585920.0,,
1864,1920,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2333953.0,,,,,,2229984000.0,,
1865,1921,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2366070.0,,,,,,2158839040.0,,
1866,1922,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2393807.0,,,,,,2365252096.0,,
1867,1923,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2421544.0,,,,,,2400019968.0,,
1868,1924,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2449647.0,,,,,,2509914112.0,,
1869,1925,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2477749.0,,,,,,2620553984.0,,
1870,1926,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2506581.0,,,,,,2666684928.0,,
1871,1927,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2535778.0,,,,,,2864891904.0,,
1872,1928,,,0.0,,0.012,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.012,4.534,,,,2565341.0,,,,,,2982639104.0,,
1873,1929,,,0.0,200.0,0.023,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.035,13.446,,,,2594903.0,,,,,,3107069952.0,,
1874,1930,,,0.0,33.333,0.012,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.047,17.723,,,,2624830.0,,,,,,2953103872.0,,
1875,1931,,,0.0,-50.0,-0.023,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.023,8.76,,,,2655122.0,,,,,,2672349952.0,,
1876,1932,,,0.0,150.0,0.035,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.058,21.648,,,,2686144.0,,,,,,2489795072.0,,
1877,1933,,,0.0,180.0,0.105,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.163,59.915,,,,2717531.0,,,,,,2620992000.0,,
1878,1934,,,0.0,42.857,0.07,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.233,84.604,,,,2749283.0,,,,,,2847473920.0,,
1879,1935,,,0.0,5.0,0.012,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.244,87.82,,,,2781035.0,,,,,,2981959936.0,,
1880,1936,,,0.0,-38.095,-0.093,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.151,53.744,,,,2813152.0,,,,,,3095644928.0,,
1881,1937,,,0.0,23.077,0.035,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.186,65.391,,,,2845634.0,,,,,,3344912896.0,,
1882,1938,,,0.0,12.5,0.023,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.209,72.726,,,,2878481.0,,,,,,3451877120.0,,
1883,1939,,,0.0,55.556,0.116,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.326,111.839,,,,2911693.0,,,,,,3573696000.0,,
1884,1940,,,0.0,35.714,0.116,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.442,150.051,,,,2945269.0,,,,,,3876290048.0,,
1885,1941,,,0.0,-18.421,-0.081,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.361,121.001,,,,2979576.0,,,,,,4149524992.0,,
1886,1942,,,0.0,29.032,0.105,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.465,154.334,,,,3014248.0,,,,,,4253384960.0,,
1887,1943,,,0.0,10.0,0.047,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.512,167.817,,,,3049284.0,,,,,,4397514752.0,,
1888,1944,,,0.0,-6.818,-0.035,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.477,154.58,,,,3084686.0,,,,,,4397337088.0,,
1889,1945,,,0.0,21.951,0.105,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.582,186.351,,,,3120453.0,,,,,,4568549888.0,,
1890,1946,,,0.0,-6.0,-0.035,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.547,173.165,,,,3156584.0,,,,,,4503245824.0,,
1891,1947,,,0.0,4.255,0.023,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.57,178.47,,,,3193081.0,,,,,,4406075904.0,,
1892,1948,,,0.0,22.449,0.128,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.698,216.041,,,,3229942.0,,,,,,4761299968.0,,
1893,1949,,,0.0,46.667,0.326,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,1.023,324.276,,,,3156084.0,,,,,,4971343872.0,,
1894,1950,,,0.0,-5.682,-0.058,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.965,313.203,,,,3082000.0,,,,,,4500281856.0,,
1895,1951,,,0.0,-18.072,-0.174,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.791,253.15,,,,3124000.0,,,,,,4944823808.0,,
1896,1952,,,0.0,-1.471,-0.012,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.779,245.73,,,,3171000.0,,,,,,5019302912.0,,
1897,1953,,,0.0,16.418,0.128,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.907,281.633,,,,3221000.0,,,,,,4438114816.0,,
1898,1954,,,0.0,183.333,1.663,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,2.57,785.043,,,,3274000.0,,,,,,4576689152.0,,
1899,1955,,,0.063,58.824,1.512,,,,,,,,,,,,,,,,,,,0.063,18.851,,,,,,,,,4.082,1225.498,,,,3331000.0,,,,,,4672480256.0,,
1900,1956,,,0.01,18.803,0.768,,,,,,,,,,,,,,,,,,,0.073,21.604,,,,,,,,,4.85,1430.172,,,,3391000.0,,,,,,4310823936.0,,
1901,1957,,,0.01,11.751,0.57,,,,,,,,,,,,,,,,,,,0.084,24.24,,,,,,,,,5.42,1569.075,,,,3454000.0,,,,,,4066392064.0,,
1902,1958,,,-0.021,-3.863,-0.209,,,,,,,,,,,,,,,,,,,0.063,17.844,,,,,,,,,5.21,1480.604,,,,3519000.0,,,,,,4049171968.0,,
1903,1959,,,0.01,-7.812,-0.407,,,,,,,,,,,,,,,,,,,0.073,20.424,,,,,,,,,4.803,1339.056,,,,3587000.0,,,,,,4180709888.0,,
1904,1960,,,-0.01,12.833,0.616,,,,,,,,,,,,,,,,,,,0.063,17.171,,,,,,,,,5.42,1481.975,,,,3657000.0,,,,,,4247857920.0,,
1905,1961,,,0.46,-16.309,-0.884,,,,,,,,,,,,,,,,,,,0.523,140.329,,,,,,,,,4.536,1216.332,,,,3729000.0,,,,,,4391249920.0,,
1906,1962,,,0.073,-6.667,-0.302,,,,,,,,,,,,,,,,,,,0.597,156.862,,,,,,,,,4.233,1113.154,,,,3803000.0,,,,,,4481717760.0,,
1907,1963,,,-0.031,21.703,0.919,,,,,,,,,,,,,,,,,,,0.565,145.694,,,,,,,,,5.152,1328.202,,,,3879000.0,,,,,,4814501888.0,,
1908,1964,,,0.324,-3.386,-0.174,,,,,,,,,,,,,,,,,,,0.89,224.756,,,,,,,,,4.978,1257.616,,,,3958000.0,,,,,,5111512064.0,,
1909,1965,,,-0.052,2.336,0.116,,,,,,,,,,,,,,,,,,,0.837,207.293,,,,,,,,,5.094,1261.189,,,,4039000.0,,,,,,5382641152.0,,
1910,1966,,,0.136,81.05,4.129,,,,,,,,,,,,,,,,,,,0.973,236.069,,,,,,,,,9.223,2236.866,,,,4123000.0,,,,,,5870159872.0,,
1911,1967,,,-0.021,138.84,12.805,,,,,,,,,,,,,,,,,,,0.952,226.272,,,,,,,,,22.027,5233.366,,,,4209000.0,,,,,,6247386112.0,,
1912,1968,,,-0.157,3.168,0.698,,,,,,,,,,,,,,,,,,,0.795,185.062,,,,,,,,,22.725,5287.352,,,,4298000.0,,,,,,6965937152.0,,
