,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
1965,1992,,,,,,,,,,,,6.38,1506.756,,,,,,,,7.896,10309.658,,,,,,,,,,,,,,,,,4234000.0,43.651,,,,,5528297984.0,,
1966,1993,-13.333,-0.851,,,,-28.592,-12.481,,,,,5.529,1355.477,,,,,,,,5.819,7641.65,,,,,,,,,,,,,,,,,4079000.0,31.17,,,,,5356896768.0,,
1967,1994,7.692,0.425,,,,6.011,1.874,,,,,5.954,1512.394,,,,,,,,4.686,8393.147,,,,,,,,,,,,,,,,,3937000.0,33.044,,,,,7051484160.0,,
1968,1995,17.143,1.021,,,,67.73,22.381,,,,,6.975,1821.633,,,,,,,,5.852,14474.897,,,,,,,,,,,,,,,,,3829000.0,55.424,,,,,9471779840.0,,
1969,1996,3.049,0.213,,,,-35.443,-19.644,,,,,7.188,1909.587,,,,,,,,1.958,9505.863,,,,,,,,,,,,,,,,,3764000.0,35.78,,,,,18277840896.0,,
1970,1997,222.663,16.004,,,,48.211,17.25,,,,,23.192,6207.705,,,,,,,,2.557,14194.299,,,,,,,,,,,,,,,,,3736000.0,53.03,,,,,20738754560.0,,
1971,1998,29.012,6.728,,,,18.091,9.594,,,,,29.92,8012.947,,,,,,,,2.914,16771.151,,,,,,,,,,,,,,,,,3734000.0,62.623,,,,,21490843648.0,,
1972,1999,-3.738,-1.119,,,,2.815,1.763,,,,,28.802,7694.84,,,,,,,,2.611,17201.849,,,,,,,,,,,,,,,,,3743000.0,64.387,,,,,24660981760.0,,
1973,2000,9.849,2.837,,,,6.459,4.159,,,,,31.639,8434.706,10.058,5.043,0.0,0.0,5.043,0.0,0.0,2.991,18273.859,,,,50.14,1344.441,50.14,5.043,1344.441,0.0,0.0,,,,0.0,0.0,2681.392,3751000.0,68.545,1344.441,50.14,0.0,0.0,22914473984.0,0.0,0.0
1974,2001,1.519,0.481,,,,-0.694,-0.476,,,,,32.119,8551.432,10.259,5.129,0.0,0.0,5.129,0.0,0.0,2.953,18122.826,,,,49.997,1365.548,49.997,5.129,1365.548,0.0,0.0,,,,0.0,0.0,2731.251,3756000.0,68.069,1365.548,49.997,0.0,0.0,23051558912.0,0.0,0.0
1975,2002,-32.829,-10.544,,,,1.207,0.821,,,,,21.575,5739.53,10.401,5.215,0.0,0.0,5.215,0.0,0.0,2.857,18326.86,,,,50.14,1387.337,50.14,5.215,1387.337,0.0,0.0,,,,0.0,0.0,2766.954,3759000.0,68.891,1387.337,50.14,0.0,0.0,24114681856.0,0.0,0.0
1976,2003,6.826,1.473,,,,-12.719,-8.762,,,,,23.048,6126.431,10.815,4.456,0.0,0.0,4.456,0.0,0.0,2.538,15983.116,,,,41.202,1184.476,41.202,4.456,1184.476,0.0,0.0,,,,0.0,0.0,2874.827,3762000.0,60.128,1184.476,41.202,0.0,0.0,23691220992.0,0.0,0.0
1977,2004,4.066,0.937,,,,5.213,3.134,,,,,23.985,6372.169,12.263,5.919,0.0,0.0,5.919,0.0,0.0,2.738,16807.365,,,,48.267,1572.529,48.267,5.919,1572.529,0.0,0.0,,,,0.0,0.0,3257.986,3764000.0,63.263,1572.529,48.267,0.0,0.0,23102699520.0,0.0,0.0
1978,2005,2.241,0.537,,,,-7.05,-4.46,,,,,24.522,6513.237,12.146,5.938,0.0,0.0,5.938,0.0,0.0,2.274,15618.33,,,,48.889,1577.158,48.889,5.938,1577.158,0.0,0.0,,,,0.0,0.0,3225.965,3765000.0,58.803,1577.158,48.889,0.0,0.0,25861679104.0,0.0,0.0
1979,2006,2.251,0.552,,,,3.882,2.283,,,,,25.074,6659.88,12.803,5.798,0.0,0.0,5.798,0.0,0.0,2.174,16224.597,,,,45.287,1539.973,45.287,5.798,1539.973,0.0,0.0,,,,0.0,0.0,3400.499,3765000.0,61.086,1539.973,45.287,0.0,0.0,28102733824.0,0.0,0.0
1980,2007,4.034,1.011,,,,-5.896,-3.601,,,,,26.086,6932.202,11.277,3.961,0.0,0.0,3.961,0.0,0.0,1.86,15276.153,,,,35.125,1052.618,35.125,3.961,1052.618,0.0,0.0,,,,0.0,0.0,2996.816,3763000.0,57.484,1052.618,35.125,0.0,0.0,30910529536.0,0.0,0.0
1981,2008,10.227,2.668,,,,14.454,8.309,,,,,28.754,7659.477,14.177,4.818,0.0,0.0,4.818,0.0,0.0,2.006,17526.101,,,,33.985,1283.431,33.985,4.818,1283.431,0.0,0.0,,,,0.0,0.0,3776.409,3754000.0,65.793,1283.431,33.985,0.0,0.0,32805036032.0,0.0,0.0
1982,2009,-0.835,-0.24,,,,18.475,12.155,,,,,28.514,7632.118,15.04,6.177,0.0,0.0,6.177,0.0,0.0,2.268,20864.085,,,,41.07,1653.373,41.07,6.177,1653.373,0.0,0.0,,,,0.0,0.0,4025.766,3736000.0,77.948,1653.373,41.07,0.0,0.0,34366640128.0,0.0,0.0
1983,2010,-4.637,-1.322,,,,9.077,7.075,,,,,27.191,7339.094,16.498,7.946,0.0,0.0,7.946,0.0,0.0,2.469,22948.314,,,,48.163,2144.669,48.163,7.946,2144.669,0.0,0.0,,,,0.0,0.0,4452.934,3705000.0,85.024,2144.669,48.163,0.0,0.0,34437017600.0,0.0,0.0
1984,2011,11.088,3.015,,,,-3.774,-3.209,,,,,30.206,8250.86,14.583,4.343,0.0,0.0,4.344,0.0,0.001,2.294,22347.642,,,,29.78,1186.288,29.787,4.344,1186.561,0.0,0.0,,,,0.0,0.0,3983.453,3661000.0,81.815,1186.561,29.787,0.0,0.0,35664781312.0,0.007,0.273
1985,2012,-1.855,-0.56,,,,-8.918,-7.296,,,,,29.646,8223.625,13.449,4.173,0.0,0.0,4.174,0.0,0.001,1.996,20670.871,,,,31.028,1157.559,31.036,4.174,1157.836,0.0,0.0,,,,0.0,0.0,3730.646,3605000.0,74.518,1157.836,31.036,0.0,0.0,37336076288.0,0.007,0.277
1986,2013,-10.525,-3.12,,,,8.646,6.443,,,,,26.526,7486.874,16.767,7.164,0.0,0.0,7.165,0.0,0.001,2.103,22851.026,,,,42.727,2022.015,42.732,7.165,2022.297,0.0,0.0,,,,0.0,0.0,4732.458,3543000.0,80.961,2022.297,42.732,0.0,0.0,38494396416.0,0.006,0.282
1987,2014,0.157,0.042,,,,-1.366,-1.106,,,,,26.568,7629.986,15.488,5.876,0.0,0.0,5.877,0.0,0.001,2.015,22933.725,,,,37.938,1687.536,37.944,5.877,1687.823,0.0,0.0,,,,0.0,0.0,4448.162,3482000.0,79.855,1687.823,37.944,0.0,0.0,39634432000.0,0.006,0.287
1988,2015,-1.821,-0.484,,,,-1.237,-0.988,,,,,26.084,7606.813,14.969,5.495,0.0,0.0,5.496,0.0,0.001,1.931,23000.156,,,,36.708,1602.508,36.715,5.496,1602.8,0.0,0.0,,,,0.0,0.0,4365.506,3429000.0,78.868,1602.8,36.715,0.0,0.0,40849018880.0,0.007,0.292
