,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
2235,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,8639.93,,,,,,,,,,,,,,,,,11000.0,0.095,,,,,,,
2236,1981,,0.0,,,,57.407,0.055,,,,,0.0,0.0,,,,,,,,,12466.567,,,,,,,,,,,,,,,,,12000.0,0.15,,,,,,,
2237,1982,,0.0,,,,0.196,0.0,,,,,0.0,0.0,,,,,,,,,12491.012,,,,,,,,,,,,,,,,,12000.0,0.15,,,,,,,
2238,1983,,0.0,,,,-0.196,0.0,,,,,0.0,0.0,,,,,,,,,11507.601,,,,,,,,,,,,,,,,,13000.0,0.15,,,,,,,
2239,1984,,0.0,,,,-8.039,-0.012,,,,,0.0,0.0,,,,,,,,,10582.479,,,,,,,,,,,,,,,,,13000.0,0.138,,,,,,,
2240,1985,,0.0,,,,2.985,0.004,,,,,0.0,0.0,,,,,,,,,10119.918,,,,,,,,,,,,,,,,,14000.0,0.142,,,,,,,
2241,1986,,0.0,,,,-46.91,-0.066,,,,,0.0,0.0,,,,,,,,,5014.493,,,,,,,,,,,,,,,,,15000.0,0.075,,,,,,,
2242,1987,,0.0,,,,157.686,0.119,,,,,0.0,0.0,,,,,,,,,12921.66,,,,,,,,,,,,,,,,,15000.0,0.194,,,,,,,
2243,1988,,0.0,,,,0.258,0.001,,,,,0.0,0.0,,,,,,,,,12145.333,,,,,,,,,,,,,,,,,16000.0,0.194,,,,,,,
2244,1989,,0.0,,,,-0.258,-0.001,,,,,0.0,0.0,,,,,,,,,11401.464,,,,,,,,,,,,,,,,,17000.0,0.194,,,,,,,
2245,1990,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,11401.464,,,,,,,,,,,,,,,,,17000.0,0.194,,,,,,,
2246,1991,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,10768.05,,,,,,,,,,,,,,,,,18000.0,0.194,,,,,,,
2247,1992,,0.0,,,,0.258,0.001,,,,,0.0,0.0,,,,,,,,,10795.851,,,,,,,,,,,,,,,,,18000.0,0.194,,,,,,,
2248,1993,,0.0,,,,-0.258,-0.001,,,,,0.0,0.0,,,,,,,,,10201.31,,,,,,,,,,,,,,,,,19000.0,0.194,,,,,,,
2249,1994,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,10201.31,,,,,,,,,,,,,,,,,19000.0,0.194,,,,,,,
2250,1995,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,10201.31,,,,,,,,,,,,,,,,,19000.0,0.194,,,,,,,
2251,1996,,0.0,,,,29.354,0.057,,,,,0.0,0.0,,,,,,,,,12536.057,,,,,,,,,,,,,,,,,20000.0,0.251,,,,,,,
2252,1997,,0.0,,,,-0.261,-0.001,,,,,0.0,0.0,,,,,,,,,12503.321,,,,,,,,,,,,,,,,,20000.0,0.25,,,,,,,
2253,1998,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,12503.321,,,,,,,,,,,,,,,,,20000.0,0.25,,,,,,,
2254,1999,,0.0,,,,0.002,0.0,,,,,0.0,0.0,,,,,,,,,12503.569,,,,,,,,,,,,,,,,,20000.0,0.25,,,,,,,
2255,2000,,0.0,,,,75.096,0.188,,,,,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,,21893.271,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2000.0,20000.0,0.438,0.0,0.0,0.0,0.0,,0.0,0.0
2256,2001,,0.0,,,,2.347,0.01,,,,,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.0,0.0,,21340.039,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1814.059,21000.0,0.448,0.0,0.0,0.0,0.0,,0.0,0.0
2257,2002,,0.0,,,,5.777,0.026,,,,,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.0,0.0,,22572.908,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1809.524,21000.0,0.474,0.0,0.0,0.0,0.0,,0.0,0.0
