,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
2395,1900,,,,,,,,,,,,0.501,125.411,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3992259.0,,,,,,,,
2396,1901,17.073,0.085,0.0,,0.0,,,,,,,0.586,144.865,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4046210.0,,,,,,,,
2397,1902,-6.25,-0.037,0.0,,0.0,,,,,,,0.55,133.994,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4101075.0,,,,,,,,
2398,1903,-13.333,-0.073,0.0,,0.0,,,,,,,0.476,114.649,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4153970.0,,,,,,,,
2399,1904,25.641,0.122,0.0,,0.0,,,,,,,0.598,142.253,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4206327.0,,,,,,,,
2400,1905,22.449,0.134,0.0,,0.0,,,,,,,0.733,172.069,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4258123.0,,,,,,,,
2401,1906,-20.0,-0.147,0.0,,0.0,,,,,,,0.586,135.981,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4310557.0,,,,,,,,
2402,1907,25.0,0.147,0.0,,0.0,,,,,,,0.733,167.967,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4362116.0,,,,,,,,
2403,1908,-2.778,-0.02,0.0,,0.0,,,,,,,0.712,161.315,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4415830.0,,,,,,,,
2404,1909,26.857,0.191,0.0,,0.0,,,,,,,0.904,202.058,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4472233.0,,,,,,,,
