,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
2516,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,0.173,257.949,,,,,,,,,,,,,,,,,6823000.0,1.76,,,,,10159343616.0,,
2517,1981,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.17,251.966,,,,,,,,,,,,,,,,,6985000.0,1.76,,,,,10345451520.0,,
2518,1982,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.169,245.877,,,,,,,,,,,,,,,,,7158000.0,1.76,,,,,10393541632.0,,
2519,1983,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.178,239.747,,,,,,,,,,,,,,,,,7341000.0,1.76,,,,,9910991872.0,,
2520,1984,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.18,233.699,,,,,,,,,,,,,,,,,7531000.0,1.76,,,,,9758045184.0,,
2521,1985,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.159,227.741,,,,,,,,,,,,,,,,,7728000.0,1.76,,,,,11100707840.0,,
2522,1986,,0.0,,,,14.77,0.26,,,,,0.0,0.0,,,,,,,,0.16,254.689,,,,,,,,,,,,,,,,,7931000.0,2.02,,,,,12626523136.0,,
2523,1987,,0.0,,,,4.432,0.09,,,,,0.0,0.0,,,,,,,,0.176,259.148,,,,,,,,,,,,,,,,,8140000.0,2.109,,,,,11980176384.0,,
2524,1988,,0.0,,,,4.871,0.103,,,,,0.0,0.0,,,,,,,,0.174,264.745,,,,,,,,,,,,,,,,,8356000.0,2.212,,,,,12744291328.0,,
2525,1989,,0.0,,,,-10.378,-0.23,,,,,0.0,0.0,,,,,,,,0.162,231.076,,,,,,,,,,,,,,,,,8580000.0,1.983,,,,,12235104256.0,,
2526,1990,,0.0,,,,2.842,0.056,,,,,0.0,0.0,,,,,,,,0.171,231.413,,,,,,,,,,,,,,,,,8811000.0,2.039,,,,,11906064384.0,,
2527,1991,,0.0,,,,15.661,0.319,,,,,0.0,0.0,,,,,,,,0.188,260.585,,,,,,,,,,,,,,,,,9050000.0,2.358,,,,,12522258432.0,,
2528,1992,,0.0,,,,1.1,0.026,,,,,0.0,0.0,,,,,,,,0.195,256.452,,,,,,,,,,,,,,,,,9297000.0,2.384,,,,,12232014848.0,,
2529,1993,,0.0,,,,10.795,0.257,,,,,0.0,0.0,,,,,,,,0.214,276.552,,,,,,,,,,,,,,,,,9552000.0,2.642,,,,,12351206400.0,,
2530,1994,,0.0,,,,11.389,0.301,,,,,0.0,0.0,,,,,,,,0.257,299.733,,,,,,,,,,,,,,,,,9817000.0,2.942,,,,,11446916096.0,,
2531,1995,,0.0,,,,2.136,0.063,,,,,0.0,0.0,,,,,,,,0.246,297.853,,,,,,,,,,,,,,,,,10090000.0,3.005,,,,,12240107520.0,,
2532,1996,,0.0,,,,6.256,0.188,,,,,0.0,0.0,,,,,,,,0.241,307.852,,,,,,,,,,,,,,,,,10373000.0,3.193,,,,,13255340032.0,,
2533,1997,,0.0,,,,58.347,1.863,,,,,0.0,0.0,,,,,,,,0.357,474.083,,,,,,,,,,,,,,,,,10666000.0,5.057,,,,,14169792512.0,,
2534,1998,,0.0,,,,-10.092,-0.51,,,,,0.0,0.0,,,,,,,,0.307,414.464,,,,,,,,,,,,,,,,,10969000.0,4.546,,,,,14830772224.0,,
2535,1999,,0.0,,,,2.828,0.129,,,,,0.0,0.0,,,,,,,,0.301,414.325,,,,,,,,,,,,,,,,,11283000.0,4.675,,,,,15535399936.0,,
2536,2000,,0.0,,,,-9.093,-0.425,,,,,0.0,0.0,0.318,0.097,0.0,0.0,0.097,0.0,0.0,0.271,366.104,,,,30.503,8.356,30.503,0.097,8.356,0.0,0.0,,,,0.0,0.0,27.395,11608000.0,4.25,8.356,30.503,0.0,0.0,15701739520.0,0.0,0.0
2537,2001,,0.0,,,,9.693,0.412,,,,,0.0,0.0,0.327,0.053,0.0,0.0,0.053,0.0,0.0,0.294,390.261,,,,16.208,4.437,16.208,0.053,4.437,0.0,0.0,,,,0.0,0.0,27.375,11945000.0,4.662,4.437,16.208,0.0,0.0,15831284736.0,0.0,0.0
2538,2002,,0.0,,,,3.924,0.183,,,,,0.0,0.0,0.365,0.064,0.0,0.0,0.064,0.0,0.0,0.3,394.095,,,,17.538,5.206,17.538,0.064,5.206,0.0,0.0,,,,0.0,0.0,29.685,12293000.0,4.845,5.206,17.538,0.0,0.0,16146554880.0,0.0,0.0
2539,2003,,0.0,,,,11.711,0.567,,,,,0.0,0.0,0.445,0.096,0.0,0.0,0.096,0.0,0.0,0.328,427.653,,,,21.589,7.586,21.589,0.096,7.586,0.0,0.0,,,,0.0,0.0,35.137,12655000.0,5.412,7.586,21.589,0.0,0.0,16501095424.0,0.0,0.0
2540,2004,,0.0,,,,-10.522,-0.569,,,,,0.0,0.0,0.472,0.1,0.0,0.0,0.1,0.0,0.0,0.286,371.614,,,,21.27,7.708,21.27,0.1,7.708,0.0,0.0,,,,0.0,0.0,36.239,13031000.0,4.843,7.708,21.27,0.0,0.0,16914889728.0,0.0,0.0
2541,2005,,0.0,,,,5.739,0.278,,,,,0.0,0.0,0.489,0.099,0.0,0.0,0.099,0.0,0.0,0.284,381.494,,,,20.322,7.411,20.322,0.099,7.411,0.0,0.0,,,,0.0,0.0,36.468,13422000.0,5.12,7.411,20.322,0.0,0.0,18061295616.0,0.0,0.0
2542,2006,,0.0,,,,-1.642,-0.084,,,,,0.0,0.0,0.52,0.08,0.0,0.0,0.08,0.0,0.0,0.265,364.186,,,,15.372,5.775,15.372,0.08,5.775,0.0,0.0,,,,0.0,0.0,37.568,13829000.0,5.036,5.775,15.372,0.0,0.0,18991456256.0,0.0,0.0
2543,2007,,0.0,,,,43.143,2.173,,,,,0.0,0.0,0.582,0.11,0.0,0.0,0.11,0.0,0.0,0.378,505.834,,,,18.968,7.739,18.968,0.11,7.739,0.0,0.0,,,,0.0,0.0,40.803,14252000.0,7.209,7.739,18.968,0.0,0.0,19073333248.0,0.0,0.0
2544,2008,,0.0,,,,9.212,0.664,,,,,0.0,0.0,0.589,0.135,0.0,0.0,0.135,0.0,0.0,0.398,535.961,,,,22.846,9.161,22.846,0.135,9.161,0.0,0.0,,,,0.0,0.0,40.098,14690000.0,7.873,9.161,22.846,0.0,0.0,19768174592.0,0.0,0.0
2545,2009,,0.0,,,,-6.225,-0.49,,,,,0.0,0.0,0.664,0.131,0.0,0.0,0.131,0.0,0.0,0.371,487.627,,,,19.713,8.65,19.713,0.131,8.65,0.0,0.0,,,,0.0,0.0,43.882,15141000.0,7.383,8.65,19.713,0.0,0.0,19918690304.0,0.0,0.0
2546,2010,,0.0,,,,6.078,0.449,,,,,0.0,0.0,0.543,0.116,0.0,0.0,0.122,0.006,0.0,0.363,501.887,,,,21.363,7.434,22.468,0.122,7.818,0.0,0.0,,,,0.0,0.0,34.797,15605000.0,7.832,7.818,22.468,1.105,0.384,21569376256.0,0.0,0.0
2547,2011,,0.0,,,,13.208,1.034,,,,,0.0,0.0,0.538,0.081,0.0,0.0,0.09,0.009,0.0,0.394,551.321,,,,15.056,5.037,16.729,0.09,5.596,0.0,0.0,,,,0.0,0.0,33.454,16082000.0,8.866,5.596,16.729,1.673,0.56,22513344512.0,0.0,0.0
2548,2012,,0.0,,,,18.753,1.663,,,,,0.0,0.0,0.603,0.097,0.0,0.0,0.106,0.009,0.0,0.41,635.392,,,,16.086,5.854,17.579,0.106,6.397,0.0,0.0,,,,0.0,0.0,36.389,16571000.0,10.529,6.397,17.579,1.493,0.543,25687924736.0,0.0,0.0
2549,2013,,0.0,,,,20.698,2.179,,,,,0.0,0.0,0.674,0.106,0.0,0.0,0.116,0.01,0.0,0.491,744.355,,,,15.726,6.209,17.217,0.116,6.797,0.0,0.0,,,,0.003,0.007,39.48,17073000.0,12.708,6.797,17.217,1.484,0.586,25864476672.0,0.0,0.0
2550,2014,,0.0,,,,-6.816,-0.866,,,,,0.0,0.0,0.834,0.09,0.0,0.0,0.101,0.011,0.0,0.426,673.389,,,,10.789,5.118,12.126,0.101,5.752,0.0,0.0,,,,0.009,0.018,47.433,17586000.0,11.842,5.752,12.126,1.319,0.625,27786244096.0,0.0,0.0
2551,2015,,0.0,,,,21.398,2.534,,,,,0.0,0.0,0.957,0.093,0.0,0.0,0.106,0.013,0.0,0.497,793.781,,,,9.715,5.135,11.104,0.106,5.869,0.0,0.0,,,,0.017,0.031,52.857,18111000.0,14.376,5.869,11.104,1.358,0.718,28909164544.0,0.0,0.0
2552,2016,,0.0,,,,-1.03,-0.148,,,,,0.0,0.0,0.939,0.139,0.0,0.0,0.155,0.016,0.0,0.467,763.064,,,,14.798,7.455,16.534,0.155,8.329,0.0,0.0,,,,0.016,0.032,50.375,18646000.0,14.228,8.329,16.534,1.703,0.858,30459793408.0,0.0,0.0
2553,2017,,,,,,,,,,,,,,1.058,0.128,0.0,0.001,0.158,0.029,0.0,,,,,,12.095,6.669,14.958,0.158,8.248,0.0,0.0,,,,0.068,0.123,55.14,19193000.0,,8.248,14.958,2.74,1.511,,0.0,0.0
2554,2018,,,,,,,,,,,,,,1.182,0.128,0.0,0.001,0.182,0.053,0.0,,,,,,10.826,6.481,15.419,0.182,9.23,0.0,0.0,,,,0.066,0.11,59.86,19751000.0,,9.23,15.419,4.483,2.683,,0.0,0.0
2555,2019,,,,,,,,,,,,,,1.244,0.14,0.0,0.002,0.194,0.053,0.0,,,,,,11.228,6.873,15.619,0.194,9.562,0.0,0.0,,,,0.08,0.131,61.216,20321000.0,,9.562,15.619,4.261,2.608,,0.0,0.0
