,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
2676,1965,,,,,,,,,,,3459.191,,,,,,,,,,,,1216.759,,,,,,,,,,1994.851,2820.202,,,,,,6902.175,,,,,,,
2677,1966,,,,9.145,257.906,6.338,437.468,,,,3585.222,,,,,,,,,,,,1357.375,,,,,,,,,,2136.249,3078.108,,,,,,7339.643,,,,,,,
2678,1967,,,,8.676,267.056,5.114,375.343,,,,3640.723,,,,,,,,,,,,1494.426,,,,,,,,,,2327.545,3345.164,,,,,,7714.987,,,,,,,
2679,1968,,,,7.324,244.995,3.712,286.414,,,,3608.973,,,,,,,,,,,,1613.605,,,,,,,,,,2481.118,3590.158,,,,,,8001.401,,,,,,,
2680,1969,,,,6.177,221.772,4.401,352.165,,,,3660.711,,,,,,,,,,,,1724.435,,,,,,,,,,2638.381,3811.931,,,,,,8353.565,,,,,,,
2681,1970,,,,7.535,287.248,5.193,433.806,,,,3630.397,,,,,,,,,,,,1894.849,1875.015,,,,,,,,,2904.444,4099.178,,,,,,8787.372,,,,,,,
2682,1971,,,136.924,6.787,278.214,4.917,432.069,,,,3703.808,,,,,,,,,,,,2071.22,2011.939,,,,,,,,,3079.172,4377.392,,,,,,9219.44,,,,,,,
2683,1972,,,85.252,6.207,271.7,5.103,470.435,,,,3803.026,,,,,,,,,,,,2178.485,2097.191,,,,,,,,,3339.664,4649.093,,,,,,9689.875,,,,,,,
2684,1973,,,141.139,7.143,332.078,5.133,497.373,,,,3848.099,,,,,,,,,,,,2369.151,2238.329,,,,,,,,,3590.401,4981.171,,,,,,10187.249,,,,,,,
2685,1974,,,230.179,6.97,347.172,5.521,562.438,,,,3866.99,,,,,,,,,,,,2512.159,2468.509,,,,,,,,,3944.174,5328.343,,,,,,10749.686,,,,,,,
2686,1975,,,271.555,6.952,370.406,4.953,532.399,,,,3977.062,,,,,,,,,,,,2740.972,2740.064,,,,,,,,,4134.6,5698.75,,,,,,11282.085,,,,,,,
2687,1976,,,300.133,5.883,335.283,3.887,438.586,,,,3972.756,,,,,,,,,,,,3016.269,3040.197,,,,,,,,,4248.624,6034.032,,,,,,11720.671,,,,,,,
2688,1977,,,237.284,5.027,303.306,4.473,524.297,,,,4044.118,,,,,,,,,,,,3231.972,3277.481,,,,,,,,,4418.753,6337.338,,,,,,12244.968,,,,,,,
2689,1978,,,248.092,4.715,298.777,4.307,527.386,,,,4019.644,,,,,,,,,,,,3446.478,3525.573,,,,,,,,,4689.109,6636.115,,,,,,12772.353,,,,,,,
2690,1979,,,325.879,2.462,163.357,2.739,349.784,,,,4048.739,,,,,,,,,,,,3658.604,3851.452,,,,,,,,,4771.347,6799.472,,,,,,13122.137,,,,,,,
2691,1980,,,270.939,3.002,204.123,2.226,292.121,,,,3925.493,,,,,,,,,,,,3770.777,4122.391,,,,,,,,,5001.706,7003.596,,,,,,13414.258,,,,,,,
2692,1981,,,285.119,0.935,65.487,2.127,285.337,,,,3900.587,4027.848,,,,,,,,,,,3993.046,4407.51,,,,,,,,,5045.315,7069.082,,,,,,13699.595,,,,,,,
2693,1982,0.837,33.715,335.323,0.613,43.321,2.506,343.378,,,,3960.33,4061.563,,,,,,,,,,,4310.462,4742.834,,,,,,,,,5008.482,7112.403,,,,,,14042.973,,,,,,,
2694,1983,-0.093,-3.773,331.534,0.619,44.029,2.102,295.175,,,,3970.489,4057.791,,,,,,,,,,,4621.898,5074.368,,,,,,,,,4935.322,7156.433,,,,,,14338.147,,,,,,,
2695,1984,-1.085,-44.039,489.723,-0.589,-42.183,3.748,537.38,,,,3933.015,4013.751,,,,,,,,,,,5043.182,5564.091,,,,,,,,,4936.034,7114.25,,,,,,14875.528,,,,,,,
2696,1985,-28.324,-1136.851,-9.486,-3.725,-265.012,-19.517,-2903.243,,,,2854.361,2876.9,,1213.718,194.092,104.585,0.0,194.092,0.0,0.0,,,4341.378,5554.605,,15.992,,24.608,298.677,,8.617,,3946.886,6849.237,,,0.0,,,11972.285,,15.992,0.0,,,0.0,
2697,1986,3.886,111.811,428.477,3.275,224.28,2.267,271.387,,,,2948.262,2988.711,,1265.841,195.201,107.975,0.0,195.201,0.0,0.0,,,4455.805,5983.082,,15.421,,23.951,303.176,,8.53,,3997.448,7073.518,,,0.0,,,12243.672,,15.421,0.0,,,0.0,
2698,1987,1.178,35.216,416.784,1.63,115.287,2.891,353.927,,,,2998.838,3023.926,,1321.837,196.978,129.033,0.0,196.978,0.0,0.0,,,4698.109,6399.867,,14.902,,24.663,326.011,,9.762,,3995.064,7188.805,,,0.0,,,12597.599,,14.902,0.0,,,0.0,
2699,1988,2.6,78.624,421.519,-0.16,-11.518,2.249,283.338,,,,2977.582,3102.551,,1344.297,204.92,139.627,0.0,204.92,0.0,0.0,,,4951.156,6821.386,,15.244,,25.63,344.546,,10.387,,3995.126,7177.286,,,0.0,,,12880.937,,15.244,0.0,,,0.0,
2700,1989,-3.637,-112.837,254.168,-2.665,-191.27,0.065,8.409,,,,2875.717,2989.714,,1357.639,199.157,137.717,0.0,199.157,0.0,0.0,,,5062.078,7075.554,,14.669,,24.813,336.874,,10.144,,4015.789,6986.016,,,0.0,,,12889.346,,14.669,0.0,,,0.0,
2701,1990,-3.946,-117.963,244.323,-6.087,-425.211,-1.711,-220.499,,,,2673.046,2871.751,,1363.653,211.239,118.325,0.065,211.304,0.0,0.0,,,5109.833,7319.877,,15.491,,24.172,329.629,,8.677,,3970.332,6560.806,,,0.005,,,12668.847,,15.495,0.0,,,0.0,
2702,1991,-6.334,-181.887,-115.148,-9.604,-630.104,-1.665,-210.957,,,,2475.721,2689.864,,1343.325,211.458,120.523,0.065,211.523,0.0,0.0,,,5205.007,7204.729,,15.741,,24.718,332.046,,8.972,,3854.81,5930.701,,,0.005,,,12457.89,,15.746,0.0,,,0.0,
2703,1992,-4.131,-111.112,-253.652,-12.583,-746.258,-4.239,-528.055,,,,2331.768,2578.752,,1265.638,216.0,120.09,0.063,216.064,0.0,0.0,,,5052.196,6951.077,,17.067,,26.56,336.154,,9.488,,3612.11,5184.443,,,0.005,,,11929.835,,17.072,0.0,,,0.0,
2704,1993,-10.518,-271.244,-146.011,-10.713,-555.411,-7.6,-906.641,,,,2101.51,2307.507,,1195.778,222.579,119.632,0.06,222.639,0.0,0.0,,,5001.289,6805.066,,18.614,,28.623,342.271,,10.005,,2969.64,4629.032,,,0.005,,,11023.194,,18.619,0.0,,,0.0,
