,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
2731,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,0.207,196.194,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6694000.0,1.313,,,,,6357623808.0,,
2732,1981,,0.0,0.0,,0.0,0.87,0.011,,,,,0.0,0.0,,,,,,,,0.208,196.26,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6750000.0,1.325,,,,,6364919808.0,,
2733,1982,,0.0,0.0,,0.0,22.574,0.299,,,,,0.0,0.0,,,,,,,,0.237,234.653,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6920000.0,1.624,,,,,6849065984.0,,
2734,1983,,0.0,0.0,,0.0,-2.639,-0.043,,,,,0.0,0.0,,,,,,,,0.215,220.494,,0.0,0.0,,,,,,,,,0.0,0.0,,,,7170000.0,1.581,,,,,7355537920.0,,
2735,1984,,0.0,0.0,,0.0,16.747,0.265,,,,,0.0,0.0,,,,,,,,0.236,247.812,,0.0,0.0,,,,,,,,,0.0,0.0,,,,7448000.0,1.846,,,,,7806492160.0,,
2736,1985,,0.0,0.0,,0.0,0.774,0.014,,,,,0.0,0.0,,,,,,,,0.224,241.087,,0.0,0.0,,,,,,,,,0.0,0.0,,,,7715000.0,1.86,,,,,8314785792.0,,
2737,1986,,0.0,0.0,,0.0,-1.039,-0.019,,,,,0.0,0.0,,,,,,,,0.209,231.211,,0.0,0.0,,,,,,,,,0.0,0.0,,,,7961000.0,1.841,,,,,8814188544.0,,
2738,1987,,0.0,0.0,,0.0,0.776,0.014,,,,,0.0,0.0,,,,,,,,0.217,226.269,,0.0,0.0,,,,,,,,,0.0,0.0,,,,8198000.0,1.855,,,,,8530840064.0,,
2739,1988,,0.0,0.0,,0.0,7.945,0.147,,,,,0.0,0.0,,,,,,,,0.235,237.356,,0.0,0.0,,,,,,,,,0.0,0.0,,,,8436000.0,2.002,,,,,8535543808.0,,
2740,1989,,0.0,0.0,,0.0,0.317,0.006,,,,,0.0,0.0,,,,,,,,0.218,231.123,,0.0,0.0,,,,,,,,,0.0,0.0,,,,8691000.0,2.009,,,,,9212308480.0,,
2741,1990,,0.0,0.0,,0.0,1.138,0.023,,,,,0.0,0.0,,,,,,,,0.218,226.331,,0.0,0.0,,,,,,,,,0.0,0.0,,,,8976000.0,2.032,,,,,9316965376.0,,
2742,1991,,0.0,0.0,,0.0,6.12,0.124,,,,,0.0,0.0,,,,,,,,0.213,232.088,,0.0,0.0,,,,,,,,,0.0,0.0,,,,9289000.0,2.156,,,,,10128417792.0,,
2743,1992,,0.0,0.0,,0.0,0.648,0.014,,,,,0.0,0.0,,,,,,,,0.17,225.462,,0.0,0.0,,,,,,,,,0.0,0.0,,,,9624000.0,2.17,,,,,12768916480.0,,
2744,1993,,0.0,0.0,,0.0,0.014,0.0,,,,,0.0,0.0,,,,,,,,0.189,217.646,,0.0,0.0,,,,,,,,,0.0,0.0,,,,9971000.0,2.17,,,,,11456438272.0,,
2745,1994,,0.0,0.0,,0.0,0.263,0.006,,,,,0.0,0.0,,,,,,,,0.169,210.881,,0.0,0.0,,,,,,,,,0.0,0.0,,,,10318000.0,2.176,,,,,12862725120.0,,
2746,1995,,0.0,0.0,,0.0,184.999,4.025,,,,,0.0,0.0,,,,,,,,0.433,581.945,,0.0,0.0,,,,,,,,,0.0,0.0,,,,10656000.0,6.201,,,,,14322545664.0,,
2747,1996,,0.0,0.0,,0.0,9.905,0.614,,,,,0.0,0.0,,,,,,,,0.495,620.541,,0.0,0.0,,,,,,,,,0.0,0.0,,,,10983000.0,6.815,,,,,13781567488.0,,
2748,1997,,0.0,0.0,,0.0,17.9,1.22,,,,,0.0,0.0,,,,,,,,0.568,711.158,,0.0,0.0,,,,,,,,,0.0,0.0,,,,11299000.0,8.035,,,,,14148530176.0,,
2749,1998,,0.0,0.0,,0.0,16.915,1.359,,,,,0.0,0.0,,,,,,,,0.687,809.806,,0.0,0.0,,,,,,,,,0.0,0.0,,,,11601000.0,9.395,,,,,13678419968.0,,
2750,1999,,0.0,0.0,,0.0,2.954,0.278,,,,,0.0,0.0,,,,,,,,0.657,813.74,,0.0,0.0,,,,,,,,,0.0,0.0,,,,11886000.0,9.672,,,,,14731875328.0,,
2751,2000,,0.0,0.0,,0.0,-7.333,-0.709,,,,,0.0,0.0,0.467,0.046,0.0,0.0,0.047,0.001,0.0,0.564,737.381,,0.0,0.0,9.846,3.784,10.06,0.047,3.867,0.0,0.0,,0.0,0.0,0.0,0.0,38.435,12155000.0,8.963,3.867,10.06,0.214,0.082,15881768960.0,0.0,0.0
2752,2001,,0.0,0.0,,0.0,5.927,0.531,,,,,0.0,0.0,0.509,0.03,0.0,0.0,0.031,0.001,0.0,0.556,765.346,,0.0,0.0,5.899,2.418,6.096,0.031,2.499,0.0,0.0,,0.0,0.0,0.0,0.0,40.993,12405000.0,9.494,2.499,6.096,0.197,0.081,17062276096.0,0.0,0.0
2753,2002,,0.0,0.0,,0.0,-0.244,-0.023,,,,,0.0,0.0,0.686,0.029,0.0,0.0,0.03,0.001,0.0,0.519,749.401,,0.0,0.0,4.227,2.295,4.372,0.03,2.374,0.0,0.0,,0.0,0.0,0.0,0.0,54.29,12638000.0,9.471,2.374,4.372,0.146,0.079,18234327040.0,0.0,0.0
2754,2003,,0.0,0.0,,0.0,8.623,0.817,,,,,0.0,0.0,0.72,0.041,0.0,0.007,0.049,0.001,0.0,0.523,800.22,,0.0,0.0,5.693,3.189,6.804,0.049,3.811,0.0,0.0,,0.0,0.0,0.544,0.972,56.017,12856000.0,10.288,3.811,6.804,0.139,0.078,19668613120.0,0.0,0.0
2755,2004,,0.0,0.0,,0.0,3.142,0.323,,,,,0.0,0.0,0.769,0.028,0.0,0.013,0.042,0.001,0.0,0.507,812.099,,0.0,0.0,3.643,2.143,5.464,0.042,3.214,0.0,0.0,,0.0,0.0,0.995,1.691,58.826,13066000.0,10.611,3.214,5.464,0.13,0.077,20924801024.0,0.0,0.0
2756,2005,,0.0,0.0,,0.0,13.355,1.417,,,,,0.0,0.0,0.91,0.044,0.0,0.014,0.059,0.001,0.0,0.482,906.202,,0.0,0.0,4.837,3.315,6.486,0.059,4.445,0.0,0.0,,0.0,0.0,1.055,1.539,68.538,13273000.0,12.028,4.445,6.486,0.11,0.075,24951465984.0,0.0,0.0
2757,2006,,0.0,0.0,,0.0,8.075,0.971,,,,,0.0,0.0,1.109,0.048,0.0,0.015,0.065,0.002,0.0,0.485,964.481,,0.0,0.0,4.327,3.561,5.859,0.065,4.823,0.0,0.0,,0.0,0.0,1.113,1.352,82.307,13478000.0,12.999,4.823,5.859,0.18,0.148,26783873024.0,0.0,0.0
2758,2007,,0.0,0.0,,0.0,17.053,2.217,,,,,0.0,0.0,1.404,0.047,0.0,0.016,0.065,0.002,0.0,0.506,1112.287,,0.0,0.0,3.349,3.436,4.631,0.065,4.751,0.0,0.0,,0.0,0.0,1.17,1.14,102.599,13680000.0,15.216,4.751,4.631,0.142,0.146,30065944576.0,0.0,0.0
2759,2008,,0.0,0.0,,0.0,-1.11,-0.169,,,,,0.0,0.0,1.394,0.043,0.0,0.017,0.062,0.002,0.0,0.452,1083.78,,0.0,0.0,3.085,3.097,4.448,0.062,4.466,0.0,0.0,,0.0,0.0,1.224,1.22,100.402,13884000.0,15.047,4.466,4.448,0.143,0.144,33262047232.0,0.0,0.0
2760,2009,,0.0,0.0,,0.0,21.642,3.257,,,,,0.0,0.0,1.184,0.037,0.0,0.019,0.058,0.002,0.0,0.568,1298.69,,0.0,0.0,3.124,2.625,4.922,0.058,4.137,0.0,0.0,,0.0,0.0,1.348,1.604,84.037,14094000.0,18.304,4.137,4.922,0.169,0.142,32224854016.0,0.025,0.021
2761,2010,,0.0,0.0,,0.0,12.245,2.241,,,,,0.0,0.0,0.944,0.032,0.0,0.02,0.055,0.003,0.0,0.614,1435.516,,0.0,0.0,3.391,2.236,5.861,0.055,3.864,0.0,0.0,,0.0,0.0,1.397,2.12,65.931,14312000.0,20.545,3.864,5.861,0.318,0.21,33478596608.0,0.032,0.021
2762,2011,,0.0,0.0,,0.0,1.609,0.331,,,,,0.0,0.0,1.0,0.051,0.0,0.02,0.074,0.003,0.0,0.57,1435.646,,0.0,0.0,5.099,3.507,7.429,0.074,5.11,0.0,0.0,,0.0,0.0,1.375,2.0,68.785,14541000.0,20.876,5.11,7.429,0.3,0.206,36606337024.0,0.03,0.021
2763,2012,,0.0,0.0,,0.0,11.603,2.422,,,,,0.0,0.0,1.376,0.512,0.0,0.02,0.535,0.003,0.0,0.591,1576.311,,0.0,0.0,37.218,34.641,38.912,0.535,36.218,0.0,0.0,,0.0,0.0,1.353,1.454,93.076,14780000.0,23.298,36.218,38.912,0.218,0.203,39422988288.0,0.022,0.02
2764,2013,,0.0,0.0,,0.0,8.082,1.883,,,,,0.0,0.0,1.723,1.006,0.0,0.011,1.02,0.003,0.0,0.564,1675.818,,0.0,0.0,58.372,66.951,59.202,1.02,67.902,0.0,0.0,,0.0,0.0,0.732,0.638,114.696,15026000.0,25.181,67.902,59.202,0.174,0.2,44624257024.0,0.017,0.02
2765,2014,,0.0,0.0,,0.0,21.975,5.534,,,,,0.0,0.0,2.972,1.833,0.0,0.017,1.853,0.003,0.0,0.668,2010.762,,0.0,0.0,61.678,120.0,62.361,1.853,121.329,0.0,0.0,,0.0,0.0,1.113,0.572,194.56,15275000.0,30.714,121.329,62.361,0.101,0.196,45967020032.0,0.01,0.02
2766,2015,,0.0,0.0,,0.0,24.577,7.549,,,,,0.0,0.0,4.236,1.98,0.0,0.038,2.021,0.003,0.0,0.778,2465.25,,0.0,0.0,46.743,127.569,47.718,2.021,130.23,0.0,0.0,,0.0,0.0,2.448,0.897,272.917,15521000.0,38.263,130.23,47.718,0.071,0.193,49188130816.0,0.007,0.019
2767,2016,,0.0,0.0,,0.0,20.861,7.982,,,,,0.0,0.0,5.392,2.593,0.0,0.042,2.638,0.003,0.0,0.879,2933.223,,0.0,0.0,48.085,164.468,48.925,2.638,167.341,0.0,0.0,,0.0,0.0,2.664,0.779,342.033,15766000.0,46.245,167.341,48.925,0.056,0.19,52640825344.0,0.006,0.019
2768,2017,,,,,,,,,,,,,,6.719,2.706,0.0,0.052,2.763,0.005,0.0,,,,,,40.275,169.03,41.128,2.763,172.609,0.0,0.0,,,,3.248,0.774,419.69,16009000.0,,172.609,41.128,0.074,0.312,,0.004,0.019
2769,2018,,,,,,,,,,,,,,7.925,4.69,0.0,0.064,4.77,0.016,0.0,,,,,,59.178,288.593,60.192,4.77,293.534,0.0,0.0,,,,3.938,0.808,487.666,16250000.0,,293.534,60.192,0.202,0.985,,0.004,0.018
