,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
2891,1900,,,,,,,,,,,,42.667,7715.942,,,,,,,,,,,0.0,0.0,,,,,,,,,1.419,256.588,,,,5529722.0,,,,,,25265909760.0,,
2892,1901,12.269,5.235,0.0,-17.213,-0.244,,,,,,,47.902,8507.739,,,,,,,,,,,0.0,0.0,,,,,,,,,1.175,208.624,,,,5630366.0,,,,,,27198367744.0,,
2893,1902,15.126,7.245,0.0,-29.703,-0.349,,,,,,,55.147,9642.747,,,,,,,,,,,0.0,0.0,,,,,,,,,0.826,144.383,,,,5719032.0,,,,,,29775499264.0,,
2894,1903,6.599,3.639,0.0,-8.451,-0.07,,,,,,,58.786,10032.478,,,,,,,,,,,0.0,0.0,,,,,,,,,0.756,129.011,,,,5859590.0,,,,,,30576379904.0,,
2895,1904,3.711,2.182,0.0,13.846,0.105,,,,,,,60.968,10131.354,,,,,,,,,,,0.0,0.0,,,,,,,,,0.861,143.014,,,,6017754.0,,,,,,30935033856.0,,
2896,1905,5.234,3.191,0.0,14.865,0.128,,,,,,,64.159,10368.931,,,,,,,,,,,0.0,0.0,,,,,,,,,0.989,159.762,,,,6187646.0,,,,,,34467938304.0,,
2897,1906,12.384,7.946,0.0,-10.588,-0.105,,,,,,,72.105,11318.785,,,,,,,,,,,0.0,0.0,,,,,,,,,0.884,138.749,,,,6370374.0,,,,,,37823922176.0,,
2898,1907,7.655,5.52,0.0,38.158,0.337,,,,,,,77.624,11848.897,,,,,,,,,,,0.0,0.0,,,,,,,,,1.221,186.401,,,,6551200.0,,,,,,39899205632.0,,
2899,1908,3.566,2.768,0.0,-33.333,-0.407,,,,,,,80.392,11901.748,,,,,,,,,,,0.0,0.0,,,,,,,,,0.814,120.524,,,,6754675.0,,,,,,37893906432.0,,
2900,1909,-3.534,-2.841,0.0,-20.0,-0.163,,,,,,,77.551,11111.658,,,,,,,,,,,0.0,0.0,,,,,,,,,0.651,93.316,,,,6979267.0,,,,,,41804152832.0,,
2901,1910,22.937,17.788,3.872,-25.0,-0.163,,,,,,,95.339,13279.364,,,,,,,,,,,3.872,539.339,,,,,,,,,0.488,68.035,,,,7179510.0,,,,,,45255647232.0,,
2902,1911,-12.288,-11.715,0.09,-7.143,-0.035,,,,,,,83.624,11335.309,,,,,,,,,,,3.962,537.07,,,,,,,,,0.454,61.482,,,,7377339.0,,,,,,48668880896.0,,
2903,1912,28.174,23.56,0.09,-17.949,-0.081,,,,,,,107.184,14107.655,,,,,,,,,,,4.052,533.34,,,,,,,,,0.372,48.984,,,,7597612.0,,,,,,52225740800.0,,
2904,1913,3.433,3.68,0.09,-6.25,-0.023,,,,,,,110.864,14169.444,,,,,,,,,,,4.142,529.394,,,,,,,,,0.349,44.593,,,,7824176.0,,,,,,55168151552.0,,
2905,1914,-9.15,-10.144,0.09,-3.333,-0.012,,,,,,,100.721,12559.476,,,,,,,,,,,4.232,527.718,,,,,,,,,0.337,42.056,,,,8019485.0,,,,,,51819479040.0,,
2906,1915,-2.724,-2.744,0.09,0.0,0.0,,,,,,,97.977,12037.443,,,,,,,,,,,4.322,530.999,,,,,,,,,0.337,41.437,,,,8139354.0,,,,,,55510405120.0,,
2907,1916,9.165,8.98,0.09,-10.345,-0.035,,,,,,,106.957,13043.363,,,,,,,,,,,4.412,538.038,,,,,,,,,0.302,36.875,,,,8200074.0,,,,,,61506433024.0,,
2908,1917,-3.007,-3.216,0.09,11.538,0.035,,,,,,,103.741,12558.731,,,,,,,,,,,4.502,544.995,,,,,,,,,0.337,40.829,,,,8260456.0,,,,,,64452997120.0,,
2909,1918,20.447,21.212,0.09,41.379,0.14,,,,,,,124.953,14925.898,,,,,,,,,,,4.592,548.508,,,,,,,,,0.477,56.958,,,,8371555.0,,,,,,60711501824.0,,
2910,1919,-7.272,-9.087,0.09,-21.951,-0.105,,,,,,,115.866,13560.089,,,,,,,,,,,4.682,547.926,,,,,,,,,0.372,43.555,,,,8544641.0,,,,,,56459538432.0,,
2911,1920,22.192,25.713,0.09,-18.75,-0.07,,,,,,,141.579,16158.445,,,,,,,,,,,4.772,544.606,,,,,,,,,0.302,34.511,,,,8761911.0,,,,,,56184029184.0,,
