,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
3012,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,3.034,5164.277,,,,,,,,,,,,,,,,,284000.0,1.467,,,,,483368000.0,,
3013,1981,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,2.818,5074.93,,,,,,,,,,,,,,,,,289000.0,1.467,,,,,520500000.0,,
3014,1982,,0.0,,,,-60.0,-0.88,,,,,0.0,0.0,,,,,,,,1.038,1995.449,,,,,,,,,,,,,,,,,294000.0,0.587,,,,,565440000.0,,
3015,1983,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.961,1955.54,,,,,,,,,,,,,,,,,300000.0,0.587,,,,,610456000.0,,
3016,1984,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,1.01,1917.196,,,,,,,,,,,,,,,,,306000.0,0.587,,,,,580632000.0,,
3017,1985,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.974,1880.327,,,,,,,,,,,,,,,,,312000.0,0.587,,,,,602617024.0,,
3018,1986,,0.0,,,,-67.17,-0.394,,,,,0.0,0.0,,,,,,,,0.279,607.566,,,,,,,,,,,,,,,,,317000.0,0.193,,,,,689187008.0,,
3019,1987,,0.0,,,,6.181,0.012,,,,,0.0,0.0,,,,,,,,0.285,637.08,,,,,,,,,,,,,,,,,321000.0,0.205,,,,,716547968.0,,
3020,1988,,0.0,,,,38.103,0.078,,,,,0.0,0.0,,,,,,,,0.387,866.331,,,,,,,,,,,,,,,,,326000.0,0.282,,,,,730516992.0,,
3021,1989,,0.0,,,,21.857,0.062,,,,,0.0,0.0,,,,,,,,0.445,1039.735,,,,,,,,,,,,,,,,,331000.0,0.344,,,,,773180032.0,,
