,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
3049,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,18333.185,,,,,,,,,,,,,,,,,16000.0,0.293,,,,,,,
3050,1981,,0.0,,,,100.0,0.293,,,,,0.0,0.0,,,,,,,,,34509.526,,,,,,,,,,,,,,,,,17000.0,0.587,,,,,,,
3051,1982,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,34509.526,,,,,,,,,,,,,,,,,17000.0,0.587,,,,,,,
3052,1983,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,32592.33,,,,,,,,,,,,,,,,,18000.0,0.587,,,,,,,
3053,1984,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,30876.944,,,,,,,,,,,,,,,,,19000.0,0.587,,,,,,,
3054,1985,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,30876.944,,,,,,,,,,,,,,,,,19000.0,0.587,,,,,,,
3055,1986,,0.0,,,,-24.024,-0.141,,,,,0.0,0.0,,,,,,,,,22286.042,,,,,,,,,,,,,,,,,20000.0,0.446,,,,,,,
3056,1987,,0.0,,,,5.617,0.025,,,,,0.0,0.0,,,,,,,,,21398.002,,,,,,,,,,,,,,,,,22000.0,0.471,,,,,,,
3057,1988,,0.0,,,,143.528,0.676,,,,,0.0,0.0,,,,,,,,,49844.533,,,,,,,,,,,,,,,,,23000.0,1.146,,,,,,,
3058,1989,,0.0,,,,-0.261,-0.003,,,,,0.0,0.0,,,,,,,,,47643.06,,,,,,,,,,,,,,,,,24000.0,1.143,,,,,,,
3059,1990,,0.0,,,,6.293,0.072,,,,,0.0,0.0,,,,,,,,,48615.493,,,,,,,,,,,,,,,,,25000.0,1.215,,,,,,,
3060,1991,,0.0,,,,-1.02,-0.012,,,,,0.0,0.0,,,,,,,,,44555.344,,,,,,,,,,,,,,,,,27000.0,1.203,,,,,,,
3061,1992,,0.0,,,,1.431,0.017,,,,,0.0,0.0,,,,,,,,,43578.707,,,,,,,,,,,,,,,,,28000.0,1.22,,,,,,,
3062,1993,,0.0,,,,-5.234,-0.064,,,,,0.0,0.0,,,,,,,,,39873.814,,,,,,,,,,,,,,,,,29000.0,1.156,,,,,,,
3063,1994,,0.0,,,,15.363,0.178,,,,,0.0,0.0,,,,,,,,,43032.088,,,,,,,,,,,,,,,,,31000.0,1.334,,,,,,,
3064,1995,,0.0,,,,7.136,0.095,,,,,0.0,0.0,,,,,,,,,44662.1,,,,,,,,,,,,,,,,,32000.0,1.429,,,,,,,
3065,1996,,0.0,,,,0.274,0.004,,,,,0.0,0.0,,,,,,,,,42150.075,,,,,,,,,,,,,,,,,34000.0,1.433,,,,,,,
3066,1997,,0.0,,,,-0.255,-0.004,,,,,0.0,0.0,,,,,,,,,39706.797,,,,,,,,,,,,,,,,,36000.0,1.429,,,,,,,
3067,1998,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,37616.966,,,,,,,,,,,,,,,,,38000.0,1.429,,,,,,,
3068,1999,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,35736.271,,,,,,,,,,,,,,,,,40000.0,1.429,,,,,,,
3069,2000,,0.0,,,,45.832,0.655,,,,,0.0,0.0,0.398,0.0,0.0,0.0,0.0,0.0,0.0,,49633.359,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,9478.333,42000.0,2.085,0.0,0.0,0.0,0.0,,0.0,0.0
3070,2001,,0.0,,,,1.263,0.026,,,,,0.0,0.0,0.425,0.0,0.0,0.0,0.0,0.0,0.0,,47975.767,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,9652.5,44000.0,2.111,0.0,0.0,0.0,0.0,,0.0,0.0
