,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
3089,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,0.316,352.539,,,,,,,,,,,,,,,,,2199000.0,0.775,,,,,2452356096.0,,
3090,1981,,0.0,,,,37.469,0.29,,,,,0.0,0.0,,,,,,,,0.377,470.719,,,,,,,,,,,,,,,,,2264000.0,1.066,,,,,2830448896.0,,
3091,1982,,0.0,,,,0.804,0.009,,,,,0.0,0.0,,,,,,,,0.372,460.077,,,,,,,,,,,,,,,,,2335000.0,1.074,,,,,2889348096.0,,
3092,1983,,0.0,,,,-1.064,-0.011,,,,,0.0,0.0,,,,,,,,0.394,441.383,,,,,,,,,,,,,,,,,2408000.0,1.063,,,,,2695579904.0,,
3093,1984,,0.0,,,,1.344,0.014,,,,,0.0,0.0,,,,,,,,0.371,434.679,,,,,,,,,,,,,,,,,2478000.0,1.077,,,,,2899787008.0,,
3094,1985,,0.0,,,,-2.387,-0.026,,,,,0.0,0.0,,,,,,,,0.319,413.62,,,,,,,,,,,,,,,,,2542000.0,1.051,,,,,3294796032.0,,
3095,1986,,0.0,,,,18.034,0.19,,,,,0.0,0.0,,,,,,,,0.38,477.688,,,,,,,,,,,,,,,,,2598000.0,1.241,,,,,3263399936.0,,
3096,1987,,0.0,,,,-7.396,-0.092,,,,,0.0,0.0,,,,,,,,0.38,434.171,,,,,,,,,,,,,,,,,2647000.0,1.149,,,,,3025665024.0,,
3097,1988,,0.0,,,,0.465,0.005,,,,,0.0,0.0,,,,,,,,0.361,428.581,,,,,,,,,,,,,,,,,2694000.0,1.155,,,,,3194115072.0,,
3098,1989,,0.0,,,,-0.216,-0.002,,,,,0.0,0.0,,,,,,,,0.34,419.558,,,,,,,,,,,,,,,,,2746000.0,1.152,,,,,3387000064.0,,
3099,1990,,0.0,,,,6.444,0.074,,,,,0.0,0.0,,,,,,,,0.366,436.889,,,,,,,,,,,,,,,,,2807000.0,1.226,,,,,3350309888.0,,
3100,1991,,0.0,,,,4.853,0.06,,,,,0.0,0.0,,,,,,,,0.392,446.633,,,,,,,,,,,,,,,,,2879000.0,1.286,,,,,3281915904.0,,
3101,1992,,0.0,,,,-3.724,-0.048,,,,,0.0,0.0,,,,,,,,0.39,418.376,,,,,,,,,,,,,,,,,2959000.0,1.238,,,,,3175524096.0,,
3102,1993,,0.0,,,,9.233,0.114,,,,,0.0,0.0,,,,,,,,0.435,443.952,,,,,,,,,,,,,,,,,3046000.0,1.352,,,,,3107740928.0,,
3103,1994,,0.0,,,,4.912,0.066,,,,,0.0,0.0,,,,,,,,0.391,452.535,,,,,,,,,,,,,,,,,3135000.0,1.419,,,,,3628901888.0,,
3104,1995,,0.0,,,,0.192,0.003,,,,,0.0,0.0,,,,,,,,0.382,441.024,,,,,,,,,,,,,,,,,3223000.0,1.421,,,,,3724743936.0,,
3105,1996,,0.0,,,,4.831,0.069,,,,,0.0,0.0,,,,,,,,0.463,450.448,,,,,,,,,,,,,,,,,3308000.0,1.49,,,,,3216335872.0,,
3106,1997,,0.0,,,,0.162,0.002,,,,,0.0,0.0,,,,,,,,0.443,440.004,,,,,,,,,,,,,,,,,3392000.0,1.492,,,,,3369662976.0,,
3107,1998,,0.0,,,,-0.383,-0.006,,,,,0.0,0.0,,,,,,,,0.42,427.85,,,,,,,,,,,,,,,,,3475000.0,1.487,,,,,3543534080.0,,
3108,1999,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.424,417.87,,,,,,,,,,,,,,,,,3558000.0,1.487,,,,,3503988992.0,,
3109,2000,,0.0,,,,7.248,0.108,,,,,0.0,0.0,0.105,0.083,0.0,0.0,0.083,0.0,0.0,0.44,438.063,,,,79.048,22.802,79.048,0.083,22.802,0.0,0.0,,,,0.0,0.0,28.846,3640000.0,1.595,22.802,79.048,0.0,0.0,3625779968.0,0.0,0.0
3110,2001,,0.0,,,,3.096,0.049,,,,,0.0,0.0,0.106,0.082,0.0,0.0,0.082,0.0,0.0,0.445,441.675,,,,77.358,22.031,77.358,0.082,22.031,0.0,0.0,,,,0.0,0.0,28.479,3722000.0,1.644,22.031,77.358,0.0,0.0,3697248000.0,0.0,0.0
3111,2002,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.106,0.082,0.0,0.0,0.082,0.0,0.0,0.444,432.382,,,,77.358,21.568,77.358,0.082,21.568,0.0,0.0,,,,0.0,0.0,27.88,3802000.0,1.644,21.568,77.358,0.0,0.0,3702816000.0,0.0,0.0
3112,2003,,0.0,,,,-4.493,-0.074,,,,,0.0,0.0,0.107,0.083,0.0,0.0,0.083,0.0,0.0,0.443,404.548,,,,77.57,21.386,77.57,0.083,21.386,0.0,0.0,,,,0.0,0.0,27.57,3881000.0,1.57,21.386,77.57,0.0,0.0,3540600064.0,0.0,0.0
3113,2004,,0.0,,,,7.055,0.111,,,,,0.0,0.0,0.149,0.124,0.0,0.0,0.124,0.0,0.0,0.461,424.449,,,,83.221,31.313,83.221,0.124,31.313,0.0,0.0,,,,0.0,0.0,37.626,3960000.0,1.681,31.313,83.221,0.0,0.0,3649938944.0,0.0,0.0
3114,2005,,0.0,,,,3.321,0.056,,,,,0.0,0.0,0.159,0.133,0.0,0.0,0.133,0.0,0.0,0.461,430.075,,,,83.648,32.937,83.648,0.133,32.937,0.0,0.0,,,,0.0,0.0,39.376,4038000.0,1.737,32.937,83.648,0.0,0.0,3769632000.0,0.0,0.0
3115,2006,,0.0,,,,4.885,0.085,,,,,0.0,0.0,0.166,0.139,0.0,0.0,0.139,0.0,0.0,0.471,442.321,,,,83.735,33.754,83.735,0.139,33.754,0.0,0.0,,,,0.0,0.0,40.311,4118000.0,1.821,33.754,83.735,0.0,0.0,3866181120.0,0.0,0.0
3116,2007,,0.0,,,,1.029,0.019,,,,,0.0,0.0,0.16,0.136,0.0,0.0,0.136,0.0,0.0,0.457,438.358,,,,85.0,32.396,85.0,0.136,32.396,0.0,0.0,,,,0.0,0.0,38.113,4198000.0,1.84,32.396,85.0,0.0,0.0,4030528000.0,0.0,0.0
3117,2008,,0.0,,,,1.415,0.026,,,,,0.0,0.0,0.16,0.136,0.0,0.0,0.136,0.0,0.0,0.457,436.759,,,,85.0,31.828,85.0,0.136,31.828,0.0,0.0,,,,0.0,0.0,37.444,4273000.0,1.866,31.828,85.0,0.0,0.0,4084080128.0,0.0,0.0
3118,2009,,0.0,,,,-0.153,-0.003,,,,,0.0,0.0,0.159,0.135,0.0,0.0,0.135,0.0,0.0,0.463,429.556,,,,84.906,31.12,84.906,0.135,31.12,0.0,0.0,,,,0.0,0.0,36.653,4338000.0,1.863,31.12,84.906,0.0,0.0,4025957888.0,0.0,0.0
3119,2010,,0.0,,,,2.569,0.048,,,,,0.0,0.0,0.159,0.134,0.0,0.0,0.134,0.0,0.0,0.456,435.671,,,,84.224,30.545,84.287,0.134,30.568,0.0,0.0,,,,0.0,0.0,36.266,4387000.0,1.911,30.568,84.287,0.063,0.023,4195770112.0,0.0,0.0
