,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
3129,1965,,,,,,,,,,,0.004,,,,,,,,,,,,0.0,,,,,,,,,,46.91,,,,,,,50.68,,,,,,,
3130,1966,,,,,,1.711,0.867,,,,0.018,,,,,,,,,,,,0.0,,,,,,,,,,47.381,,,,,,,51.547,,,,,,,
3131,1967,,,,,,5.826,3.003,,,,0.026,,,,,,,,,,,,0.0,,,,,,,,,,49.841,,,,,,,54.55,,,,,,,
3132,1968,,,,,,2.721,1.484,,,,0.019,,,,,,,,,,,,0.0,,,,,,,,,,50.834,,,,,,,56.034,,,,,,,
3133,1969,,,,,,6.893,3.862,,,,0.033,,,,,,,,,,,,0.0,,,,,,,,,,53.985,,,,,,,59.896,,,,,,,
3134,1970,,,,,,4.306,2.579,,,,0.011,,,,,,,,,,,,0.0,,,,,,,,,,55.837,,,,,,,62.475,,,,,,,
3135,1971,,,,,,4.65,2.905,,,,0.018,,,,,,,,,,,,0.0,,,,,,,,,,58.49,,,,,,,65.38,,,,,,,
3136,1972,,,,,,9.022,5.899,,,,0.081,,,,,,,,,,,,0.0,,,,,,,,,,63.729,,,,,,,71.279,,,,,,,
3137,1973,,,,,,4.904,3.496,,,,0.115,,,,,,,,,,,,0.0,,,,,,,,,,66.882,,,,,,,74.775,,,,,,,
3138,1974,,,,,,2.879,2.153,,,,0.048,,,,,,,,,,,,0.0,,,,,,,,,,68.22,,,,,,,76.927,,,,,,,
3139,1975,,,,,,9.675,7.443,,,,0.013,,,,,,,,,,,,0.0,,,,,,,,,,75.701,,,,,,,84.37,,,,,,,
3140,1976,,,,,,4.011,3.384,,,,0.008,,,,,,,,,,,,0.0,,,,,,,,,,77.571,,,,,,,87.754,,,,,,,
3141,1977,,,,,,1.016,0.891,,,,0.008,,,,,,,,,,,,0.0,,,,,,,,,,78.565,,,,,,,88.646,,,,,,,
3142,1978,,,,,,4.643,4.116,,,,0.008,,,,,,,,,,,,0.0,,,,,,,,,,79.598,,,,,,,92.762,,,,,,,
3143,1979,,,,,,2.318,2.15,,,,0.017,,,,,,,,,,,,0.0,,,,,,,,,,79.625,,,,,,,94.911,,,,,,,
3144,1980,,,,,,-2.744,-2.604,,,,0.172,,,,,,,,,,,,0.0,,,,,,,,,,74.806,,,,,,,92.307,,,,,,,
3145,1981,,,,,,1.289,1.19,,,,0.168,,,,,,,,,,,,0.0,,,,,,,,,,74.22,,,,,,,93.497,,,,,,,
