,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
3184,1980,,,,,,,,,0.0,0.0,,,,,,,,,,,0.292,259.93,,,,,,,,,,,,,,,,,4514000.0,1.173,,,,,4015536128.0,,
3185,1981,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.328,254.352,,,,,,,,,,,,,,,,,4613000.0,1.173,,,,,3580395008.0,,
3186,1982,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.311,248.691,,,,,,,,,,,,,,,,,4718000.0,1.173,,,,,3776933888.0,,
3187,1983,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.269,242.824,,,,,,,,,,,,,,,,,4832000.0,1.173,,,,,4364537856.0,,
3188,1984,,,,,,-50.0,-0.587,0.0,0.0,0.0,,,,,,,,,,,0.128,118.326,,,,,,,,,,,,,,,,,4958000.0,0.587,,,,,4587825152.0,,
3189,1985,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.119,115.145,,,,,,,,,,,,,,,,,5095000.0,0.587,,,,,4949481984.0,,
3190,1986,,,,,,95.257,0.559,0.0,0.0,0.0,,,,,,,,,,,0.218,218.315,,,,,,,,,,,,,,,,,5247000.0,1.145,,,,,5245283840.0,,
3191,1987,,,,,,-11.18,-0.128,0.0,0.0,0.0,,,,,,,,,,,0.187,187.96,,,,,,,,,,,,,,,,,5413000.0,1.017,,,,,5435136000.0,,
3192,1988,,,,,,-39.251,-0.399,0.0,0.0,0.0,,,,,,,,,,,0.106,110.568,,,,,,,,,,,,,,,,,5590000.0,0.618,,,,,5850467840.0,,
3193,1989,,,,,,9.656,0.06,0.0,0.0,0.0,,,,,,,,,,,0.114,117.381,,,,,,,,,,,,,,,,,5774000.0,0.678,,,,,5955030016.0,,
3194,1990,,,,,,109.571,0.743,0.0,0.0,0.0,,,,,,,,,,,0.231,238.199,,,,,,,,,,,,,,,,,5963000.0,1.42,,,,,6150573056.0,,
3195,1991,,,,,,-2.221,-0.032,0.0,0.0,0.0,,,,,,,,,,,0.218,225.57,,,,,,,,,,,,,,,,,6157000.0,1.389,,,,,6383651840.0,,
3196,1992,,,,,,0.274,0.004,0.0,0.0,0.0,,,,,,,,,,,0.213,219.072,,,,,,,,,,,,,,,,,6357000.0,1.393,,,,,6532308992.0,,
3197,1993,,,,,,-52.015,-0.724,0.0,0.0,0.0,,,,,,,,,,,0.104,101.807,,,,,,,,,,,,,,,,,6564000.0,0.668,,,,,6417273856.0,,
3198,1994,,,,,,9.333,0.062,0.0,0.0,0.0,,,,,,,,,,,0.108,107.746,,,,,,,,,,,,,,,,,6781000.0,0.731,,,,,6782867968.0,,
3199,1995,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.106,104.227,,,,,,,,,,,,,,,,,7010000.0,0.731,,,,,6878320128.0,,
3200,1996,,,,,,0.274,0.002,0.0,0.0,0.0,,,,,,,,,,,0.104,101.038,,,,,,,,,,,,,,,,,7251000.0,0.733,,,,,7022795776.0,,
3201,1997,,,,,,8.013,0.059,0.0,0.0,0.0,,,,,,,,,,,0.107,105.469,,,,,,,,,,,,,,,,,7503000.0,0.791,,,,,7421764096.0,,
3202,1998,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.1,101.845,,,,,,,,,,,,,,,,,7770000.0,0.791,,,,,7935219200.0,,
3203,1999,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.1,98.254,,,,,,,,,,,,0.0,0.0,,,,8054000.0,0.791,,,,,7894016000.0,,
3204,2000,,,,,,30.531,0.242,0.0,0.0,0.0,,,,0.086,0.0,0.0,0.0,0.0,0.0,0.0,0.131,123.617,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,10.292,8356000.0,1.033,0.0,0.0,0.0,0.0,7855626752.0,0.0,0.0
3205,2001,,,,,,-4.019,-0.042,0.0,0.0,0.0,,,,0.094,0.0,0.0,0.0,0.0,0.0,0.0,0.113,114.246,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,10.832,8678000.0,0.991,0.0,0.0,0.0,0.0,8759708672.0,0.0,0.0
3206,2002,,,,,,-1.286,-0.013,0.0,0.0,0.0,,,,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.103,108.514,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,11.199,9019000.0,0.979,0.0,0.0,0.0,0.0,9507372032.0,0.0,0.0
3207,2003,,,,,,-1.151,-0.011,0.0,0.0,0.0,,,,0.108,0.0,0.0,0.0,0.0,0.0,0.0,0.089,103.203,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,14.368,1532.72,0.0,0.0,11.521,9374000.0,0.967,0.0,0.0,0.0,0.0,10862531584.0,0.0,0.0
