,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
3224,1900,,,,,,,,,,,,2.609,870.16,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2998051.0,,,,,,7495147008.0,,
3225,1901,84.615,2.207,0.0,,0.0,,,,,,,4.816,1587.094,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3034615.0,,,,,,7652663808.0,,
3226,1902,25.0,1.204,0.0,,0.0,,,,,,,6.02,1960.28,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3071130.0,,,,,,8163154944.0,,
3227,1903,10.267,0.618,0.0,,0.0,,,,,,,6.638,2135.99,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3107859.0,,,,,,7751385088.0,,
3228,1904,-9.069,-0.602,0.0,,0.0,,,,,,,6.036,1919.511,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3144722.0,,,,,,8456800256.0,,
3229,1905,5.585,0.337,0.0,,0.0,,,,,,,6.373,2003.13,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3181752.0,,,,,,8137920000.0,,
3230,1906,17.506,1.116,0.0,,0.0,,,,,,,7.489,2326.576,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3218988.0,,,,,,8700795904.0,,
3231,1907,-10.718,-0.803,0.0,,0.0,,,,,,,6.687,2053.692,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3255853.0,,,,,,9139592192.0,,
3232,1908,12.845,0.859,0.0,,0.0,,,,,,,7.545,2290.996,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3293506.0,,,,,,9754707968.0,,
3233,1909,-4.362,-0.329,0.0,,0.0,,,,,,,7.216,2166.085,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3331495.0,,,,,,9915440128.0,,
3234,1910,19.466,1.405,0.0,,0.0,,,,,,,8.621,2558.263,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3369878.0,,,,,,11128535040.0,,
3235,1911,10.615,0.915,0.0,,0.0,,,,,,,9.536,2797.84,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3408384.0,,,,,,11242607616.0,,
3236,1912,11.448,1.092,0.0,,0.0,,,,,,,10.628,3082.569,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3447706.0,,,,,,12194240512.0,,
