,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
3345,1900,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,400774176.0,,,,,,336000000000.0,,
3346,1901,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,402934752.0,,,,,,,,
3347,1902,,0.291,0.0,,0.0,,,,,,,0.291,0.718,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,405061184.0,,,,,,,,
3348,1903,1972.001,5.731,0.0,,0.0,,,,,,,6.022,14.785,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,407294080.0,,,,,,,,
3349,1904,6.467,0.389,0.0,,0.0,,,,,,,6.411,15.654,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,409562848.0,,,,,,,,
3350,1905,9.973,0.639,0.0,,0.0,,,,,,,7.051,17.119,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,411867872.0,,,,,,,,
3351,1906,644.683,45.455,0.0,,0.0,,,,,,,52.506,126.769,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,414185824.0,,,,,,,,
3352,1907,-1.583,-0.831,0.0,,0.0,,,,,,,51.675,124.073,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,416486464.0,,,,,,,,
3353,1908,34.983,18.077,0.0,,0.0,,,,,,,69.752,166.54,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,418830304.0,,,,,,,,
3354,1909,-8.333,-5.813,0.0,,0.0,,,,,,,63.939,151.643,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,421646016.0,,,,,,,,
3355,1910,-10.018,-6.406,0.0,,0.0,,,,,,,57.534,135.393,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,424941280.0,,,,,,,,
3356,1911,48.515,27.912,0.0,,0.0,,,,,,,85.446,199.53,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,428238464.0,,,,,,344000000000.0,,
3357,1912,-64.857,-55.418,0.0,,0.0,,,,,,,30.028,69.355,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,432967232.0,,,,,,364000000000.0,,
3358,1913,9.911,2.976,0.0,,0.0,,,,,,,33.004,75.396,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,437748288.0,,,,,,385000000000.0,,
3359,1914,40.437,13.346,0.0,,0.0,,,,,,,46.35,104.727,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,442582272.0,,,,,,,,
3360,1915,6.509,3.017,0.0,,0.0,,,,,,,49.367,110.325,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,447469536.0,,,,,,,,
3361,1916,11.657,5.755,0.0,,0.0,,,,,,,55.122,121.84,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,452410752.0,,,,,,,,
3362,1917,10.503,5.789,0.0,,0.0,,,,,,,60.911,133.166,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,457406592.0,,,,,,,,
3363,1918,6.012,3.662,0.0,,0.0,,,,,,,64.573,139.634,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,462444544.0,,,,,,,,
3364,1919,15.267,9.858,0.0,,0.0,,,,,,,74.431,159.197,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,467541152.0,,,,,,,,
3365,1920,10.355,7.708,0.0,,0.0,,,,,,,82.139,174.202,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,471515808.0,,,,,,,,
3366,1921,-5.527,-4.54,0.0,,0.0,,,,,,,77.599,163.59,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,474352192.0,,,,,,,,
3367,1922,5.318,4.127,0.0,,0.0,,,,,,,81.726,171.682,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,476033600.0,,,,,,,,
3368,1923,20.718,16.932,0.0,,0.0,,,,,,,98.659,206.519,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,477721024.0,,,,,,,,
3369,1924,9.144,9.021,0.0,,0.0,,,,,,,107.68,224.607,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,479414432.0,,,,,,,,
3370,1925,-5.328,-5.737,0.0,,0.0,,,,,,,101.943,211.889,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,481113856.0,,,,,,,,
3371,1926,-10.953,-11.166,0.0,,0.023,,,,,,,90.777,188.014,,,,,,,,,,,0.0,0.0,,,,,,,,,0.023,0.048,,,,482819296.0,,,,,,,,
3372,1927,13.3,12.073,0.0,50.0,0.012,,,,,,,102.85,212.266,,,,,,,,,,,0.0,0.0,,,,,,,,,0.035,0.072,,,,484530720.0,,,,,,,,
3373,1928,1.616,1.662,0.0,0.0,0.0,,,,,,,104.512,214.935,,,,,,,,,,,0.0,0.0,,,,,,,,,0.035,0.072,,,,486248192.0,,,,,,,,
3374,1929,4.861,5.08,0.0,33.333,0.012,,,,,,,109.592,224.587,,,,,,,,,,,0.0,0.0,,,,,,,,,0.047,0.095,,,,487971648.0,,,,,,463000000000.0,,
3375,1930,5.505,6.034,0.0,1150.0,0.535,,,,,,,115.626,235.809,,,,,,,,,,,0.0,0.0,,,,,,,,,0.582,1.186,,,,490337696.0,,,,,,470000000000.0,,
3376,1931,6.038,6.981,0.0,22.0,0.128,,,,,,,122.607,248.517,,,,,,,,,,,0.0,0.0,,,,,,,,,0.709,1.438,,,,493353344.0,,,,,,477000000000.0,,
3377,1932,-4.172,-5.115,0.0,14.754,0.105,,,,,,,117.492,236.39,,,,,,,,,,,0.0,0.0,,,,,,,,,0.814,1.638,,,,497025248.0,,,,,,493000000000.0,,
3378,1933,9.212,10.823,0.0,24.286,0.198,,,,,,,128.315,256.444,,,,,,,,,,,0.0,0.0,,,,,,,,,1.012,2.022,,,,500363008.0,,,,,,443000000000.0,,
3379,1934,16.879,21.658,0.0,5.747,0.058,,,,,,,149.973,297.942,,,,,,,,,,,0.0,0.0,,,,,,,,,1.07,2.126,,,,503362272.0,,,,,,453000000000.0,,
3380,1935,16.635,24.948,0.0,53.261,0.57,,,,,,,174.921,345.681,,,,,,,,,,,0.0,0.0,,,,,,,,,1.64,3.241,,,,506019072.0,,,,,,492000000000.0,,
3381,1936,12.299,21.513,0.0,17.73,0.291,,,,,,,196.434,386.156,,,,,,,,,,,0.0,0.0,,,,,,,,,1.931,3.795,,,,508689888.0,,,,,,522000000000.0,,
3382,1937,-7.123,-13.991,0.0,16.867,0.326,,,,,,,182.443,356.769,,,,,,,,,,,0.0,0.0,,,,,,,,,2.256,4.412,,,,511375072.0,,,,,,509000000000.0,,
