,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
3466,1900,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4109030.0,,,,,,3782107904.0,,
3467,1901,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4189019.0,,,,,,3838339072.0,,
3468,1902,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4266348.0,,,,,,3899793920.0,,
3469,1903,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4352345.0,,,,,,3958203904.0,,
3470,1904,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4441404.0,,,,,,4017617920.0,,
3471,1905,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4533740.0,,,,,,4081506048.0,,
3472,1906,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4627973.0,,,,,,4200672000.0,,
3473,1907,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4719826.0,,,,,,4484296192.0,,
3474,1908,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4817792.0,,,,,,4739273216.0,,
3475,1909,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4917891.0,,,,,,4994306048.0,,
