,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
3587,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,0.262,602.358,,,,,,,,,,,,,,,,,308000.0,0.186,,,,,707200000.0,,
3588,1981,,0.0,,,,-0.316,-0.001,,,,,0.0,0.0,,,,,,,,0.26,581.571,,,,,,,,,,,,,,,,,318000.0,0.185,,,,,710268032.0,,
3589,1982,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.242,565.564,,,,,,,,,,,,,,,,,327000.0,0.185,,,,,765756032.0,,
3590,1983,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.233,550.415,,,,,,,,,,,,,,,,,336000.0,0.185,,,,,793145024.0,,
3591,1984,,0.0,,,,1.586,0.003,,,,,0.0,0.0,,,,,,,,0.219,544.559,,,,,,,,,,,,,,,,,345000.0,0.188,,,,,859078016.0,,
3592,1985,,0.0,,,,-14.676,-0.028,,,,,0.0,0.0,,,,,,,,0.196,451.548,,,,,,,,,,,,,,,,,355000.0,0.16,,,,,817321984.0,,
3593,1986,,0.0,,,,-33.47,-0.054,,,,,0.0,0.0,,,,,,,,0.132,291.385,,,,,,,,,,,,,,,,,366000.0,0.107,,,,,810264000.0,,
3594,1987,,0.0,,,,111.152,0.119,,,,,0.0,0.0,,,,,,,,0.279,597.312,,,,,,,,,,,,,,,,,377000.0,0.225,,,,,807212992.0,,
3595,1988,,0.0,,,,0.152,0.0,,,,,0.0,0.0,,,,,,,,0.275,581.26,,,,,,,,,,,,,,,,,388000.0,0.226,,,,,820766976.0,,
3596,1989,,0.0,,,,-0.152,0.0,,,,,0.0,0.0,,,,,,,,0.278,562.966,,,,,,,,,,,,,,,,,400000.0,0.225,,,,,809161984.0,,
3597,1990,,0.0,,,,18.318,0.041,,,,,0.0,0.0,,,,,,,,0.348,646.689,,,,,,,,,,,,,,,,,412000.0,0.266,,,,,765830016.0,,
3598,1991,,0.0,,,,-3.484,-0.009,,,,,0.0,0.0,,,,,,,,0.333,606.495,,,,,,,,,,,,,,,,,424000.0,0.257,,,,,772200000.0,,
3599,1992,,0.0,,,,0.199,0.001,,,,,0.0,0.0,,,,,,,,0.323,590.978,,,,,,,,,,,,,,,,,436000.0,0.258,,,,,797368000.0,,
3600,1993,,0.0,,,,-0.199,-0.001,,,,,0.0,0.0,,,,,,,,0.33,572.726,,,,,,,,,,,,,,,,,449000.0,0.257,,,,,778628992.0,,
3601,1994,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.356,556.61,,,,,,,,,,,,,,,,,462000.0,0.257,,,,,723104000.0,,
3602,1995,,0.0,,,,-0.068,0.0,,,,,0.0,0.0,,,,,,,,0.293,541.006,,,,,,,,,,,,,,,,,475000.0,0.257,,,,,875678976.0,,
3603,1996,,0.0,,,,0.268,0.001,,,,,0.0,0.0,,,,,,,,0.31,526.925,,,,,,,,,,,,,,,,,489000.0,0.258,,,,,830414016.0,,
3604,1997,,0.0,,,,-0.199,-0.001,,,,,0.0,0.0,,,,,,,,0.291,512.259,,,,,,,,,,,,,,,,,502000.0,0.257,,,,,882969984.0,,
3605,1998,,0.0,,,,21.871,0.056,,,,,0.0,0.0,,,,,,,,0.393,608.535,,,,,,,,,,,,,,,,,515000.0,0.313,,,,,797201984.0,,
3606,1999,,0.0,,,,0.002,0.0,,,,,0.0,0.0,,,,,,,,0.383,592.44,,,,,,,,,,,,,,,,,529000.0,0.313,,,,,817740032.0,,
3607,2000,,0.0,,,,39.911,0.125,,,,,0.0,0.0,0.019,0.002,0.0,0.0,0.002,0.0,0.0,0.55,809.009,,,,10.526,3.69,10.526,0.002,3.69,0.0,0.0,,,,0.0,0.0,35.055,542000.0,0.438,3.69,10.526,0.0,0.0,797880000.0,0.0,0.0
3608,2001,,0.0,,,,4.36,0.019,,,,,0.0,0.0,0.028,0.002,0.0,0.0,0.002,0.0,0.0,0.515,823.026,,,,7.143,3.597,7.143,0.002,3.597,0.0,0.0,,,,0.0,0.0,50.36,556000.0,0.458,3.597,7.143,0.0,0.0,888251008.0,0.0,0.0
3609,2002,,0.0,,,,0.624,0.003,,,,,0.0,0.0,0.031,0.003,0.0,0.0,0.003,0.0,0.0,0.48,809.244,,,,9.677,5.272,9.677,0.003,5.272,0.0,0.0,,,,0.0,0.0,54.482,569000.0,0.46,5.272,9.677,0.0,0.0,959153984.0,0.0,0.0
3610,2003,,0.0,,,,27.812,0.128,,,,,0.0,0.0,0.033,0.004,0.0,0.0,0.004,0.0,0.0,0.65,1009.476,,,,12.121,6.861,12.121,0.004,6.861,0.0,0.0,,,,0.0,0.0,56.604,583000.0,0.589,6.861,12.121,0.0,0.0,905649984.0,0.0,0.0
3611,2004,,0.0,,,,9.799,0.058,,,,,0.0,0.0,0.042,0.005,0.0,0.0,0.005,0.0,0.0,0.722,1082.398,,,,11.905,8.375,11.905,0.005,8.375,0.0,0.0,,,,0.0,0.0,70.352,597000.0,0.646,8.375,11.905,0.0,0.0,895062016.0,0.0,0.0
3612,2005,,0.0,,,,-3.945,-0.025,,,,,0.0,0.0,0.045,0.005,0.0,0.0,0.005,0.0,0.0,0.664,1014.214,,,,11.111,8.17,11.111,0.005,8.17,0.0,0.0,,,,0.0,0.0,73.529,612000.0,0.621,8.17,11.111,0.0,0.0,934499968.0,0.0,0.0
3613,2006,,0.0,,,,16.411,0.102,,,,,0.0,0.0,0.048,0.005,0.0,0.0,0.005,0.0,0.0,0.726,1154.252,,,,10.417,7.987,10.417,0.005,7.987,0.0,0.0,,,,0.0,0.0,76.677,626000.0,0.723,7.987,10.417,0.0,0.0,995840000.0,0.0,0.0
3614,2007,,0.0,,,,-33.925,-0.245,,,,,0.0,0.0,0.044,0.005,0.0,0.0,0.005,0.0,0.0,0.497,743.662,,,,11.364,7.788,11.364,0.005,7.788,0.0,0.0,,,,0.0,0.0,68.536,642000.0,0.477,7.788,11.364,0.0,0.0,961190976.0,0.0,0.0
3615,2008,,0.0,,,,1.952,0.009,,,,,0.0,0.0,0.043,0.005,0.0,0.0,0.005,0.0,0.0,0.47,740.868,,,,11.628,7.61,11.628,0.005,7.61,0.0,0.0,,,,0.0,0.0,65.449,657000.0,0.487,7.61,11.628,0.0,0.0,1036611968.0,0.0,0.0
3616,2009,,0.0,,,,21.997,0.107,,,,,0.0,0.0,0.041,0.005,0.0,0.0,0.005,0.0,0.0,0.581,882.349,,,,12.195,7.429,12.195,0.005,7.429,0.0,0.0,,,,0.0,0.0,60.921,673000.0,0.594,7.429,12.195,0.0,0.0,1021889984.0,0.0,0.0
3617,2010,,0.0,,,,18.773,0.111,,,,,0.0,0.0,0.045,0.005,0.0,0.0,0.005,0.0,0.0,0.695,1022.172,,,,11.111,7.246,11.111,0.005,7.246,0.0,0.0,,,,0.0,0.0,65.217,690000.0,0.705,7.246,11.111,0.0,0.0,1014521984.0,0.0,0.0
3618,2011,,0.0,,,,-10.157,-0.072,,,,,0.0,0.0,0.059,0.005,0.0,0.0,0.005,0.0,0.0,0.593,896.27,,,,8.475,7.072,8.475,0.005,7.072,0.0,0.0,,,,0.0,0.0,83.451,707000.0,0.634,7.072,8.475,0.0,0.0,1067838016.0,0.0,0.0
3619,2012,,0.0,,,,3.982,0.025,,,,,0.0,0.0,0.058,0.003,0.0,0.0,0.003,0.0,0.0,0.587,910.078,,,,5.172,4.144,5.172,0.003,4.144,0.0,0.0,,,,0.0,0.0,80.11,724000.0,0.659,4.144,5.172,0.0,0.0,1122450944.0,0.0,0.0
3620,2013,,0.0,,,,19.307,0.127,,,,,0.0,0.0,0.055,0.002,0.0,0.0,0.002,0.0,0.0,0.64,1059.445,,,,3.636,2.695,3.636,0.002,2.695,0.0,0.0,,,,0.0,0.0,74.124,742000.0,0.786,2.695,3.636,0.0,0.0,1228768000.0,0.0,0.0
3621,2014,,0.0,,,,-10.673,-0.084,,,,,0.0,0.0,0.051,0.002,0.0,0.0,0.002,0.0,0.0,0.552,925.176,,,,3.922,2.635,3.922,0.002,2.635,0.0,0.0,,,,0.0,0.0,67.194,759000.0,0.702,2.635,3.922,0.0,0.0,1271686016.0,0.0,0.0
3622,2015,,0.0,,,,7.997,0.056,,,,,0.0,0.0,0.052,0.002,0.0,0.0,0.002,0.0,0.0,0.569,976.012,,,,3.846,2.574,3.846,0.002,2.574,0.0,0.0,,,,0.0,0.0,66.924,777000.0,0.758,2.574,3.846,0.0,0.0,1332386048.0,0.0,0.0
3623,2016,,0.0,,,,4.702,0.036,,,,,0.0,0.0,0.057,0.002,0.0,0.0,0.002,0.0,0.0,0.583,997.514,,,,3.509,2.513,3.509,0.002,2.513,0.0,0.0,,,,0.0,0.0,71.608,796000.0,0.794,2.513,3.509,0.0,0.0,1361835008.0,0.0,0.0
3624,2017,,,,,,,,,,,,,,0.086,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.463,0.491,0.463,0.0,0.491,0.0,0.0,,,,0.0,0.0,106.143,814000.0,,0.491,0.463,0.0,0.0,,0.0,0.0
3625,2018,,,,,,,,,,,,,,0.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.398,0.481,0.398,0.0,0.481,0.0,0.0,,,,0.0,0.0,120.673,832000.0,,0.481,0.398,0.0,0.0,,0.0,0.0
3626,2019,,,,,,,,,,,,,,0.117,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.342,0.47,0.342,0.0,0.47,0.0,0.0,,,,0.0,0.0,137.564,851000.0,,0.47,0.342,0.0,0.0,,0.0,0.0
