,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
3747,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,6795.501,,,,,,,,,,,,,,,,,18000.0,0.122,,,,,,,
3748,1981,,0.0,,,,100.719,0.123,,,,,0.0,0.0,,,,,,,,,14442.237,,,,,,,,,,,,,,,,,17000.0,0.246,,,,,,,
3749,1982,,0.0,,,,-1.673,-0.004,,,,,0.0,0.0,,,,,,,,,14200.671,,,,,,,,,,,,,,,,,17000.0,0.241,,,,,,,
3750,1983,,0.0,,,,0.851,0.002,,,,,0.0,0.0,,,,,,,,,14321.453,,,,,,,,,,,,,,,,,17000.0,0.243,,,,,,,
3751,1984,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,14321.453,,,,,,,,,,,,,,,,,17000.0,0.243,,,,,,,
3752,1985,,0.0,,,,-0.241,-0.001,,,,,0.0,0.0,,,,,,,,,13493.226,,,,,,,,,,,,,,,,,18000.0,0.243,,,,,,,
3753,1986,,0.0,,,,-24.333,-0.059,,,,,0.0,0.0,,,,,,,,,10209.922,,,,,,,,,,,,,,,,,18000.0,0.184,,,,,,,
3754,1987,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,10209.922,,,,,,,,,,,,,,,,,18000.0,0.184,,,,,,,
3755,1988,,0.0,,,,0.274,0.001,,,,,0.0,0.0,,,,,,,,,10237.886,,,,,,,,,,,,,,,,,18000.0,0.184,,,,,,,
3756,1989,,0.0,,,,-0.273,-0.001,,,,,0.0,0.0,,,,,,,,,10209.922,,,,,,,,,,,,,,,,,18000.0,0.184,,,,,,,
3757,1990,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,10209.922,,,,,,,,,,,,,,,,,18000.0,0.184,,,,,,,
3758,1991,,0.0,,,,-31.227,-0.057,,,,,0.0,0.0,,,,,,,,,7021.676,,,,,,,,,,,,,,,,,18000.0,0.126,,,,,,,
3759,1992,,0.0,,,,46.03,0.058,,,,,0.0,0.0,,,,,,,,,9714.088,,,,,,,,,,,,,,,,,19000.0,0.185,,,,,,,
