,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
3787,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,0.867,6680.647,,,,,,,,,,,,,,,,,2390000.0,15.967,,,,,18419587072.0,,
3788,1981,,0.0,,,,2.917,0.466,,,,,0.0,0.0,,,,,,,,0.901,6690.741,,,,,,,,,,,,,,,,,2456000.0,16.432,,,,,18240823296.0,,
3789,1982,,0.0,,,,-3.599,-0.591,,,,,0.0,0.0,,,,,,,,0.924,6278.652,,,,,,,,,,,,,,,,,2523000.0,15.841,,,,,17147375616.0,,
3790,1983,,0.0,,,,11.694,1.852,,,,,0.0,0.0,,,,,,,,1.017,6823.53,,,,,,,,,,,,,,,,,2593000.0,17.693,,,,,17393156096.0,,
3791,1984,,0.0,,,,-3.822,-0.676,,,,,0.0,0.0,,,,,,,,0.913,6387.85,,,,,,,,,,,,,,,,,2664000.0,17.017,,,,,18633408512.0,,
3792,1985,,0.0,,,,-0.414,-0.07,,,,,0.0,0.0,,,,,,,,0.885,6191.725,,,,,,,,,,,,,,,,,2737000.0,16.947,,,,,19155779584.0,,
3793,1986,,0.0,,,,-3.127,-0.53,,,,,0.0,0.0,,,,,,,,0.773,5842.286,,,,,,,,,,,,,,,,,2810000.0,16.417,,,,,21239400448.0,,
3794,1987,,0.0,,,,10.516,1.726,,,,,0.0,0.0,,,,,,,,0.856,6288.787,,,,,,,,,,,,,,,,,2885000.0,18.143,,,,,21190400000.0,,
3795,1988,,0.0,,,,8.784,1.594,,,,,0.0,0.0,,,,,,,,0.908,6665.629,,,,,,,,,,,,,,,,,2961000.0,19.737,,,,,21746499584.0,,
3796,1989,,0.0,,,,8.665,1.71,,,,,0.0,0.0,,,,,,,,0.925,7057.272,,,,,,,,,,,,,,,,,3039000.0,21.447,,,,,23194859520.0,,
3797,1990,,,,,,-2.141,-0.459,,0.0,0.0,,,,,,,,,,,0.873,6729.017,,,,,,,,,,,,,,,,,3119000.0,20.988,,,,,24049514496.0,,
3798,1991,,,,,,7.246,1.521,,,,,0.0,0.0,,,,,,,,0.914,7029.524,,,,,,,,,,,,,,,,,3202000.0,22.509,,,,,24633538560.0,,
3799,1992,,0.0,,,,19.157,4.312,,,,,0.0,0.0,,,,,,,,1.004,8159.562,,,,,,,,,,,,,,,,,3287000.0,26.82,,,,,26711412736.0,,
3800,1993,,0.0,,,,8.674,2.326,,,,,0.0,0.0,,,,,,,,1.024,8643.777,,,,,,,,,,,,,,,,,3372000.0,29.147,,,,,28475052032.0,,
3801,1994,,0.0,,,,1.399,0.408,,,,,0.0,0.0,,,,,,,,0.978,8544.266,,,,,,,,,,,,,,,,,3459000.0,29.555,,,,,30220779520.0,,
3802,1995,,,,,,2.344,0.693,0.0,0.0,0.0,,,,,,,,,,,0.965,8529.994,,,,,,,,,,,,,,,,,3546000.0,30.247,,,,,31347961856.0,,
3803,1996,,,,,,-0.191,-0.058,,,,,0.0,0.0,,,,,,,,0.98,8312.126,,,,,,,,,,,,,,,,,3632000.0,30.19,,,,,30799618048.0,,
3804,1997,,,,,,13.534,4.086,0.0,0.0,0.0,,,,,,,,,,,1.06,9216.327,,,,,,,,,,,,,,,,,3719000.0,34.276,,,,,32343300096.0,,
3805,1998,,,,,,2.512,0.861,0.0,0.0,0.0,,,,,,,,,,,0.983,9236.753,,,,,,,,,,,,,,,,,3804000.0,35.137,,,,,35754467328.0,,
3806,1999,,,,,,14.942,5.25,0.0,0.0,0.0,,,,,,,,,,,1.104,10395.571,,,,,,,,,,,,,,,,,3885000.0,40.387,,,,,36596490240.0,,
3807,2000,,,,,,4.406,1.779,0.0,0.0,0.0,,,,6.848,5.617,0.0,0.993,6.793,0.0,0.183,1.142,10642.673,,,,82.018,1417.718,99.19,6.793,1714.538,0.0,0.0,,,,250.631,14.5,1728.536,3962000.0,42.166,1714.538,99.19,0.0,0.0,36935999488.0,2.672,46.189
3808,2001,,,,,,0.122,0.051,0.0,0.0,0.0,,,,6.878,5.597,0.0,1.002,6.784,0.0,0.185,1.122,10465.457,,,,81.375,1387.457,98.633,6.784,1681.706,0.0,0.0,,,,248.389,14.568,1705.007,4034000.0,42.218,1681.706,98.633,0.0,0.0,37629501440.0,2.69,45.86
3809,2002,,,,,,5.266,2.223,0.0,0.0,0.0,,,,7.419,5.871,0.0,1.174,7.304,0.0,0.259,1.161,10836.581,,,,79.138,1431.602,98.454,7.304,1781.029,0.0,0.0,,,,286.272,15.825,1808.993,4101000.0,44.441,1781.029,98.454,0.0,0.0,38275182592.0,3.491,63.155
3810,2003,,,,,,0.826,0.367,0.0,0.0,0.0,,,,7.286,5.864,0.0,0.968,7.138,0.0,0.306,1.144,10760.772,,,,80.488,1408.261,97.974,7.138,1714.217,0.0,0.0,,,,232.469,13.287,1749.659,4164000.0,44.808,1714.217,97.974,0.0,0.0,39160352768.0,4.2,73.487
3811,2004,,,,,,4.091,1.833,0.0,0.0,0.0,,,,7.963,6.421,0.0,1.223,7.901,0.0,0.257,1.138,11039.303,,,,80.635,1519.763,99.221,7.901,1870.059,0.0,0.0,,,,289.467,15.358,1884.743,4225000.0,46.641,1870.059,99.221,0.0,0.0,40976089088.0,3.227,60.828
3812,2005,,,,,,4.044,1.886,0.0,0.0,0.0,,,,8.157,6.502,0.0,1.196,7.902,0.0,0.204,1.137,11322.276,,,,79.713,1517.032,96.877,7.902,1843.677,0.0,0.0,,,,279.048,14.663,1903.112,4286000.0,48.527,1843.677,96.877,0.0,0.0,42683604992.0,2.501,47.597
3813,2006,,,,,,5.121,2.485,0.0,0.0,0.0,,,,8.585,6.535,0.0,1.275,8.084,0.0,0.274,1.146,11740.497,,,,76.121,1504.028,94.164,8.084,1860.529,0.0,0.0,,,,293.441,14.851,1975.839,4345000.0,51.012,1860.529,94.164,0.0,0.0,44507025408.0,3.192,63.061
