,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
3945,1990,,,,,,,,,0.0,0.0,9.403,,,8.748,3.805,0.0,0.0,3.805,0.0,0.0,1.49,20890.141,25.523,,,43.496,796.692,43.496,3.805,796.692,0.0,0.0,54.276,,,0.0,0.0,1831.658,4776000.0,99.771,796.692,43.496,0.0,0.0,66957324288.0,0.0,0.0
3946,1991,,,,,,-16.052,-16.016,0.0,0.0,0.0,5.287,,,8.941,5.881,0.0,0.0,5.881,0.0,0.0,1.571,17595.703,23.636,,,65.776,1235.504,65.776,5.881,1235.504,0.0,0.0,38.496,,,0.0,0.0,1878.361,4760000.0,83.756,1235.504,65.776,0.0,0.0,53329502208.0,0.0,0.0
3947,1992,,,,,,-4.793,-4.014,0.0,0.0,0.0,4.647,,,8.902,4.349,0.0,0.006,4.355,0.0,0.0,1.718,16847.954,24.501,,,48.854,918.868,48.922,4.355,920.135,0.0,0.0,38.496,,,1.268,0.067,1880.837,4733000.0,79.741,920.135,48.922,0.0,0.0,46423465984.0,0.0,0.0
3948,1993,,,,,,4.316,3.442,0.0,0.0,0.0,3.95,,,9.564,4.55,0.0,0.019,4.569,0.0,0.0,1.913,17706.127,25.869,,,47.574,968.497,47.773,4.569,972.542,0.0,0.0,40.674,,,4.044,0.199,2035.76,4698000.0,83.183,972.542,47.773,0.0,0.0,43490336768.0,0.0,0.0
3949,1994,,,,,,0.846,0.704,0.0,0.0,0.0,2.472,,,8.773,5.435,0.0,0.006,5.441,0.0,0.0,1.817,18009.265,24.339,,,61.951,1166.81,62.02,5.441,1168.098,0.0,0.0,41.962,,,1.288,0.068,1883.426,4658000.0,83.887,1168.098,62.02,0.0,0.0,46159740928.0,0.0,0.0
3950,1995,,,,,,3.493,2.93,0.0,0.0,0.0,2.032,,,9.276,5.683,0.0,0.005,5.688,0.0,0.0,1.753,18803.771,22.495,,,61.266,1230.886,61.32,5.688,1231.969,0.0,0.0,46.49,,,1.083,0.054,2009.097,4617000.0,86.817,1231.969,61.32,0.0,0.0,49532973056.0,0.0,0.0
3951,1996,,,,,,6.928,6.015,0.0,0.0,0.0,1.664,,,11.173,7.863,0.0,0.01,7.873,0.0,0.0,1.79,20291.126,25.207,,,70.375,1718.689,70.465,7.873,1720.874,0.0,0.0,44.091,,,2.186,0.09,2442.186,4575000.0,92.832,1720.874,70.465,0.0,0.0,51850924032.0,0.0,0.0
3952,1997,,,,,,-0.561,-0.521,0.0,0.0,0.0,2.829,,,10.248,5.853,0.0,0.002,5.855,0.0,0.0,1.594,20368.715,26.13,,,57.114,1291.483,57.133,5.855,1291.924,0.0,0.0,47.088,,,0.441,0.02,2261.253,4532000.0,92.311,1291.924,57.133,0.0,0.0,57923248128.0,0.0,0.0
3953,1998,,,,,,5.772,5.328,0.0,0.0,0.0,2.705,,,11.462,6.022,0.0,0.005,6.027,0.0,0.0,1.644,21736.228,25.118,,,52.539,1340.606,52.582,6.027,1341.719,0.0,0.0,53.075,,,1.113,0.044,2551.647,4492000.0,97.639,1341.719,52.582,0.0,0.0,59404398592.0,0.0,0.0
3954,1999,,,,,,3.214,3.139,0.0,0.0,0.0,2.399,,,12.979,7.327,0.0,0.002,7.329,0.0,0.0,1.667,22616.179,25.468,,,56.453,1644.3,56.468,7.329,1644.749,0.0,0.0,52.553,,,0.449,0.015,2912.702,4456000.0,100.778,1644.749,56.468,0.0,0.0,60471029760.0,0.0,0.0
