,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
4096,1965,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,1.171,8055.515,0.0,,,,,,,,,,4.68,,,,,,581000.0,4.68,,,,,3996342016.0,,
4097,1966,,,,,,14.067,0.658,0.0,0.0,0.0,0.0,,,,,,,,,,1.288,9125.875,0.0,,,,,,,,,,5.339,,,,,,585000.0,5.339,,,,,4143579904.0,,
4098,1967,,,,,,8.403,0.449,0.0,0.0,0.0,0.0,,,,,,,,,,1.25,9792.317,0.0,,,,,,,,,,5.787,,,,,,591000.0,5.787,,,,,4631468032.0,,
4099,1968,,,,,,11.059,0.64,0.0,0.0,0.0,0.0,,,,,,,,,,1.352,10747.921,0.0,,,,,,,,,,6.427,,,,,,598000.0,6.427,,,,,4752876032.0,,
4100,1969,,,,,,18.088,1.163,0.0,0.0,0.0,0.0,,,,,,,,,,1.395,12524.422,0.0,,,,,,,,,,7.59,,,,,,606000.0,7.59,,,,,5438979072.0,,
4101,1970,,,,,,5.468,0.415,0.0,0.0,0.0,0.0,,,,,,,,,,1.404,13037.191,0.0,,,,,,,,,,8.005,,,,,,614000.0,8.005,,,,,5701049856.0,,
4102,1971,,,,,,19.284,1.544,0.0,0.0,0.0,0.0,,,,,,,,,,1.519,15376.042,0.0,,,,,,,,,,9.549,,,,,,621000.0,9.549,,,,,6284939776.0,,
4103,1972,,,,,,12.447,1.189,0.0,0.0,0.0,0.0,,,,,,,,,,1.627,17097.185,0.0,,,,,,,,,,10.737,,,,,,628000.0,10.737,,,,,6600544256.0,,
4104,1973,,,,,,7.285,0.782,0.0,0.0,0.0,0.0,,,,,,,,,,1.783,18140.44,0.0,,,,,,,,,,11.519,,,,,,635000.0,11.519,,,,,6461727744.0,,
4105,1974,,,,,,-11.338,-1.306,0.0,0.0,0.0,0.0,,,,,,,,,,2.127,15908.244,0.0,,,,,,,,,,10.213,,,,,,642000.0,10.213,,,,,4801731072.0,,
4106,1975,,,,,,-16.477,-1.683,0.0,0.0,0.0,0.0,,,,,,,,,,2.223,13123.441,0.0,,,,,,,,,,8.53,,,,,,650000.0,8.53,,,,,3836468992.0,,
4107,1976,,,,,,1.674,0.143,0.0,0.0,0.0,0.0,,,,,,,,,,1.791,13180.952,0.0,,,,,,,,,,8.673,,,,,,658000.0,8.673,,,,,4843513856.0,,
4108,1977,,,,,,12.959,1.124,0.0,0.0,0.0,0.0,,,,,,,,,,1.605,14710.197,0.0,,,,,,,,,,9.797,,,,,,666000.0,9.797,,,,,6103187968.0,,
4109,1978,,,,,,2.526,0.248,0.0,0.0,0.0,0.0,,,,,,,,,,1.483,14924.953,0.0,,,,,,,,,,10.044,,,,,,673000.0,10.044,,,,,6771466752.0,,
4110,1979,,,,,,1.477,0.148,0.0,0.0,0.0,0.0,,,,,,,,,,1.324,14989.473,0.0,,,,,,,,,,10.193,,,,,,680000.0,10.193,,,,,7699230208.0,,
4111,1980,,,,,,0.842,0.086,0.0,0.0,0.0,0.0,,,,,,,,,,1.269,15005.362,0.0,,,,,,,,,,10.279,,,,,,685000.0,10.279,,,,,8099416064.0,,
4112,1981,,,,,,-4.11,-0.422,0.0,0.0,0.0,0.0,,,,,,,,,,1.215,14305.082,0.0,,,,,,,,,,9.856,,,,,,689000.0,9.856,,,,,8114957824.0,,
4113,1982,,,,,,19.862,1.958,0.0,0.0,0.0,0.0,,,,,,,,,,1.334,17071.967,0.0,,,,,,,,,,11.814,,,,,,692000.0,11.814,,,,,8855808000.0,,
4114,1983,,,,,,5.222,0.617,0.0,0.0,0.0,0.0,,,,,,,,,,1.328,17911.657,0.0,,,,,,,,,,12.431,,,,,,694000.0,12.431,,,,,9358655488.0,,
4115,1984,,,,,,1.463,0.182,0.0,0.0,0.0,0.0,,,,,,,,,,1.209,18069.483,0.0,,,,,,,,,,12.612,,,,,,698000.0,12.612,,,,,10430080000.0,,
4116,1985,,,,,,7.555,0.953,0.0,0.0,0.0,1.082,,,1.319,0.0,0.0,0.0,0.0,0.0,0.0,1.309,19269.021,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.484,,,0.0,0.0,1873.58,704000.0,13.565,0.0,0.0,0.0,0.0,10365587456.0,0.0,0.0
4117,1986,,,,,,4.261,0.578,0.0,0.0,0.0,0.663,,,1.423,0.0,0.0,0.0,0.0,0.0,0.0,1.314,19864.396,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.481,,,0.0,0.0,1998.596,712000.0,14.143,0.0,0.0,0.0,0.0,10762699776.0,0.0,0.0
4118,1987,,,,,,22.183,3.137,0.0,0.0,0.0,1.407,,,1.501,0.0,0.0,0.0,0.0,0.0,0.0,1.478,23901.576,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.874,,,0.0,0.0,2076.072,723000.0,17.281,0.0,0.0,0.0,0.0,11691319296.0,0.0,0.0
4119,1988,,,,,,3.265,0.564,0.0,0.0,0.0,0.849,,,1.647,0.0,0.0,0.0,0.0,0.0,0.0,1.438,24245.951,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.996,,,0.0,0.0,2237.772,736000.0,17.845,0.0,0.0,0.0,0.0,12405512192.0,0.0,0.0
4120,1989,,,,,,2.617,0.467,0.0,0.0,0.0,0.756,,,1.831,0.0,0.0,0.0,0.0,0.0,0.0,1.322,24383.551,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.556,,,0.0,0.0,2438.083,751000.0,18.312,0.0,0.0,0.0,0.0,13847427072.0,0.0,0.0
4121,1990,,,,,,5.256,0.963,0.0,0.0,0.0,0.709,,,1.974,0.0,0.0,0.0,0.0,0.0,0.0,1.368,25129.793,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.565,,,0.0,0.0,2573.664,767000.0,19.275,0.0,0.0,0.0,0.0,14094656512.0,0.0,0.0
4122,1991,,,,,,1.233,0.238,0.0,0.0,0.0,0.523,,,2.077,0.0,0.0,0.0,0.0,0.0,0.0,1.372,24919.76,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.989,,,0.0,0.0,2652.618,783000.0,19.512,0.0,0.0,0.0,0.0,14221155328.0,0.0,0.0
4123,1992,,,,,,16.833,3.285,0.0,0.0,0.0,0.965,,,2.43,0.0,0.0,0.0,0.0,0.0,0.0,1.555,28460.297,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.831,,,0.0,0.0,3033.708,801000.0,22.797,0.0,0.0,0.0,0.0,14659405824.0,0.0,0.0
4124,1993,,,,,,3.919,0.893,0.0,0.0,0.0,0.814,,,2.59,0.0,0.0,0.0,0.0,0.0,0.0,1.63,28925.759,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.876,,,0.0,0.0,3162.393,819000.0,23.69,0.0,0.0,0.0,0.0,14535264256.0,0.0,0.0
4125,1994,,,,,,0.178,0.042,0.0,0.0,0.0,1.116,,,2.685,0.0,0.0,0.0,0.0,0.0,0.0,1.527,28354.097,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.616,,,0.0,0.0,3207.885,837000.0,23.732,0.0,0.0,0.0,0.0,15545700352.0,0.0,0.0
4126,1995,,,,,,6.313,1.498,0.0,0.0,0.0,1.244,,,2.497,0.0,0.0,0.0,0.0,0.0,0.0,1.542,29509.583,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.986,,,0.0,0.0,2920.468,855000.0,25.231,0.0,0.0,0.0,0.0,16367174656.0,0.0,0.0
4127,1996,,,,,,1.483,0.374,0.0,0.0,0.0,1.163,,,2.609,0.0,0.0,0.0,0.0,0.0,0.0,1.594,29329.712,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.442,,,0.0,0.0,2988.545,873000.0,25.605,0.0,0.0,0.0,0.0,16063697920.0,0.0,0.0
4128,1997,,,,,,0.964,0.247,0.0,0.0,0.0,0.884,,,2.728,0.0,0.0,0.0,0.0,0.0,0.0,1.545,29014.19,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.968,,,0.0,0.0,3061.728,891000.0,25.852,0.0,0.0,0.0,0.0,16733968384.0,0.0,0.0
4129,1998,,,,,,6.17,1.595,0.0,0.0,0.0,0.163,,,2.991,0.0,0.0,0.0,0.0,0.0,0.0,1.638,30194.31,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.284,,,0.0,0.0,3290.429,909000.0,27.447,0.0,0.0,0.0,0.0,16761192448.0,0.0,0.0
4130,1999,,,,,,5.225,1.434,0.0,0.0,0.0,0.279,,,3.139,0.0,0.0,0.0,0.0,0.0,0.0,1.578,31188.663,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.602,,,0.0,0.0,3389.849,926000.0,28.881,0.0,0.0,0.0,0.0,18303567872.0,0.0,0.0
4131,2000,,,,,,4.78,1.38,0.0,0.0,0.0,0.419,,,3.37,0.0,0.0,0.0,0.0,0.0,0.0,1.456,32090.275,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.842,,,0.0,0.0,3573.701,943000.0,30.261,0.0,0.0,0.0,0.0,20776794112.0,0.0,0.0
