,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
4152,1965,,,,,,,,,0.0,0.0,410.842,,,,,,,,,,,47740.147,4.291,,,,,,,,,,47.047,,,,,,9811000.0,468.379,,,,,,,
4153,1966,,,,,,0.754,3.529,0.0,0.0,0.0,409.632,,,,,,,,,,,48050.901,4.49,,,,,,,,,,51.942,,,,,,9821000.0,471.908,,,,,,,
4154,1967,,,,,,-1.548,-7.307,0.0,0.0,0.0,396.141,,,,,,,,,,,47326.145,5.394,,,,,,,,,,57.799,,,,,,9817000.0,464.601,,,,,,,
4155,1968,,,,,,4.311,20.029,0.0,0.0,0.0,410.062,,,,,,,,,,,49411.667,6.651,,,,,,,,,,63.84,,,,,,9808000.0,484.63,,,,,,,
4156,1969,,,,,,4.269,20.689,0.0,0.0,0.0,426.205,,,,,,,,,,,51536.846,7.294,,,,,,,,,,68.493,,,,,,9805000.0,505.319,,,,,,,
4157,1970,,,,,,4.205,21.247,0.0,0.0,0.0,431.473,,,,,,,,,,4.281,53632.657,8.013,,,,,,,,,,82.329,,,,,,9818000.0,526.565,,,,,123000000000.0,,
4158,1971,,,,,,5.112,26.92,0.0,0.0,0.0,449.535,,,,,,,,,,4.291,56208.5,9.955,,,,,,,,,,90.64,,,,,,9847000.0,553.485,,,,,129000000000.0,,
4159,1972,,,,,,0.566,3.134,0.0,0.0,0.0,443.127,,,,,,,,,,4.093,56275.335,10.811,,,,,,,,,,99.171,,,,,,9891000.0,556.619,,,,,136000000000.0,,
4160,1973,,,,,,0.602,3.352,0.0,0.0,0.0,433.602,,,,,,,,,,3.943,56301.159,11.873,,,,,,,,,,111.494,,,,,,9946000.0,559.971,,,,,142000000000.0,,
4161,1974,,,,,,1.049,5.875,0.0,0.0,0.0,431.997,,,,,,,,,,3.798,56545.012,14.475,,,,,,,,,,114.321,,,,,,10007000.0,565.846,,,,,149000000000.0,,
4162,1975,,,,,,4.088,23.129,0.0,0.0,0.0,441.219,,,,,,,,,,3.728,58488.08,16.572,,,,,,,,,,126.145,,,,,,10070000.0,588.975,,,,,158000000000.0,,
4163,1976,,,,,,2.801,16.495,0.0,0.0,0.0,449.825,,,,,,,,,,3.692,59740.504,18.296,,,,,,,,,,133.332,,,,,,10135000.0,605.47,,,,,164000000000.0,,
4164,1977,,,,,,3.275,19.826,0.0,0.0,0.0,459.548,,,,,,,,,,3.7,61297.569,20.793,,,,,,,,,,139.491,,,,,,10201000.0,625.297,,,,,169000000000.0,,
4165,1978,,,,,,1.404,8.779,0.0,0.0,0.0,461.339,,,,,,,,,,3.603,61782.632,23.299,,,,,,,,,,144.354,,,,,,10263000.0,634.075,,,,,176000000000.0,,
4166,1979,,,,,,1.045,6.624,0.0,0.0,0.0,461.479,,,,,,,,,,3.579,62119.348,26.141,,,,,,,,,,146.71,,,,,,10314000.0,640.699,,,,,179000000000.0,,
4167,1980,,,,,,-3.167,-20.293,0.0,0.0,0.0,447.185,,,,,,,,,,3.409,59948.43,30.111,,,,,,,,,,136.446,,,,,,10349000.0,620.406,,,,,182000000000.0,,
4168,1981,,,,,,-0.733,-4.55,0.0,0.0,0.0,445.371,496.221,47870.093,,,,,,,,3.403,59411.191,30.208,,,,,,,,,,134.553,,,,,,10366000.0,615.856,,,,,181000000000.0,,
4169,1982,1.053,5.225,,,,-1.161,-7.151,0.0,0.0,0.0,448.825,501.446,48378.813,,,,,,,,3.401,58727.039,31.998,,,,,,,,,,123.244,,,,,,10365000.0,608.706,,,,,179000000000.0,,
4170,1983,1.63,8.175,,,,0.158,0.964,0.0,0.0,0.0,446.302,509.621,49219.74,,,,,,,,3.35,58882.503,37.542,,,,,,,,,,120.673,,,,,,10354000.0,609.669,,,,,182000000000.0,,
4171,1984,1.473,7.506,,,,3.334,20.327,0.0,0.0,0.0,454.71,517.128,50007.499,,,,,,,,3.387,60922.154,39.96,,,,,,,,,,128.278,,,,,,10341000.0,629.996,,,,,186000000000.0,,
4172,1985,-1.223,-6.327,,,,0.17,1.072,0.0,0.0,0.0,444.836,510.801,49443.48,58.121,1.671,2.397,0.0,1.671,0.0,0.0,3.321,61084.86,49.064,,,2.875,161.746,6.999,4.068,393.766,4.124,232.02,125.868,,,0.0,0.0,5625.883,10331000.0,631.068,161.746,2.875,0.0,0.0,190000000000.0,0.0,0.0
4173,1986,-0.209,-1.07,,,,1.075,6.783,0.0,0.0,0.0,442.824,509.731,49359.057,60.606,1.876,6.149,0.0,1.876,0.0,0.0,3.271,61765.308,51.846,,,3.095,181.66,13.241,8.025,777.089,10.146,595.429,120.888,,,0.0,0.0,5868.694,10327000.0,637.85,181.66,3.095,0.0,0.0,195000000000.0,0.0,0.0
4174,1987,-0.555,-2.827,,,,2.246,14.324,0.0,0.0,0.0,437.672,506.904,49085.346,62.196,2.465,10.701,0.0,2.465,0.0,0.0,3.261,63152.38,56.556,,,3.963,238.695,21.169,13.166,1274.91,17.205,1036.216,121.374,,,0.0,0.0,6022.659,10327000.0,652.175,238.695,3.963,0.0,0.0,200000000000.0,0.0,0.0
4175,1988,-2.391,-12.122,,,,0.438,2.857,0.0,0.0,0.0,442.801,494.782,47892.932,64.334,2.099,11.816,0.0,2.099,0.0,0.0,3.211,63404.519,56.916,,,3.263,203.175,21.629,13.915,1346.917,18.367,1143.742,116.662,,,0.0,0.0,6227.277,10331000.0,655.032,203.175,3.263,0.0,0.0,204000000000.0,0.0,0.0
4176,1989,-4.253,-21.041,,,,-3.064,-20.068,0.0,0.0,0.0,425.751,473.741,45834.091,65.131,1.643,12.418,0.0,1.643,0.0,0.0,3.067,61432.305,58.738,,,2.523,158.959,21.589,14.061,1360.391,19.066,1201.432,111.417,,,0.0,0.0,6301.374,10336000.0,634.964,158.959,2.523,0.0,0.0,207000000000.0,0.0,0.0
4177,1990,-10.909,-51.682,,,,-14.045,-89.18,0.0,0.0,0.0,345.945,422.059,40814.121,62.56,1.161,12.585,0.0,1.161,0.0,0.0,2.611,52778.708,61.031,,,1.856,112.272,21.973,13.746,1329.272,20.117,1217.0,100.626,,,0.0,0.0,6049.705,10341000.0,545.785,112.272,1.856,0.0,0.0,209000000000.0,0.0,0.0
4178,1991,-6.544,-27.621,,,,-8.99,-49.065,0.0,0.0,0.0,316.914,394.438,38124.671,60.528,1.089,12.132,0.0,1.089,0.0,0.0,2.822,48010.784,58.89,,,1.799,105.258,21.843,13.221,1277.885,20.044,1172.627,84.191,,,0.0,0.0,5850.377,10346000.0,496.72,105.258,1.799,0.0,0.0,176000000000.0,0.0,0.0
4179,1992,-7.367,-29.059,,,,-2.964,-14.723,0.0,0.0,0.0,295.923,365.379,35292.091,59.293,1.402,12.25,0.0,1.402,0.0,0.0,2.723,46556.241,67.451,,,2.365,135.42,23.025,13.652,1318.652,20.66,1183.232,80.681,,,0.0,0.0,5727.132,10353000.0,481.997,135.42,2.365,0.0,0.0,177000000000.0,0.0,0.0
4180,1993,-2.102,-7.682,,,,-0.823,-3.967,0.0,0.0,0.0,287.88,357.697,34530.081,58.882,1.369,12.627,0.221,1.59,0.0,0.0,2.686,46146.342,68.932,,,2.325,132.156,24.145,14.217,1372.43,21.445,1218.94,81.684,,,21.334,0.375,5684.139,10359000.0,478.03,153.49,2.7,0.0,0.0,178000000000.0,0.0,0.0
4181,1994,-8.626,-30.855,,,,-2.66,-12.718,0.0,0.0,0.0,272.467,326.842,31545.455,58.705,1.46,12.977,0.309,1.769,0.0,0.0,2.475,44909.968,67.33,,,2.487,140.913,25.119,14.746,1423.222,22.105,1252.485,84.473,,,29.823,0.526,5665.959,10361000.0,465.312,170.736,3.013,0.0,0.0,188000000000.0,0.0,0.0
4182,1995,-3.12,-10.197,,,,4.222,19.645,0.0,0.0,0.0,272.724,316.646,30570.152,60.847,2.002,12.23,0.405,2.407,0.0,0.0,2.487,46819.573,76.195,,,3.29,193.281,24.055,14.637,1413.111,20.1,1180.73,95.195,,,39.1,0.666,5874.397,10358000.0,484.957,232.381,3.956,0.0,0.0,195000000000.0,0.0,0.0
4183,1996,1.196,3.788,,,,3.448,16.724,0.0,0.0,0.0,272.119,320.434,30959.781,64.257,1.969,12.85,0.292,2.261,0.0,0.0,2.484,48471.579,87.687,,,3.064,190.242,23.517,15.111,1460.0,19.998,1241.546,99.645,,,28.213,0.454,6208.406,10350000.0,501.681,218.454,3.519,0.0,0.0,202000000000.0,0.0,0.0
4184,1997,1.512,4.843,,,,-4.109,-20.616,0.0,0.0,0.0,255.681,325.277,31464.221,64.598,1.699,12.494,0.494,2.193,0.0,0.0,2.43,46533.637,89.189,,,2.63,164.345,22.736,14.687,1420.681,19.341,1208.551,95.023,,,47.785,0.765,6248.597,10338000.0,481.065,212.13,3.395,0.0,0.0,198000000000.0,0.0,0.0
4185,1998,-6.677,-21.718,,,,-2.926,-14.075,0.0,0.0,0.0,237.002,303.559,29406.055,64.93,1.396,13.178,0.587,1.983,0.0,0.0,2.407,45237.802,89.38,,,2.15,135.232,23.35,15.161,1468.662,20.296,1276.567,98.086,,,56.863,0.904,6289.838,10323000.0,466.99,192.095,3.054,0.0,0.0,194000000000.0,0.0,0.0
4186,1999,-11.37,-34.516,,,,-4.147,-19.365,0.0,0.0,0.0,215.944,269.043,26105.444,64.692,1.681,13.357,0.683,2.364,0.0,0.0,2.296,43433.447,89.861,,,2.598,163.109,24.301,15.721,1525.422,20.647,1296.041,97.64,,,66.272,1.056,6277.12,10306000.0,447.625,229.381,3.654,0.0,0.0,195000000000.0,0.0,0.0
4187,2000,8.279,22.273,,,,5.7,25.513,0.0,0.0,0.0,246.717,291.315,28313.291,72.91,1.758,13.59,0.525,2.284,0.0,0.001,2.342,45984.85,87.227,,,2.411,170.862,21.772,15.874,1542.786,18.639,1320.828,94.429,,,51.005,0.72,7086.201,10289000.0,473.138,221.958,3.132,0.0,0.005,202000000000.0,0.001,0.086
