,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
4208,1900,,,,,,,,,,,,130.947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36377432064.0,,
4209,1901,-49.125,-64.328,,,,,,,,,,66.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4210,1902,-0.513,-0.341,,,,,,,,,,66.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4211,1903,0.602,0.399,,,,,,,,,,66.677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4212,1904,-1.164,-0.776,,,,,,,,,,65.901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4213,1905,123.195,81.186,,,,,,,,,,147.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4214,1906,-50.473,-74.239,,,,,,,,,,72.848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4215,1907,8.634,6.29,,,,,,,,,,79.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4216,1908,2.071,1.639,,,,,,,,,,80.777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4217,1909,-2.696,-2.178,,,,,,,,,,78.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4218,1910,105.591,82.993,,,,,,,,,,161.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44794798080.0,,
4219,1911,1.318,2.13,,,,,,,,,,163.722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4220,1912,6.465,10.585,,,,,,,,,,174.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4221,1913,4.597,8.013,,,,,,,,,,182.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48092594176.0,,
4222,1914,-8.667,-15.801,,,,,,,,,,166.519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4223,1915,0.052,0.087,,,,,,,,,,166.606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4224,1916,6.453,10.75,,,,,,,,,,177.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4225,1917,-5.985,-10.615,,,,,,,,,,166.741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4226,1918,-14.882,-24.814,,,,,,,,,,141.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4227,1919,-5.927,-8.412,,,,,,,,,,133.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4228,1920,12.951,17.291,,,,,,,,,,150.806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43479650304.0,,
4229,1921,6.244,9.417,,,,,,,,,,160.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46984896512.0,,
4230,1922,-11.604,-18.593,,,,,,,,,,141.631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45740683264.0,,
4231,1923,1.853,2.625,,,,,,,,,,144.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49529716736.0,,
4232,1924,20.456,29.508,,,,,,,,,,173.764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54684798976.0,,
4233,1925,-10.136,-17.612,,,,,,,,,,156.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61119553536.0,,
