,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
4325,1900,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,8727833.0,,,,,,,,
4326,1901,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,8785015.0,,,,,,,,
4327,1902,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,8841930.0,,,,,,,,
4328,1903,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,8899860.0,,,,,,,,
4329,1904,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,8958169.0,,,,,,,,
4330,1905,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,9016861.0,,,,,,,,
4331,1906,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,9075937.0,,,,,,,,
4332,1907,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,9134471.0,,,,,,,,
4333,1908,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,9194317.0,,,,,,,,
4334,1909,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,9254556.0,,,,,,,,
4335,1910,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,9315189.0,,,,,,,,
4336,1911,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,9375946.0,,,,,,,,
4337,1912,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,9437375.0,,,,,,,,
4338,1913,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,9499205.0,,,,,,,,
4339,1914,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,9561441.0,,,,,,,,
4340,1915,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,9624085.0,,,,,,,,
4341,1916,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,9687139.0,,,,,,,,
4342,1917,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,9750605.0,,,,,,,,
4343,1918,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,9815443.0,,,,,,,,
4344,1919,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,9880471.0,,,,,,,,
4345,1920,,0.016,,,,,,,,,,0.016,1.637,,,,,,,,,,,,,,,,,,,,,,,,,,9945929.0,,,,,,,,
4346,1921,50.0,0.008,,,,,,,,,,0.024,2.439,,,,,,,,,,,,,,,,,,,,,,,,,,10011822.0,,,,,,,,
4347,1922,900.0,0.22,,,,,,,,,,0.244,24.234,,,,,,,,,,,,,,,,,,,,,,,,,,10078151.0,,,,,,,,
4348,1923,103.333,0.252,,,,,,,,,,0.497,48.951,,,,,,,,,,,,,,,,,,,,,,,,,,10144920.0,,,,,,,,
4349,1924,32.787,0.163,,,,,,,,,,0.659,64.572,,,,,,,,,,,,,,,,,,,,,,,,,,10212130.0,,,,,,,,
4350,1925,-19.753,-0.13,,,,,,,,,,0.529,51.476,,,,,,,,,,,,,,,,,,,,,,,,,,10279787.0,,,,,,,,
4351,1926,38.462,0.204,,,,,,,,,,0.733,70.806,,,,,,,,,,,,,,,,,,,,,,,,,,10347891.0,,,,,,,,
4352,1927,-3.333,-0.024,,,,,,,,,,0.708,67.995,,,,,,,,,,,,,,,,,,,,,,,,,,10416446.0,,,,,,,,
4353,1928,12.644,0.09,,,,,,,,,,0.798,76.088,,,,,,,,,,,,,,,,,,,,,,,,,,10485456.0,,,,,,,,
4354,1929,6.122,0.049,,,,,,,,,,0.847,80.215,,,,,,,,,,,,,,,,,,,,,,,,,,10554923.0,,,,,,,,
4355,1930,28.846,0.244,,,,,,,,,,1.091,102.674,,,,,,,,,,,,,,,,,,,,,,,,,,10624850.0,,,,,,,,
4356,1931,-35.821,-0.391,,,,,,,,,,0.7,65.462,,,,,,,,,,,,,,,,,,,,,,,,,,10695241.0,,,,,,,,
4357,1932,-80.233,-0.562,,,,,,,,,,0.138,12.855,,,,,,,,,,,,,,,,,,,,,,,,,,10766097.0,,,,,,,,
4358,1933,-100.0,-0.138,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,10837424.0,,,,,,,,
4359,1934,,0.041,,,,,,,,,,0.041,3.731,,,,,,,,,,,,,,,,,,,,,,,,,,10909222.0,,,,,,,,
4360,1935,120.0,0.049,,,,,,,,,,0.09,8.155,,,,,,,,,,,,,,,,,,,,,,,,,,10981497.0,,,,,,,,
4361,1936,27.272,0.024,,,,,,,,,,0.114,10.31,,,,,,,,,,,,,,,,,,,,,,,,,,11054250.0,,,,,,,,
4362,1937,157.143,0.179,,,,,,,,,,0.293,26.338,,,,,,,,,,,,,,,,,,,,,,,,,,11127485.0,,,,,,,,
4363,1938,16.667,0.049,,,,,,,,,,0.342,30.525,,,,,,,,,,,,,,,,,,,,,,,,,,11201206.0,,,,,,,,
4364,1939,-35.714,-0.122,,,,,,,,,,0.22,19.494,,,,,,,,,,,,,,,,,,,,,,,,,,11275415.0,,,,,,,,
4365,1940,-11.111,-0.024,,,,,,,,,,0.195,17.214,,,,,,,,,,,,,,,,,,,,,,,,,,11350115.0,,,,,,,,
4366,1941,29.167,0.057,,,,,,,,,,0.252,22.089,,,,,,,,,,,,,,,,,,,,,,,,,,11425310.0,,,,,,,,
4367,1942,35.484,0.09,,,,,,,,,,0.342,29.73,,,,,,,,,,,,,,,,,,,,,,,,,,11501004.0,,,,,,,,
4368,1943,66.667,0.228,,,,,,,,,,0.57,49.224,,,,,,,,,,,,,,,,,,,,,,,,,,11577199.0,,,,,,,,
4369,1944,-30.0,-0.171,,,,,,,,,,0.399,34.23,,,,,,,,,,,,,,,,,,,,,,,,,,11653899.0,,,,,,,,
4370,1945,2.041,0.008,,,,,,,,,,0.407,34.698,,,,,,,,,,,,,,,,,,,,,,,,,,11731107.0,,,,,,,,
4371,1946,104.0,0.423,,,,,,,,,,0.83,70.319,,,,,,,,,,,,,,,,,,,,,,,,,,11808826.0,,,,,,,,
4372,1947,0.0,0.0,,,,,,,,,,0.83,69.856,,,,,,,,,,,,,,,,,,,,,,,,,,11887061.0,,,,,,,,
4373,1948,14.706,0.122,,,,,,,,,,0.952,79.602,,,,,,,,,,,,,,,,,,,,,,,,,,11965813.0,,,,,,,,
4374,1949,29.915,0.285,,,,,,,,,,1.237,102.733,,,,,,,,,,,,,,,,,,,,,,,,,,12045088.0,,,,,,,,
4375,1950,5.263,0.065,,,,,,,,,,1.303,106.908,,,,,,,,,,,,,,,,,,,,,,,,,,12184000.0,,,,,,22714505216.0,,
4376,1951,36.25,0.472,,,,,,,,,,1.775,142.79,,,,,,,,,,,,,,,,,,,,,,,,,,12429000.0,,,,,,26087151616.0,,
4377,1952,16.055,0.285,,,,,,,,,,2.06,162.422,,,,,,,,,,,,,,,,,,,,,,,,,,12681000.0,,,,,,28834500608.0,,
4378,1953,24.506,0.505,,,,,,,,,,2.564,198.116,,,,,,,,,,,,,,,,,,,,,,,,,,12944000.0,,,,,,31361886208.0,,
4379,1954,20.317,0.521,,,,,,,,,,3.085,233.339,,,,,,,,,,,,,,,,,,,,,,,,,,13223000.0,,,,,,32846336000.0,,
4380,1955,26.649,0.822,,,,,,,,,,3.908,289.073,,,,,,,,,,,,,,,,,,,,,,,,,,13518000.0,,,,,,34152652800.0,,
4381,1956,-12.5,-0.488,,,,,,,,,,3.419,247.232,,,,,,,,,,,,,,,,,,,,,,,,,,13830000.0,,,,,,35645022208.0,,
4382,1957,3.095,0.106,,,,,,,,,,3.525,248.927,,,,,,,,,,,,,,,,,,,,,,,,,,14161000.0,,,,,,36016336896.0,,
4383,1958,-32.102,-1.132,,,,,,,,,,2.393,164.964,,,,,,,,,,,,,,,,,,,,,,,,,,14509000.0,,,,,,35524796416.0,,
4384,1959,-9.184,-0.22,,,,,,,,,,2.174,146.157,,,,,,,,,,,,,,,,,,,,,,,,,,14872000.0,,,,,,35659083776.0,,
4385,1960,-38.951,-0.847,,,,,,,,,,1.327,87.027,,,,,,,,,,,,,,,,,,,,,,,,,,15248000.0,,,,,,35196588032.0,,
4386,1961,-55.215,-0.733,,,,,,,,,,0.594,38.003,,,,,,,,,,,,,,,,,,,,,,,,,,15638000.0,,,,,,29771819008.0,,
4387,1962,4.11,0.024,,,,,,,,,,0.619,38.571,,,,,,,,,,,,,,,,,,,,,,,,,,16041000.0,,,,,,38661545984.0,,
4388,1963,21.053,0.13,,,,,,,,,,0.749,45.497,,,,,,,,,,,,,,,,,,,,,,,,,,16462000.0,,,,,,38758051840.0,,
4389,1964,8.696,0.065,,,,,,,,,,0.814,48.16,,,,,,,,,,,,,,,,,,,,,,,,,,16904000.0,,,,,,34266947584.0,,
4390,1965,14.0,0.114,,,,,,,,,,0.928,53.43,,,,,,,,,,,,,,,,,,,,,,,,,,17370000.0,,,,,,40200990720.0,,
4391,1966,-0.877,-0.008,,,,,,,,,,0.92,51.502,,,,,,,,,,,,,,,,,,,,,,,,,,17862000.0,,,,,,43250946048.0,,
4392,1967,17.699,0.163,,,,,,,,,,1.083,58.913,,,,,,,,,,,,,,,,,,,,,,,,,,18379000.0,,,,,,40001646592.0,,
4393,1968,-46.617,-0.505,,,,,,,,,,0.578,30.56,,,,,,,,,,,,,,,,,,,,,,,,,,18914000.0,,,,,,42293977088.0,,
4394,1969,-8.451,-0.049,,,,,,,,,,0.529,27.192,,,,,,,,,,,,,,,,,,,,,,,,,,19460000.0,,,,,,47970435072.0,,
4395,1970,56.923,0.301,,,,,,,,,,0.83,41.496,,,,,,,,,,,,,,,,,,,,,,,,,,20011000.0,,,,,,49355747328.0,,
4396,1971,9.804,0.081,,,,,,,,,,0.912,44.339,,,,,,,,,,,,,,,,,,,,,,,,,,20564000.0,,,,,,49786462208.0,,
4397,1972,14.286,0.13,,,,,,,,,,1.042,49.337,,,,,,,,,,,,,,,,,,,,,,,,,,21121000.0,,,,,,48178753536.0,,
4398,1973,-10.156,-0.106,,,,,,,,,,0.936,43.163,,,,,,,,,,,,,,,,,,,,,,,,,,21690000.0,,,,,,53158326272.0,,
4399,1974,-23.478,-0.22,,,,,,,,,,0.716,32.152,,,,,,,,,,,,,,,,,,,,,,,,,,22282000.0,,,,,,56771223552.0,,
4400,1975,9.091,0.065,,,,,,,,,,0.782,34.122,,,,,,,,,,,,,,,,,,,,,,,,,,22904000.0,,,,,,46811709440.0,,
4401,1976,13.542,0.106,,,,,,,,,,0.887,37.664,,,,,,,,,,,,,,,,,,,,,,,,,,23560000.0,,,,,,41932087296.0,,
4402,1977,17.431,0.155,,,,,,,,,,1.042,42.973,,,,,,,,,,,,,,,,,,,,,,,,,,24249000.0,,,,,,44228280320.0,,
4403,1978,-16.406,-0.171,,,,,,,,,,0.871,34.905,,,,,,,,,,,,,,,,,,,,,,,,,,24956000.0,,,,,,42723786752.0,,
4404,1979,-6.542,-0.057,,,,,,,,,,0.814,31.722,,,,,,,,,,,,,,,,,,,,,,,,,,25664000.0,,,,,,49385205760.0,,
4405,1980,27.992,0.228,,,,,,,,,,1.042,39.53,,,,,,,,0.488,957.275,,,,,,,,,,,,,,,,,26359000.0,25.233,,,,,51701166080.0,,
4406,1981,1.446,0.015,,,,1.67,0.422,,,,,1.057,39.092,,,,,,,,0.522,948.754,,,,,,,,,,,,,,,,,27040000.0,25.654,,,,,49183199232.0,,
4407,1982,-12.144,-0.128,,,,1.295,0.332,,,,,0.929,33.506,,,,,,,,0.52,937.564,,,,,,,,,,,,,,,,,27717000.0,25.986,,,,,50019168256.0,,
4408,1983,-8.128,-0.075,,,,3.619,0.941,,,,,0.853,30.038,,,,,,,,0.522,948.001,,,,,,,,,,,,,,,,,28404000.0,26.927,,,,,51604525056.0,,
4409,1984,7.081,0.06,,,,-1.818,-0.489,,,,,0.914,31.374,,,,,,,,0.445,907.883,,,,,,,,,,,,,,,,,29120000.0,26.438,,,,,59410415616.0,,
4410,1985,0.0,0.0,,,,2.419,0.639,,,,,0.914,30.575,,,,,,,,0.472,906.16,,,,,,,,,,,,,,,,,29881000.0,27.077,,,,,57351680000.0,,
4411,1986,-1.649,-0.015,,,,6.121,1.657,,,,,0.899,29.284,,,,,,,,0.533,936.458,,,,,,,,,,,,,,,,,30684000.0,28.734,,,,,53901565952.0,,
