,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
4566,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,4.849,17975.715,,,,,,,,,,,,,,,,,359000.0,6.453,,,,,1330889984.0,,
4567,1981,,0.0,,,,-18.182,-1.173,,,,,0.0,0.0,,,,,,,,3.855,14079.887,,,,,,,,,,,,,,,,,375000.0,5.28,,,,,1369650048.0,,
4568,1982,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,3.712,13714.175,,,,,,,,,,,,,,,,,385000.0,5.28,,,,,1422576000.0,,
4569,1983,,0.0,,,,-27.778,-1.467,,,,,0.0,0.0,,,,,,,,2.652,9678.433,,,,,,,,,,,,,,,,,394000.0,3.813,,,,,1437820032.0,,
4570,1984,,0.0,,,,-15.385,-0.587,,,,,0.0,0.0,,,,,,,,2.3,7947.391,,,,,,,,,,,,,,,,,406000.0,3.227,,,,,1402875008.0,,
4571,1985,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,2.325,7574.274,,,,,,,,,,,,,,,,,426000.0,3.227,,,,,1387805952.0,,
4572,1986,,0.0,,,,-11.669,-0.377,,,,,0.0,0.0,,,,,,,,2.017,6277.806,,,,,,,,,,,,,,,,,454000.0,2.85,,,,,1413319936.0,,
4573,1987,,0.0,,,,2.179,0.062,,,,,0.0,0.0,,,,,,,,2.024,5943.31,,,,,,,,,,,,,,,,,490000.0,2.912,,,,,1438861952.0,,
4574,1988,,0.0,,,,-2.044,-0.06,,,,,0.0,0.0,,,,,,,,1.944,5392.635,,,,,,,,,,,,,,,,,529000.0,2.853,,,,,1467422976.0,,
4575,1989,,0.0,,,,135.016,3.852,,,,,0.0,0.0,,,,,,,,4.762,11887.076,,,,,,,,,,,,,,,,,564000.0,6.704,,,,,1407769984.0,,
