,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
4606,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,0.402,1840.801,,,,,,,,,,,,,,,,,75000.0,0.138,,,,,343508000.0,,
4607,1981,,0.0,,,,29.053,0.04,,,,,0.0,0.0,,,,,,,,0.449,2375.603,,,,,,,,,,,,,,,,,75000.0,0.178,,,,,397158016.0,,
4608,1982,,0.0,,,,-1.604,-0.003,,,,,0.0,0.0,,,,,,,,0.422,2337.508,,,,,,,,,,,,,,,,,75000.0,0.175,,,,,415732000.0,,
4609,1983,,0.0,,,,9.778,0.017,,,,,0.0,0.0,,,,,,,,0.452,2600.756,,,,,,,,,,,,,,,,,74000.0,0.192,,,,,425796000.0,,
4610,1984,,0.0,,,,1.789,0.003,,,,,0.0,0.0,,,,,,,,0.439,2647.294,,,,,,,,,,,,,,,,,74000.0,0.196,,,,,446145984.0,,
4611,1985,,0.0,,,,7.265,0.014,,,,,0.0,0.0,,,,,,,,0.493,2878.52,,,,,,,,,,,,,,,,,73000.0,0.21,,,,,426392992.0,,
4612,1986,,0.0,,,,-12.08,-0.025,,,,,0.0,0.0,,,,,,,,0.396,2530.785,,,,,,,,,,,,,,,,,73000.0,0.185,,,,,466272000.0,,
4613,1987,,0.0,,,,31.989,0.059,,,,,0.0,0.0,,,,,,,,0.489,3386.754,,,,,,,,,,,,,,,,,72000.0,0.244,,,,,499104000.0,,
4614,1988,,0.0,,,,6.718,0.016,,,,,0.0,0.0,,,,,,,,0.499,3665.176,,,,,,,,,,,,,,,,,71000.0,0.26,,,,,521140000.0,,
4615,1989,,0.0,,,,-0.185,0.0,,,,,0.0,0.0,,,,,,,,0.493,3658.384,,,,,,,,,,,,,,,,,71000.0,0.26,,,,,526393984.0,,
4616,1990,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.467,3710.647,,,,,,,,,,,,,,,,,70000.0,0.26,,,,,556080000.0,,
