,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
4646,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,1.132,4410.691,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5804000.0,25.6,,,,,22611392512.0,,
4647,1981,,0.0,0.0,,0.0,-1.938,-0.496,,,,,0.0,0.0,,,,,,,,1.0,4229.021,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5936000.0,25.103,,,,,25095096320.0,,
4648,1982,,0.0,0.0,,0.0,6.417,1.611,,,,,0.0,0.0,,,,,,,,1.04,4402.48,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6068000.0,26.714,,,,,25690576896.0,,
4649,1983,,0.0,0.0,,0.0,17.908,4.784,,,,,0.0,0.0,,,,,,,,1.161,5080.364,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6200000.0,31.498,,,,,27128958976.0,,
4650,1984,,0.0,0.0,,0.0,-13.217,-4.163,,,,,0.0,0.0,,,,,,,,0.915,4316.992,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6332000.0,27.335,,,,,29874212864.0,,
4651,1985,,0.0,0.0,,0.0,7.278,1.989,,,,,0.0,0.0,,,,,,,,0.957,4536.593,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6464000.0,29.325,,,,,30651095040.0,,
4652,1986,,0.0,0.0,,0.0,7.953,2.332,,,,,0.0,0.0,,,,,,,,0.989,4798.67,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6597000.0,31.657,,,,,32004986880.0,,
4653,1987,,0.0,0.0,,0.0,9.899,3.134,,,,,0.0,0.0,,,,,,,,1.012,5169.446,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6730000.0,34.79,,,,,34370088960.0,,
4654,1988,,0.0,0.0,,0.0,11.026,3.836,,,,,0.0,0.0,,,,,,,,1.079,5628.217,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6863000.0,38.626,,,,,35810332672.0,,
4655,1989,,0.0,0.0,,0.0,-2.684,-1.037,,,,,0.0,0.0,,,,,,,,1.01,5371.511,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6998000.0,37.59,,,,,37209120768.0,,
4656,1990,,0.0,0.0,,0.0,8.04,3.022,,,,,0.0,0.0,,,,,,,,1.145,5693.522,,0.0,0.0,,,,,,,,,0.0,0.0,,,,7133000.0,40.612,,,,,35464581120.0,,
4657,1991,,0.0,0.0,,0.0,-3.464,-1.407,,,,,0.0,0.0,,,,,,,,1.066,5392.744,,0.0,0.0,,,,,,,,,0.0,0.0,,,,7270000.0,39.205,,,,,36791832576.0,,
4658,1992,,0.0,0.0,,0.0,7.006,2.747,,,,,0.0,0.0,,,,,,,,1.04,5663.077,,0.0,0.0,,,,,,,,,0.0,0.0,,,,7408000.0,41.952,,,,,40321675264.0,,
4659,1993,,0.0,0.0,,0.0,-6.465,-2.712,,,,,0.0,0.0,,,,,,,,0.89,5200.098,,0.0,0.0,,,,,,,,,0.0,0.0,,,,7546000.0,39.24,,,,,44109684736.0,,
4660,1994,,0.0,0.0,,0.0,9.087,3.566,,,,,0.0,0.0,,,,,,,,0.923,5570.77,,0.0,0.0,,,,,,,,,0.0,0.0,,,,7684000.0,42.806,,,,,46378332160.0,,
4661,1995,,0.0,0.0,,0.0,7.913,3.387,,,,,0.0,0.0,,,,,,,,0.973,5907.773,,0.0,0.0,,,,,,,,,0.0,0.0,,,,7819000.0,46.193,,,,,47455686656.0,,
4662,1996,,0.0,0.0,,0.0,8.609,3.977,,,,,0.0,0.0,,,,,,,,1.022,6308.274,,0.0,0.0,,,,,,,,,0.0,0.0,,,,7953000.0,50.17,,,,,49078173696.0,,
4663,1997,,0.0,0.0,,0.0,5.905,2.963,,,,,0.0,0.0,,,,,,,,0.989,6572.529,,0.0,0.0,,,,,,,,,0.0,0.0,,,,8084000.0,53.132,,,,,53724635136.0,,
4664,1998,,0.0,0.0,,0.0,3.51,1.865,,,,,0.0,0.0,,,,,,,,0.929,6695.581,,0.0,0.0,,,,,,,,,0.0,0.0,,,,8214000.0,54.997,,,,,59205898240.0,,
4665,1999,,0.0,0.0,,0.0,13.481,7.414,,,,,0.0,0.0,,,,,,,,0.992,7480.737,,0.0,0.0,,,,,,,,,0.0,0.0,,,,8343000.0,62.412,,,,,62929440768.0,,
4666,2000,,0.0,0.0,,0.0,37.866,23.633,,,,,0.0,0.0,8.067,0.754,0.0,0.038,0.792,0.0,0.0,1.349,10157.57,,0.0,0.0,9.347,89.01,9.818,0.792,93.495,0.0,0.0,,0.0,0.0,4.486,0.471,952.268,8471000.0,86.045,93.495,9.818,0.0,0.0,63797911552.0,0.0,0.0
4667,2001,,0.0,0.0,,0.0,-2.814,-2.421,,,,,0.0,0.0,9.733,0.696,0.0,0.038,0.734,0.0,0.0,1.193,9724.836,,0.0,0.0,7.151,80.94,7.542,0.734,85.359,0.0,0.0,,0.0,0.0,4.419,0.39,1131.832,8599000.0,83.624,85.359,7.542,0.0,0.0,70083977216.0,0.0,0.0
4668,2002,,0.0,0.0,,0.0,5.646,4.722,,,,,0.0,0.0,11.816,0.871,0.0,0.039,0.91,0.0,0.0,1.243,10125.58,,0.0,0.0,7.371,99.828,7.702,0.91,104.298,0.0,0.0,,0.0,0.0,4.47,0.33,1354.256,8725000.0,88.346,104.298,7.702,0.0,0.0,71063699456.0,0.0,0.0
4669,2003,,0.0,0.0,,0.0,-8.282,-7.317,,,,,0.0,0.0,12.543,1.193,0.0,0.045,1.238,0.0,0.0,1.196,9155.834,,0.0,0.0,9.511,134.802,9.87,1.238,139.887,0.0,0.0,,0.0,0.0,5.085,0.359,1417.331,8850000.0,81.029,139.887,9.87,0.0,0.0,67760832512.0,0.0,0.0
4670,2004,,0.0,0.0,,0.0,-6.801,-5.51,,,,,0.0,0.0,11.188,1.6,0.0,0.07,1.67,0.0,0.0,1.073,8415.281,,0.0,0.0,14.302,178.293,14.927,1.67,186.093,0.0,0.0,,0.0,0.0,7.8,0.626,1246.657,8974000.0,75.519,186.093,14.927,0.0,0.0,70368313344.0,0.0,0.0
4671,2005,,0.0,0.0,,0.0,9.655,7.291,,,,,0.0,0.0,11.98,1.908,0.0,0.005,1.913,0.0,0.0,1.049,9103.008,,0.0,0.0,15.926,209.739,15.968,1.913,210.289,0.0,0.0,,0.0,0.0,0.55,0.042,1316.962,9097000.0,82.81,210.289,15.968,0.0,0.0,78938693632.0,0.0,0.0
4672,2006,,0.0,0.0,,0.0,-0.057,-0.047,,,,,0.0,0.0,13.06,1.75,0.0,0.029,1.779,0.0,0.0,0.944,8977.418,,0.0,0.0,13.4,189.825,13.622,1.779,192.971,0.0,0.0,,0.0,0.0,3.146,0.222,1416.633,9219000.0,82.763,192.971,13.622,0.0,0.0,87716773888.0,0.0,0.0
4673,2007,,0.0,0.0,,0.0,2.855,2.363,,,,,0.0,0.0,13.65,1.701,0.0,0.038,1.739,0.0,0.0,0.887,9115.103,,0.0,0.0,12.462,182.139,12.74,1.739,186.208,0.0,0.0,,0.0,0.0,4.069,0.278,1461.585,9339000.0,85.126,186.208,12.74,0.0,0.0,95965347840.0,0.0,0.0
4674,2008,,0.0,0.0,,0.0,-0.578,-0.492,,,,,0.0,0.0,11.676,1.384,0.0,0.029,1.413,0.0,0.0,0.866,8948.438,,0.0,0.0,11.853,146.331,12.102,1.413,149.397,0.0,0.0,,0.0,0.0,3.066,0.248,1234.51,9458000.0,84.634,149.397,12.102,0.0,0.0,97710768128.0,0.0,0.0
4675,2009,,0.0,0.0,,0.0,-1.144,-0.968,,,,,0.0,0.0,11.558,1.464,0.0,0.028,1.492,0.0,0.0,0.804,8736.142,,0.0,0.0,12.667,152.866,12.914,1.492,155.842,0.0,0.0,,0.0,0.0,2.924,0.242,1206.798,9577000.0,83.666,155.842,12.914,0.0,0.0,104000000000.0,0.004,0.052
4676,2010,,0.0,0.0,,0.0,5.359,4.484,,,,,0.0,0.0,13.988,1.435,0.0,0.075,1.51,0.0,0.0,0.78,9092.287,,0.0,0.0,10.259,148.014,10.798,1.51,155.802,0.0,0.0,,0.0,0.0,7.736,0.536,1442.812,9695000.0,88.15,155.802,10.798,0.0,0.0,113000000000.0,0.004,0.052
4677,2011,,0.0,0.0,,0.0,3.12,2.75,,,,,0.0,0.0,14.93,1.531,0.0,0.075,1.62,0.0,0.014,0.784,9263.188,,0.0,0.0,10.254,156.018,10.85,1.62,165.087,0.0,0.0,,0.0,0.0,7.643,0.502,1521.492,9813000.0,90.9,165.087,10.85,0.0,0.0,116000000000.0,0.094,1.427
4678,2012,,0.0,0.0,,0.0,6.263,5.693,,,,,0.0,0.0,15.799,1.784,0.0,0.078,1.959,0.001,0.096,0.805,9726.385,,0.0,0.0,11.292,179.64,12.4,1.959,197.261,0.0,0.0,,0.0,0.0,7.854,0.494,1590.839,9931000.0,96.593,197.261,12.4,0.006,0.101,120000000000.0,0.608,9.667
4679,2013,,0.0,0.0,,0.0,-3.923,-3.79,,,,,0.0,0.0,16.727,1.883,0.0,0.078,2.21,0.009,0.24,0.748,9235.985,,0.0,0.0,11.257,187.4,13.212,2.21,219.944,0.0,0.0,,0.0,0.0,7.763,0.466,1664.745,10048000.0,92.803,219.944,13.212,0.054,0.896,124000000000.0,1.435,23.885
4680,2014,,0.0,0.0,,0.0,-3.834,-3.558,,,,,0.0,0.0,16.282,1.323,0.0,0.073,1.654,0.018,0.24,0.681,8779.66,,0.0,0.0,8.125,130.152,10.158,1.654,162.715,0.0,0.0,,0.0,0.0,7.182,0.448,1601.798,10165000.0,89.245,162.715,10.158,0.111,1.771,131000000000.0,1.474,23.61
4681,2015,,0.0,0.0,,0.0,9.555,8.527,,,,,0.0,0.0,16.917,0.934,0.0,0.074,1.33,0.032,0.29,0.698,9509.104,,0.0,0.0,5.521,90.838,7.862,1.33,129.352,0.0,0.0,,0.0,0.0,7.197,0.437,1645.31,10282000.0,97.773,129.352,7.862,0.189,3.112,140000000000.0,1.714,28.205
4682,2016,,0.0,0.0,,0.0,7.609,7.44,,,,,0.0,0.0,17.671,1.504,0.0,0.074,1.973,0.075,0.32,0.706,10118.515,,0.0,0.0,8.511,144.643,11.165,1.973,189.748,0.0,0.0,,0.0,0.0,7.117,0.419,1699.461,10398000.0,105.212,189.748,11.165,0.424,7.213,149000000000.0,1.811,30.775
4683,2017,,,,,,,,,,,,,,18.045,2.174,0.0,0.153,2.856,0.139,0.39,,,,,,12.047,206.792,15.827,2.856,271.664,0.0,0.0,,,,14.553,0.848,1716.49,10513000.0,,271.664,15.827,0.77,13.222,,2.161,37.097
4684,2018,,,,,,,,,,,,,,18.616,1.762,0.0,0.209,2.698,0.23,0.497,,,,,,9.465,165.804,14.493,2.698,253.882,0.0,0.0,,,,19.667,1.123,1751.761,10627000.0,,253.882,14.493,1.235,21.643,,2.67,46.768
4685,2019,,,,,,,,,,,,,,18.515,1.053,0.0,0.254,2.487,0.4,0.78,,,,,,5.687,98.054,13.432,2.487,231.586,0.0,0.0,,,,23.652,1.372,1724.113,10739000.0,,231.586,13.432,2.16,37.247,,4.213,72.632
