,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
4686,1965,,,,,,,,,,,21.081,,,,,,,,,,,,0.0,,,,,,,,,,65.39,,,,,,,103.269,,,,,,,
4687,1966,,,,,,9.744,10.063,,,,24.53,,,,,,,,,,,,0.009,,,,,,,,,,68.883,,,,,,,113.332,,,,,,,
4688,1967,,,,,,2.98,3.378,,,,24.77,,,,,,,,,,,,0.009,,,,,,,,,,72.457,,,,,,,116.71,,,,,,,
4689,1968,,,,,,4.171,4.868,,,,26.106,,,,,,,,,,,,0.009,,,,,,,,,,75.469,,,,,,,121.578,,,,,,,
4690,1969,,,,,,4.663,5.67,,,,25.324,,,,,,,,,,,,0.009,,,,,,,,,,79.937,,,,,,,127.248,,,,,,,
4691,1970,,,,,,12.99,16.529,,,,28.673,,,,,,,,,,,,0.009,,,,,,,,,,83.595,,,,,,,143.777,,,,,,,
4692,1971,,,,,,7.222,10.384,,,,29.232,,,,,,,,,,,,0.009,,,,,,,,,,99.838,,,,,,,154.161,,,,,,,
4693,1972,,,,,,4.847,7.472,,,,27.273,,,,,,,,,,,,0.009,,,,,,,,,,103.744,,,,,,,161.633,,,,,,,
4694,1973,,,,,,5.483,8.863,,,,29.954,,,,,,,,,,,,0.009,,,,,,,,,,108.917,,,,,,,170.496,,,,,,,
4695,1974,,,,,,3.623,6.177,,,,27.58,,,,,,,,,,,,0.009,,,,,,,,,,109.074,,,,,,,176.673,,,,,,,
4696,1975,,,,,,-2.369,-4.186,,,,25.064,,,,,,,,,,,,0.009,,,,,,,,,,104.854,,,,,,,172.487,,,,,,,
4697,1976,,,,,,7.243,12.493,,,,33.091,,,,,,,,,,,,0.009,,,,,,,,,,104.963,,,,,,,184.98,,,,,,,
4698,1977,,,,,,1.283,2.373,,,,26.959,,,,,,,,,,,,0.009,,,,,,,,,,106.935,,,,,,,187.353,,,,,,,
4699,1978,,,,,,-2.632,-4.932,,,,26.371,,,,,,,,,,,,0.009,,,,,,,,,,104.947,,,,,,,182.421,,,,,,,
4700,1979,,,,,,3.174,5.79,,,,25.888,,,,,,,,,,,,0.01,,,,,,,,,,106.936,,,,,,,188.211,,,,,,,
4701,1980,,,,,,0.108,0.204,,,,26.92,,,,,,,,,,,,0.011,,,,,,,,,,110.802,,,,,,,188.415,,,,,,,
4702,1981,,,,,,-1.474,-2.778,,,,25.28,,,,,,,,,,,,0.01,,,,,,,,,,107.414,,,,,,,185.637,,,,,,,
4703,1982,,,,,,-1.441,-2.674,,,,24.41,,,,,,,,,,,,0.011,,,,,,,,,,103.627,,,,,,,182.963,,,,,,,
4704,1983,,,,,,0.615,1.125,,,,27.032,,,,,,,,,,,,0.011,,,,,,,,,,102.688,,,,,,,184.088,,,,,,,
4705,1984,,,,,,-0.687,-1.264,,,,25.466,,,,,,,,,,,,0.004,,,,,,,,,,104.356,,,,,,,182.824,,,,,,,
4706,1985,,,,,,3.518,6.432,,,,27.176,,,24.101,19.692,0.0,0.227,19.919,0.0,0.0,,,0.004,,,81.706,,82.648,19.919,,0.0,,106.747,,,,0.942,,,189.256,,82.648,0.0,,,0.0,
4707,1986,,,,,,5.195,9.831,,,,31.516,,,24.675,18.845,0.0,0.617,19.462,0.0,0.0,,,0.003,,,76.374,,78.874,19.462,,0.0,,113.506,,,,2.5,,,199.087,,78.874,0.0,,,0.0,
4708,1987,,,,,,0.338,0.672,,,,37.382,,,24.88,16.427,0.0,0.615,17.042,0.0,0.0,,,0.001,,,66.024,,68.496,17.042,,0.0,,115.037,,,,2.472,,,199.76,,68.496,0.0,,,0.0,
4709,1988,,,,,,8.248,16.476,,,,37.635,,,27.228,18.618,0.0,0.583,19.201,0.0,0.0,,,0.002,,,68.381,,70.522,19.201,,0.0,,125.262,,,,2.141,,,216.236,,70.522,0.0,,,0.0,
4710,1989,,,,,,1.299,2.809,,,,37.01,,,26.429,18.026,0.0,0.574,18.6,0.0,0.0,,,0.001,,,68.207,,70.379,18.6,,0.0,,130.366,,,,2.172,,,219.045,,70.379,0.0,,,0.0,
4711,1990,,,,,,12.597,27.592,,,,52.365,,,30.019,21.346,0.0,0.713,22.059,0.0,0.0,,,0.002,,,71.106,,73.482,22.059,,0.0,,132.997,,,,2.375,,,246.637,,73.482,0.0,,,0.0,
4712,1991,,,,,,-4.766,-11.754,,,,43.0,,,31.428,21.743,0.0,0.716,22.459,0.0,0.0,,,0.001,,,69.182,,71.46,22.459,,0.0,,129.497,,,,2.278,,,234.883,,71.46,0.0,,,0.0,
4713,1992,,,,,,-1.845,-4.334,,,,43.973,,,28.78,19.633,0.0,0.709,20.342,0.0,0.0,,,0.003,,,68.217,,70.681,20.342,,0.0,,130.068,,,,2.464,,,230.549,,70.681,0.0,,,0.0,
4714,1993,,,,,,6.543,15.084,,,,52.997,,,30.312,20.533,0.0,0.698,21.231,0.0,0.0,,,0.003,,,67.738,,70.041,21.231,,0.0,,133.659,,,,2.303,,,245.633,,70.041,0.0,,,0.0,
4715,1994,,,,,,0.634,1.556,,,,47.429,,,30.735,20.672,0.0,0.586,21.258,0.0,0.0,,,0.003,,,67.259,,69.166,21.258,,0.0,,140.706,,,,1.907,,,247.189,,69.166,0.0,,,0.0,
4716,1995,,,,,,1.851,4.575,,,,46.154,,,31.729,20.862,0.0,0.73,21.592,0.0,0.0,,,0.005,,,65.751,,68.051,21.592,,0.0,,145.628,,,,2.301,,,251.765,,68.051,0.0,,,0.0,
4717,1996,,,,,,0.564,1.419,,,,42.76,,,31.468,20.736,0.0,0.894,21.63,0.0,0.0,,,0.005,,,65.895,,68.736,21.63,,0.0,,150.336,,,,2.841,,,253.184,,68.736,0.0,,,0.0,
4718,1997,,,,,,3.953,10.008,,,,47.479,,,33.486,21.813,0.0,0.912,22.725,0.0,0.0,,,0.006,,,65.141,,67.865,22.725,,0.0,,152.582,,,,2.724,,,263.192,,67.865,0.0,,,0.0,
4719,1998,,,,,,6.481,17.059,,,,44.97,,,38.842,27.865,0.0,1.147,29.012,0.0,0.0,,,0.014,,,71.739,,74.691,29.012,,0.0,,154.68,,,,2.952,,,280.25,,74.691,0.0,,,0.0,
4720,1999,,,,,,2.123,5.951,,,,38.268,,,41.048,29.366,0.0,1.132,30.498,0.0,0.0,,,0.019,,,71.54,,74.298,30.498,,0.0,,163.197,,,,2.758,,,286.201,,74.298,0.0,,,0.0,
4721,2000,,,,,,1.201,3.436,,,,35.45,,,42.277,30.854,0.0,1.5,32.354,0.0,0.0,,,0.023,,,72.98,,76.528,32.354,,0.0,,164.292,,,,3.547,,,289.638,,76.528,0.0,,,0.0,
4722,2001,,,,,,7.585,21.97,,,,37.527,,,46.296,34.958,0.0,1.596,36.554,0.0,0.0,,,0.021,,,75.511,,78.958,36.554,,0.0,,173.179,,,,3.447,,,311.607,,78.958,0.0,,,0.0,
