,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
4981,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,1.026,2813.046,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4591000.0,12.915,,,,,12585780224.0,,
4982,1981,,0.0,0.0,,0.0,-9.142,-1.181,,,,,0.0,0.0,,,,,,,,1.002,2514.802,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4666000.0,11.734,,,,,11711320064.0,,
4983,1982,,0.0,0.0,,0.0,0.45,0.053,,,,,0.0,0.0,,,,,,,,1.033,2488.268,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4737000.0,11.787,,,,,11410560000.0,,
4984,1983,,0.0,0.0,,0.0,3.002,0.354,,,,,0.0,0.0,,,,,,,,1.05,2526.687,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4805000.0,12.141,,,,,11561958400.0,,
4985,1984,,0.0,0.0,,0.0,5.508,0.669,,,,,0.0,0.0,,,,,,,,1.055,2629.739,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4871000.0,12.809,,,,,12146536448.0,,
4986,1985,,0.0,0.0,,0.0,-0.32,-0.041,,,,,0.0,0.0,,,,,,,,1.038,2586.288,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4937000.0,12.769,,,,,12298742784.0,,
4987,1986,,0.0,0.0,,0.0,7.162,0.914,,,,,0.0,0.0,,,,,,,,1.034,2735.491,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5002000.0,13.683,,,,,13236756480.0,,
4988,1987,,0.0,0.0,,0.0,-1.875,-0.257,,,,,0.0,0.0,,,,,,,,1.009,2649.245,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5068000.0,13.426,,,,,13308399616.0,,
4989,1988,,0.0,0.0,,0.0,9.367,1.258,,,,,0.0,0.0,,,,,,,,1.054,2860.717,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5133000.0,14.684,,,,,13932918784.0,,
4990,1989,,0.0,0.0,,0.0,0.711,0.104,,,,,0.0,0.0,,,,,,,,1.017,2843.4,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5201000.0,14.789,,,,,14537324544.0,,
4991,1990,,,,,,3.904,0.577,,0.0,0.0,,,,,,,,,,,1.005,2915.724,,,,,,,,,,,,,,,,,5270000.0,15.366,,,,,15284009984.0,,
4992,1991,,,,,,-0.549,-0.084,,,,,0.0,0.0,,,,,,,,0.954,2860.639,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5342000.0,15.282,,,,,16014071808.0,,
4993,1992,,0.0,0.0,,0.0,13.185,2.015,,,,,0.0,0.0,,,,,,,,0.984,3193.562,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5416000.0,17.296,,,,,17575950336.0,,
4994,1993,,0.0,0.0,,0.0,3.449,0.597,,,,,0.0,0.0,,,,,,,,0.912,3259.176,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5490000.0,17.893,,,,,19613118464.0,,
4995,1994,,0.0,0.0,,0.0,9.52,1.703,,,,,0.0,0.0,,,,,,,,0.911,3523.242,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5562000.0,19.596,,,,,21520654336.0,,
4996,1995,,,,,,25.362,4.97,0.0,0.0,0.0,,,,,,,,,,,1.02,4364.249,,,,,,,,,,,,,,,,,5629000.0,24.566,,,,,24090079232.0,,
4997,1996,,,,,,1.734,0.426,,,,,0.0,0.0,,,,,,,,1.011,4392.308,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5690000.0,24.992,,,,,24720852992.0,,
4998,1997,,0.0,0.0,,0.0,-0.458,-0.115,,,,,0.0,0.0,,,,,,,,0.96,4329.563,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5746000.0,24.878,,,,,25918926848.0,,
4999,1998,,0.0,0.0,,0.0,14.388,3.579,,,,,0.0,0.0,,,,,,,,1.042,4908.089,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5798000.0,28.457,,,,,27314784256.0,,
5000,1999,,0.0,0.0,,0.0,4.697,1.337,,,,,0.0,0.0,,,,,,,,1.051,5097.284,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5845000.0,29.794,,,,,28355411968.0,,
5001,2000,,,,,,-4.797,-1.429,0.0,0.0,0.0,,,,3.726,1.163,0.0,0.806,1.969,0.0,0.0,0.955,4817.335,,,,31.212,197.52,52.846,1.969,334.426,0.0,0.0,,,,136.889,21.631,632.829,5888000.0,28.364,334.426,52.846,0.003,0.017,29694599168.0,0.0,0.0
5002,2001,,,,,,4.085,1.159,0.0,0.0,0.0,,,,3.79,1.152,0.0,0.985,2.137,0.0,0.0,0.965,4981.14,,,,30.395,194.365,56.386,2.137,360.57,0.0,0.0,,,,166.189,25.989,639.463,5927000.0,29.523,360.57,56.386,0.003,0.017,30590916608.0,0.0,0.0
5003,2002,,,,,,3.79,1.119,0.0,0.0,0.0,,,,3.973,1.128,0.0,1.015,2.143,0.0,0.0,0.954,5139.578,,,,28.391,189.198,53.94,2.143,359.46,0.0,0.0,,,,170.245,25.547,666.404,5962000.0,30.642,359.46,53.94,0.003,0.017,32130488320.0,0.0,0.0
5004,2003,,,,,,6.945,2.128,0.0,0.0,0.0,,,,4.265,1.451,0.0,1.067,2.518,0.0,0.0,0.97,5467.195,,,,34.02,242.075,59.04,2.518,420.103,0.0,0.0,,,,178.011,25.017,711.562,5994000.0,32.77,420.103,59.04,0.002,0.017,33779519488.0,0.0,0.0
5005,2004,,,,,,-0.172,-0.057,0.0,0.0,0.0,,,,4.35,1.374,0.0,1.072,2.446,0.0,0.0,0.937,5430.588,,,,31.588,228.088,56.236,2.446,406.059,0.0,0.0,,,,177.955,24.645,722.062,6024000.0,32.714,406.059,56.236,0.002,0.017,34909671424.0,0.0,0.0
5006,2005,,,,,,3.755,1.229,0.0,0.0,0.0,,,,4.714,1.664,0.0,1.14,2.804,0.0,0.0,0.893,5608.457,,,,35.303,274.95,59.491,2.804,463.334,0.0,0.0,,,,188.367,24.186,778.833,6052000.0,33.942,463.334,59.491,0.002,0.017,37999280128.0,0.0,0.0
5007,2006,,,,,,6.731,2.285,0.0,0.0,0.0,,,,5.598,1.957,0.0,1.283,3.24,0.0,0.0,0.9,5959.382,,,,34.958,321.928,57.879,3.24,532.999,0.0,0.0,,,,211.054,22.918,920.892,6079000.0,36.227,532.999,57.879,0.002,0.016,40238567424.0,0.0,0.0
