,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
5021,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,0.355,992.023,,,,,,,,,,,,,,,,,250000.0,0.248,,,,,697856000.0,,
5022,1981,,0.0,,,,-0.237,-0.001,,,,,0.0,0.0,,,,,,,,0.335,937.193,,,,,,,,,,,,,,,,,264000.0,0.247,,,,,738752000.0,,
5023,1982,,0.0,,,,20.866,0.052,,,,,0.0,0.0,,,,,,,,0.397,1049.282,,,,,,,,,,,,,,,,,285000.0,0.299,,,,,753254976.0,,
5024,1983,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.377,970.926,,,,,,,,,,,,,,,,,308000.0,0.299,,,,,793200000.0,,
5025,1984,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.373,900.739,,,,,,,,,,,,,,,,,332000.0,0.299,,,,,801044992.0,,
5026,1985,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.331,849.56,,,,,,,,,,,,,,,,,352000.0,0.299,,,,,902849984.0,,
5027,1986,,0.0,,,,3.583,0.011,,,,,0.0,0.0,,,,,,,,0.351,839.457,,,,,,,,,,,,,,,,,369000.0,0.31,,,,,883430016.0,,
5028,1987,,0.0,,,,3.843,0.012,,,,,0.0,0.0,,,,,,,,0.35,839.854,,,,,,,,,,,,,,,,,383000.0,0.322,,,,,920321984.0,,
5029,1988,,0.0,,,,0.259,0.001,,,,,0.0,0.0,,,,,,,,0.341,816.452,,,,,,,,,,,,,,,,,395000.0,0.322,,,,,946880000.0,,
5030,1989,,0.0,,,,57.756,0.186,,,,,0.0,0.0,,,,,,,,0.545,1250.028,,,,,,,,,,,,,,,,,407000.0,0.509,,,,,933907008.0,,
