,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
5061,1994,,,,,,,,,,,,0.0,0.0,,,,,,,,,1752.563,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2218000.0,3.887,,,,,,,
5062,1995,,0.0,0.0,,0.0,14.559,0.566,,,,,0.0,0.0,,,,,,,,,2020.464,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2204000.0,4.453,,,,,,,
5063,1996,,0.0,0.0,,0.0,2.211,0.098,,,,,0.0,0.0,,,,,,,,,2072.652,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2196000.0,4.552,,,,,,,
5064,1997,,0.0,0.0,,0.0,1.094,0.05,,,,,0.0,0.0,,,,,,,,,2096.273,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2195000.0,4.601,,,,,,,
5065,1998,,0.0,0.0,,0.0,6.193,0.285,,,,,0.0,0.0,,,,,,,,,2214.992,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2206000.0,4.886,,,,,,,
5066,1999,,0.0,0.0,,0.0,3.795,0.185,,,,,0.0,0.0,,,,,,,,,2267.193,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2237000.0,5.072,,,,,,,
5067,2000,,0.0,0.0,,0.0,-48.708,-2.47,,,,,0.0,0.0,0.197,0.0,0.0,0.0,0.001,0.001,0.0,,1134.979,,0.0,0.0,0.0,0.0,0.506,0.001,0.436,0.0,0.0,,0.0,0.0,0.0,0.0,86.152,2292000.0,2.601,0.436,0.506,0.506,0.436,,0.0,0.0
5068,2001,,0.0,0.0,,0.0,9.546,0.248,,,,,0.0,0.0,0.219,0.0,0.0,0.0,0.001,0.001,0.0,,1199.875,,0.0,0.0,0.0,0.0,0.456,0.001,0.421,0.0,0.0,,0.0,0.0,0.0,0.0,92.244,2375000.0,2.85,0.421,0.456,0.456,0.421,,0.0,0.0
5069,2002,,0.0,0.0,,0.0,-8.819,-0.251,,,,,0.0,0.0,0.244,0.0,0.0,0.0,0.001,0.001,0.0,,1047.312,,0.0,0.0,0.0,0.0,0.411,0.001,0.403,0.0,0.0,,0.0,0.0,0.0,0.0,98.154,2481000.0,2.598,0.403,0.411,0.411,0.403,,0.0,0.0
5070,2003,,0.0,0.0,,0.0,19.86,0.516,,,,,0.0,0.0,0.26,0.0,0.0,0.0,0.001,0.001,0.0,,1197.396,,0.0,0.0,0.0,0.0,0.384,0.001,0.384,0.0,0.0,,0.0,0.0,0.0,0.0,100.131,2601000.0,3.114,0.384,0.384,0.384,0.384,,0.0,0.0
5071,2004,,0.0,0.0,,0.0,8.902,0.277,,,,,0.0,0.0,0.266,0.0,0.0,0.0,0.001,0.001,0.0,,1246.942,,0.0,0.0,0.0,0.0,0.376,0.001,0.368,0.0,0.0,,0.0,0.0,0.0,0.0,97.824,2720000.0,3.392,0.368,0.376,0.376,0.368,,0.0,0.0
