,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
5087,1985,,,,,,,,,0.0,0.0,67.52,,,17.827,0.0,0.0,0.0,0.0,0.0,0.0,7.875,77827.008,10.486,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.446,,,0.0,0.0,11712.878,1522000.0,118.453,0.0,0.0,0.0,0.0,15041640448.0,0.0,0.0
5088,1986,,,,,,-0.481,-0.57,0.0,0.0,0.0,68.342,,,17.951,0.0,0.0,0.0,0.0,0.0,0.0,7.626,76746.711,9.53,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.011,,,0.0,0.0,11686.849,1536000.0,117.883,0.0,0.0,0.0,0.0,15458150400.0,0.0,0.0
5089,1987,,,,,,1.513,1.783,0.0,0.0,0.0,68.931,,,17.9,0.0,0.0,0.0,0.0,0.0,0.0,7.668,77154.381,10.325,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.41,,,0.0,0.0,11540.941,1551000.0,119.666,0.0,0.0,0.0,0.0,15605942272.0,0.0,0.0
5090,1988,,,,,,-1.699,-2.033,0.0,0.0,0.0,65.754,,,17.627,0.0,0.0,0.0,0.0,0.0,0.0,7.179,75212.889,11.12,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.758,,,0.0,0.0,11270.46,1564000.0,117.633,0.0,0.0,0.0,0.0,16385067008.0,0.0,0.0
5091,1989,,,,,,3.054,3.592,0.0,0.0,0.0,68.071,,,17.611,0.0,0.0,0.0,0.0,0.0,0.0,6.95,77213.474,11.12,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.034,,,0.0,0.0,11217.197,1570000.0,121.225,0.0,0.0,0.0,0.0,17442813952.0,0.0,0.0
5092,1990,,,,,,-0.666,-0.808,0.0,0.0,0.0,64.798,,,17.181,0.0,0.0,0.0,0.0,0.0,0.0,7.526,76943.925,14.215,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.403,,,0.0,0.0,10978.275,1565000.0,120.417,0.0,0.0,0.0,0.0,16000661504.0,0.0,0.0
5093,1991,,,,,,-9.771,-11.766,0.0,0.0,0.0,57.969,,,14.627,0.0,0.0,0.0,0.0,0.0,0.0,6.702,70188.096,14.274,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.409,,,0.0,0.0,9448.966,1548000.0,108.651,0.0,0.0,0.0,0.0,16210984960.0,0.0,0.0
5094,1992,,,,,,-27.551,-29.935,0.0,0.0,0.0,50.656,,,11.829,0.0,0.0,0.0,0.0,0.0,0.0,5.841,51753.015,8.345,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.715,,,0.0,0.0,7777.12,1521000.0,78.716,0.0,0.0,0.0,0.0,13476602880.0,0.0,0.0
5095,1993,,,,,,-20.682,-16.28,0.0,0.0,0.0,37.217,,,9.118,0.0,0.0,0.0,0.0,0.0,0.0,5.061,41959.624,4.136,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.083,,,0.0,0.0,6127.688,1488000.0,62.436,0.0,0.0,0.0,0.0,12337452032.0,0.0,0.0
5096,1994,,,,,,1.024,0.64,0.0,0.0,0.0,37.603,,,9.152,0.0,0.0,0.0,0.0,0.0,0.0,5.195,43291.344,5.941,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.532,,,0.0,0.0,6281.4,1457000.0,63.075,0.0,0.0,0.0,0.0,12141436928.0,0.0,0.0
