,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
5240,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,0.204,247.132,,0.0,0.0,,,,,,,,,0.0,0.0,,,,35142000.0,8.685,,,,,42658525184.0,,
5241,1981,,0.0,0.0,,0.0,0.954,0.083,,,,,0.0,0.0,,,,,,,,0.202,243.645,,0.0,0.0,,,,,,,,,0.0,0.0,,,,35985000.0,8.768,,,,,43507003392.0,,
5242,1982,,0.0,0.0,,0.0,12.383,1.086,,,,,0.0,0.0,,,,,,,,0.223,266.341,,0.0,0.0,,,,,,,,,0.0,0.0,,,,36995000.0,9.853,,,,,44215119872.0,,
5243,1983,,0.0,0.0,,0.0,13.329,1.313,,,,,0.0,0.0,,,,,,,,0.24,292.756,,0.0,0.0,,,,,,,,,0.0,0.0,,,,38143000.0,11.167,,,,,46458740736.0,,
5244,1984,,0.0,0.0,,0.0,-1.092,-0.122,,,,,0.0,0.0,,,,,,,,0.243,280.507,,0.0,0.0,,,,,,,,,0.0,0.0,,,,39374000.0,11.045,,,,,45491265536.0,,
5245,1985,,0.0,0.0,,0.0,20.247,2.236,,,,,0.0,0.0,,,,,,,,0.313,326.696,,0.0,0.0,,,,,,,,,0.0,0.0,,,,40652000.0,13.281,,,,,42458861568.0,,
5246,1986,,0.0,0.0,,0.0,-2.709,-0.36,,,,,0.0,0.0,,,,,,,,0.286,307.895,,0.0,0.0,,,,,,,,,0.0,0.0,,,,41966000.0,12.921,,,,,45206204416.0,,
5247,1987,,0.0,0.0,,0.0,12.479,1.612,,,,,0.0,0.0,,,,,,,,0.294,335.423,,0.0,0.0,,,,,,,,,0.0,0.0,,,,43329000.0,14.534,,,,,49445621760.0,,
5248,1988,,0.0,0.0,,0.0,-1.785,-0.259,,,,,0.0,0.0,,,,,,,,0.283,318.925,,0.0,0.0,,,,,,,,,0.0,0.0,,,,44757000.0,14.274,,,,,50427301888.0,,
5249,1989,,0.0,0.0,,0.0,4.947,0.706,,,,,0.0,0.0,,,,,,,,0.292,323.742,,0.0,0.0,,,,,,,,,0.0,0.0,,,,46272000.0,14.98,,,,,51230814208.0,,
5250,1990,,,,,,1.994,0.299,,0.0,0.0,,,,,,,,,,,0.303,319.056,,,,,,,,,,,,,,,,,47888000.0,15.279,,,,,50452766720.0,,
5251,1991,,,,,,-13.567,-2.073,,,,,0.0,0.0,,,,,,,,0.282,266.197,,0.0,0.0,,,,,,,,,0.0,0.0,,,,49610000.0,13.206,,,,,46835036160.0,,
5252,1992,,0.0,0.0,,0.0,35.3,4.662,,,,,0.0,0.0,,,,,,,,0.418,347.459,,0.0,0.0,,,,,,,,,0.0,0.0,,,,51424000.0,17.868,,,,,42784333824.0,,
5253,1993,,0.0,0.0,,0.0,-4.423,-0.79,,,,,0.0,0.0,,,,,,,,0.412,320.426,,0.0,0.0,,,,,,,,,0.0,0.0,,,,53296000.0,17.077,,,,,41496137728.0,,
5254,1994,,0.0,0.0,,0.0,-25.503,-4.355,,,,,0.0,0.0,,,,,,,,0.321,230.555,,0.0,0.0,,,,,,,,,0.0,0.0,,,,55181000.0,12.722,,,,,39641059328.0,,
5255,1995,,,,,,7.328,0.932,0.0,0.0,0.0,,,,,,,,,,,0.309,239.351,,,,,,,,,,,,,,,,,57048000.0,13.654,,,,,44206211072.0,,
5256,1996,,,,,,-16.505,-2.254,,,,,0.0,0.0,,,,,,,,0.267,193.615,,0.0,0.0,,,,,,,,,0.0,0.0,,,,58884000.0,11.401,,,,,42691153920.0,,
5257,1997,,0.0,0.0,,0.0,1.207,0.138,,,,,0.0,0.0,,,,,,,,0.239,190.099,,0.0,0.0,,,,,,,,,0.0,0.0,,,,60697000.0,11.538,,,,,48208564224.0,,
5258,1998,,0.0,0.0,,0.0,30.639,3.535,,,,,0.0,0.0,,,,,,,,0.331,241.149,,0.0,0.0,,,,,,,,,0.0,0.0,,,,62508000.0,15.074,,,,,45503733760.0,,
5259,1999,,0.0,0.0,,0.0,18.75,2.826,,,,,0.0,0.0,,,,,,,,0.404,278.198,,0.0,0.0,,,,,,,,,0.0,0.0,,,,64343000.0,17.9,,,,,44324196352.0,,
5260,2000,,,,,,5.97,1.069,0.0,0.0,0.0,,,,1.701,1.63,0.0,0.049,1.679,0.0,0.0,0.447,286.429,,,,95.847,24.613,98.729,1.679,25.353,0.0,0.0,,,,0.74,2.881,25.679,66225000.0,18.969,25.353,98.729,0.0,0.0,42410430464.0,0.0,0.0
5261,2001,,,,,,8.381,1.59,0.0,0.0,0.0,,,,2.035,1.972,0.0,0.045,2.017,0.0,0.0,0.429,301.626,,,,96.906,28.932,99.122,2.017,29.594,0.0,0.0,,,,0.662,2.216,29.856,68159000.0,20.559,29.594,99.122,0.0,0.0,47945699328.0,0.0,0.0
5262,2002,,,,,,3.245,0.667,0.0,0.0,0.0,,,,2.068,2.003,0.0,0.045,2.048,0.0,0.0,0.483,302.609,,,,96.869,28.556,99.045,2.048,29.198,0.0,0.0,,,,0.642,2.176,29.479,70142000.0,21.226,29.198,99.045,0.0,0.0,43955625984.0,0.0,0.0
5263,2003,,,,,,8.266,1.754,0.0,0.0,0.0,,,,2.32,2.257,0.0,0.048,2.305,0.0,0.0,0.48,318.412,,,,97.283,31.273,99.352,2.305,31.938,0.0,0.0,,,,0.665,2.069,32.146,72171000.0,22.98,31.938,99.352,0.0,0.0,47835451392.0,0.0,0.0
5264,2004,,,,,,7.267,1.67,0.0,0.0,0.0,,,,2.562,2.496,0.0,0.049,2.545,0.0,0.0,0.479,332.032,,,,97.427,33.621,99.34,2.545,34.281,0.0,0.0,,,,0.66,1.913,34.509,74240000.0,24.65,34.281,99.34,0.0,0.0,51512844288.0,0.0,0.0
5265,2005,,,,,,14.949,3.685,0.0,0.0,0.0,,,,2.869,2.805,0.0,0.053,2.858,0.0,0.0,0.456,371.141,,,,97.76,36.741,99.607,2.858,37.435,0.0,0.0,,,,0.694,1.847,37.583,76346000.0,28.335,37.435,99.607,0.0,0.0,62126407680.0,0.0,0.0
5266,2006,,,,,,10.003,2.834,0.0,0.0,0.0,,,,3.29,3.226,0.0,0.055,3.281,0.0,0.0,0.494,397.118,,,,98.043,41.101,99.714,3.281,41.802,0.0,0.0,,,,0.701,1.672,41.922,78489000.0,31.169,41.802,99.714,0.0,0.0,63036678144.0,0.0,0.0
5267,2007,,,,,,10.998,3.428,0.0,0.0,0.0,,,,3.547,3.351,0.0,0.044,3.395,0.0,0.0,0.456,428.855,,,,94.467,41.538,95.707,3.395,42.083,0.0,0.0,,,,0.545,1.24,43.971,80674000.0,34.597,42.083,95.707,0.0,0.0,75917934592.0,0.0,0.0
5268,2008,,,,,,4.88,1.688,0.0,0.0,0.0,,,,3.765,3.263,0.0,0.063,3.326,0.0,0.0,0.417,437.62,,,,86.665,39.353,88.341,3.326,40.114,0.0,0.0,,,,0.76,1.673,45.408,82916000.0,36.286,40.114,88.341,0.003,0.001,86960791552.0,0.0,0.0
5269,2009,,,,,,3.95,1.433,0.0,0.0,0.0,,,,3.98,3.489,0.0,0.073,3.562,0.0,0.0,0.445,442.534,,,,87.669,40.934,89.513,3.562,41.796,0.0,0.0,,,,0.856,1.834,46.692,85234000.0,37.719,41.796,89.513,0.01,0.005,84748247040.0,0.0,0.0
5270,2010,,,,,,10.672,4.025,0.0,0.0,0.0,,,,4.99,4.882,0.0,0.078,4.96,0.0,0.0,0.427,476.314,,,,97.845,55.705,99.416,4.96,56.6,0.0,0.0,,,,0.89,1.563,56.932,87640000.0,41.744,56.6,99.416,0.008,0.005,97815052288.0,0.0,0.0
5271,2011,,,,,,15.045,6.28,0.0,0.0,0.0,,,,6.318,6.199,0.0,0.053,6.283,0.001,0.03,0.418,532.777,,,,98.123,68.771,99.449,6.283,69.7,0.0,0.0,,,,0.588,0.839,70.086,90140000.0,48.025,69.7,99.449,0.013,0.009,115000000000.0,0.475,0.333
5272,2012,,,,,,11.685,5.612,0.0,0.0,0.0,,,,7.557,7.314,0.0,0.038,7.546,0.002,0.192,0.422,578.43,,,,96.78,78.877,99.851,7.546,81.38,0.0,0.0,,,,0.411,0.504,81.501,92727000.0,53.636,81.38,99.851,0.026,0.022,127000000000.0,2.541,2.071
5273,2013,,,,,,16.669,8.94,0.0,0.0,0.0,,,,8.661,8.255,0.0,0.036,8.653,0.006,0.356,0.453,656.034,,,,95.317,86.543,99.913,8.653,90.717,0.0,0.0,,,,0.378,0.417,90.796,95386000.0,62.576,90.717,99.913,0.069,0.063,138000000000.0,4.111,3.732
