,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
5400,1965,,,,,,,,,,,105.312,,,,,,,,,,,,3.459,,,,,,,,,,48.679,276.612,,,,,,183.585,,,,,,,
5401,1966,,,,3.358,9.289,5.215,9.574,,,,102.914,,,,,,,,,,,,4.23,,,,,,,,,,57.249,285.901,,,,,,193.158,,,,,,,
5402,1967,,,,4.163,11.901,1.405,2.713,,,,89.954,,,,,,,,,,,,4.896,,,,,,,,,,69.945,297.802,,,,,,195.872,,,,,,,
5403,1968,,,,2.437,7.257,10.048,19.681,,,,93.87,,,,,,,,,,,,6.119,,,,,,,,,,81.253,305.059,,,,,,215.553,,,,,,,
5404,1969,,,,2.09,6.375,6.675,14.388,,,,92.503,,,,,,,,,,,,7.588,,,,,,,,,,87.237,311.433,,,,,,229.941,,,,,,,
5405,1970,,,,-0.626,-1.951,10.346,23.789,,,,97.089,,,,,,,,,,,,9.971,146.079,,,,,,,,,103.911,309.483,,,,,,253.73,,,,,,,
5406,1971,,,6.607,-3.684,-11.402,16.915,42.918,,,,107.321,,,,,,,,,,,,11.851,152.685,,,,,,,,,131.577,298.081,,,,,,296.648,,,,,,,
5407,1972,,,7.552,-0.81,-2.415,4.218,12.513,,,,104.944,,,,,,,,,,,,14.533,160.237,,,,,,,,,136.723,295.666,,,,,,309.161,,,,,,,
5408,1973,,,12.547,0.432,1.277,4.901,15.151,,,,110.27,,,,,,,,,,,,15.812,172.784,,,,,,,,,149.051,296.943,,,,,,324.312,,,,,,,
5409,1974,,,3.817,-0.375,-1.115,10.807,35.047,,,,113.395,,,,,,,,,,,,17.291,176.601,,,,,,,,,167.17,295.828,,,,,,359.36,,,,,,,
5410,1975,,,-1.047,-1.166,-3.449,0.844,3.033,,,,121.222,,,,,,,,,,,,18.335,175.555,,,,,,,,,164.246,292.38,,,,,,362.393,,,,,,,
