,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
5280,1900,,,,,,,,,,,,3206.068,7611.988,,,,,,,,,,,0.0,0.0,,,,,,,,,7.548,17.92,,,,421186688.0,,,,,,,,
5281,1901,-3.067,-98.33,0.0,15.871,1.198,,,,,,,3107.738,,,,,,,,,,,,0.0,,,,,,,,,,8.746,,,,,,,,,,,,,
5282,1902,0.671,20.859,0.0,20.08,1.756,,,,,,,3128.597,,,,,,,,,,,,0.0,,,,,,,,,,10.502,,,,,,,,,,,,,
5283,1903,4.331,135.509,0.0,27.796,2.919,,,,,,,3264.106,,,,,,,,,,,,0.0,,,,,,,,,,13.421,,,,,,,,,,,,,
5284,1904,1.067,34.82,0.0,25.823,3.466,,,,,,,3298.925,,,,,,,,,,,,0.0,,,,,,,,,,16.887,,,,,,,,,,,,,
5285,1905,5.629,185.687,0.0,7.92,1.337,,,,,,,3484.613,,,,,,,,,,,,0.0,,,,,,,,,,18.224,,,,,,,,,,,,,
5286,1906,3.318,115.617,0.0,14.869,2.71,,,,,,,3600.23,,,,,,,,,,,,0.0,,,,,,,,,,20.934,,,,,,,,,,,,,
5287,1907,6.374,229.494,0.0,32.833,6.873,,,,,,,3829.724,,,,,,,,,,,,0.0,,,,,,,,,,27.807,,,,,,,,,,,,,
5288,1908,0.224,8.58,0.0,25.847,7.187,,,,,,,3838.304,,,,,,,,,,,,0.0,,,,,,,,,,34.995,,,,,,,,,,,,,
5289,1909,0.862,33.075,0.0,19.309,6.757,,,,,,,3871.379,,,,,,,,,,,,0.0,,,,,,,,,,41.752,,,,,,,,,,,,,
5290,1910,2.762,106.945,0.0,-9.61,-4.012,,,,,,,3978.323,8391.93,,,,,,,,,,,0.0,0.0,,,,,,,,,37.739,79.608,,,,474065376.0,,,,,,,,
