,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
5455,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,44185.716,,,,,,,,,,,,,,,,,43000.0,1.9,,,,,,,
5456,1981,,0.0,,,,-92.632,-1.76,,,,,0.0,0.0,,,,,,,,,3181.818,,,,,,,,,,,,,,,,,44000.0,0.14,,,,,,,
5457,1982,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,3181.818,,,,,,,,,,,,,,,,,44000.0,0.14,,,,,,,
5458,1983,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,3181.818,,,,,,,,,,,,,,,,,44000.0,0.14,,,,,,,
5459,1984,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,3111.111,,,,,,,,,,,,,,,,,45000.0,0.14,,,,,,,
5460,1985,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,3111.111,,,,,,,,,,,,,,,,,45000.0,0.14,,,,,,,
5461,1986,,0.0,,,,1487.995,2.083,,,,,0.0,0.0,,,,,,,,,48330.279,,,,,,,,,,,,,,,,,46000.0,2.223,,,,,,,
5462,1987,,0.0,,,,3.577,0.08,,,,,0.0,0.0,,,,,,,,,50059.103,,,,,,,,,,,,,,,,,46000.0,2.303,,,,,,,
5463,1988,,0.0,,,,5.184,0.119,,,,,0.0,0.0,,,,,,,,,51533.803,,,,,,,,,,,,,,,,,47000.0,2.422,,,,,,,
5464,1989,,0.0,,,,9.66,0.234,,,,,0.0,0.0,,,,,,,,,56511.735,,,,,,,,,,,,,,,,,47000.0,2.656,,,,,,,
5465,1990,,0.0,,,,9.244,0.246,,,,,0.0,0.0,,,,,,,,,61735.54,,,,,,,,,,,,,,,,,47000.0,2.902,,,,,,,
5466,1991,,0.0,,,,-7.774,-0.226,,,,,0.0,0.0,,,,,,,,,56936.133,,,,,,,,,,,,,,,,,47000.0,2.676,,,,,,,
5467,1992,,0.0,,,,0.807,0.022,,,,,0.0,0.0,,,,,,,,,57395.712,,,,,,,,,,,,,,,,,47000.0,2.698,,,,,,,
5468,1993,,0.0,,,,-2.263,-0.061,,,,,0.0,0.0,,,,,,,,,57316.438,,,,,,,,,,,,,,,,,46000.0,2.637,,,,,,,
5469,1994,,0.0,,,,2.602,0.069,,,,,0.0,0.0,,,,,,,,,58807.748,,,,,,,,,,,,,,,,,46000.0,2.705,,,,,,,
5470,1995,,0.0,,,,7.122,0.193,,,,,0.0,0.0,,,,,,,,,62995.813,,,,,,,,,,,,,,,,,46000.0,2.898,,,,,,,
5471,1996,,0.0,,,,-0.022,-0.001,,,,,0.0,0.0,,,,,,,,,62982.053,,,,,,,,,,,,,,,,,46000.0,2.897,,,,,,,
5472,1997,,0.0,,,,0.285,0.008,,,,,0.0,0.0,,,,,,,,,63161.748,,,,,,,,,,,,,,,,,46000.0,2.905,,,,,,,
5473,1998,,0.0,,,,0.143,0.004,,,,,0.0,0.0,,,,,,,,,63252.213,,,,,,,,,,,,,,,,,46000.0,2.91,,,,,,,
5474,1999,,0.0,,,,-0.69,-0.02,,,,,0.0,0.0,,,,,,,,,62815.47,,,,,,,,,,,,,,,,,46000.0,2.89,,,,,,,
5475,2000,,0.0,,,,10.883,0.314,,,,,0.0,0.0,,,,,,,,,68169.523,,,,,,,,,,,,,,,,,47000.0,3.204,,,,,,,
5476,2001,,0.0,,,,10.049,0.322,,,,,0.0,0.0,,,,,,,,,75019.555,,,,,,,,,,,,,,,,,47000.0,3.526,,,,,,,
5477,2002,,0.0,,,,-2.087,-0.074,,,,,0.0,0.0,,,,,,,,,73453.745,,,,,,,,,,,,,,,,,47000.0,3.452,,,,,,,
5478,2003,,0.0,,,,-0.296,-0.01,,,,,0.0,0.0,,,,,,,,,73236.063,,,,,,,,,,,,,,,,,47000.0,3.442,,,,,,,
5479,2004,,0.0,,,,2.779,0.096,,,,,0.0,0.0,,,,,,,,,73702.846,,,,,,,,,,,,,,,,,48000.0,3.538,,,,,,,
5480,2005,,0.0,,,,-2.018,-0.071,,,,,0.0,0.0,,,,,,,,,72215.307,,,,,,,,,,,,,,,,,48000.0,3.466,,,,,,,
5481,2006,,0.0,,,,-0.889,-0.031,,,,,0.0,0.0,,,,,,,,,71573.089,,,,,,,,,,,,,,,,,48000.0,3.436,,,,,,,
5482,2007,,0.0,,,,4.249,0.146,,,,,0.0,0.0,,,,,,,,,74614.08,,,,,,,,,,,,,,,,,48000.0,3.581,,,,,,,
5483,2008,,0.0,,,,-7.449,-0.267,,,,,0.0,0.0,,,,,,,,,69056.198,,,,,,,,,,,,,,,,,48000.0,3.315,,,,,,,
5484,2009,,0.0,,,,-7.112,-0.236,,,,,0.0,0.0,,,,,,,,,64145.156,,,,,,,,,,,,,,,,,48000.0,3.079,,,,,,,
5485,2010,,0.0,,,,3.824,0.118,,,,,0.0,0.0,,,,,,,,,66598.275,,,,,,,,,,,,,,,,,48000.0,3.197,,,,,,,
5486,2011,,0.0,,,,-4.369,-0.14,,,,,0.0,0.0,,,,,,,,,63688.767,,,,,,,,,,,,,,,,,48000.0,3.057,,,,,,,
5487,2012,,0.0,,,,2.329,0.071,,,,,0.0,0.0,,,,,,,,,65171.832,,,,,,,,,,,,,,,,,48000.0,3.128,,,,,,,
5488,2013,,0.0,,,,8.847,0.277,,,,,0.0,0.0,,,,,,,,,70937.526,,,,,,,,,,,,,,,,,48000.0,3.405,,,,,,,
5489,2014,,0.0,,,,-5.995,-0.204,,,,,0.0,0.0,,,,,,,,,66685.08,,,,,,,,,,,,,,,,,48000.0,3.201,,,,,,,
5490,2015,,0.0,,,,7.453,0.239,,,,,0.0,0.0,,,,,,,,,71655.433,,,,,,,,,,,,,,,,,48000.0,3.439,,,,,,,
5491,2016,,0.0,,,,-1.741,-0.06,,,,,0.0,0.0,,,,,,,,,70407.746,,,,,,,,,,,,,,,,,48000.0,3.38,,,,,,,
