,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
5492,1980,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,
5493,1981,,0.0,,,,0.581,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051,,,,,,,
5494,1982,,0.0,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051,,,,,,,
5495,1983,,0.0,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051,,,,,,,
5496,1984,,0.0,,,,0.578,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051,,,,,,,
5497,1985,,0.0,,,,23.563,0.012,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.063,,,,,,,
5498,1986,,0.0,,,,-20.637,-0.013,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,
5499,1987,,0.0,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,
5500,1988,,0.0,,,,74.02,0.037,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,,,,,,,
5501,1989,,0.0,,,,43.207,0.038,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,
5502,1990,,0.0,,,,-50.0,-0.062,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062,,,,,,,
5503,1991,,0.0,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062,,,,,,,
5504,1992,,0.0,,,,0.274,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.063,,,,,,,
5505,1993,,0.0,,,,-0.273,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062,,,,,,,
5506,1994,,0.0,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062,,,,,,,
5507,1995,,0.0,,,,100.0,0.062,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,
5508,1996,,0.0,,,,-39.556,-0.049,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.075,,,,,,,
5509,1997,,0.0,,,,82.488,0.062,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.138,,,,,,,
5510,1998,,0.0,,,,-45.329,-0.062,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.075,,,,,,,
5511,1999,,0.0,,,,0.007,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.075,,,,,,,
5512,2000,,0.0,,,,53.94,0.041,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.116,,,,,,,
5513,2001,,0.0,,,,11.007,0.013,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.129,,,,,,,
5514,2002,,0.0,,,,10.002,0.013,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141,,,,,,,
5515,2003,,0.0,,,,9.116,0.013,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.154,,,,,,,
5516,2004,,0.0,,,,8.333,0.013,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167,,,,,,,
5517,2005,,0.0,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167,,,,,,,
5518,2006,,0.0,,,,15.403,0.026,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193,,,,,,,
5519,2007,,0.0,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193,,,,,,,
5520,2008,,0.0,,,,2.518,0.005,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.198,,,,,,,
5521,2009,,0.0,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.198,,,,,,,
5522,2010,,0.0,,,,-4.062,-0.008,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,
5523,2011,,0.0,,,,-1.176,-0.002,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187,,,,,,,
5524,2012,,0.0,,,,3.575,0.007,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194,,,,,,,
5525,2013,,0.0,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194,,,,,,,
5526,2014,,0.0,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194,,,,,,,
5527,2015,,0.0,,,,3.599,0.007,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.201,,,,,,,
5528,2016,,0.0,,,,1.718,0.003,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205,,,,,,,
