,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
5529,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,7148.823,,,,,,,,,,,,,,,,,635000.0,4.54,,,,,,,
5530,1981,,0.0,,,,-0.439,-0.02,,,,,0.0,0.0,,,,,,,,,6942.502,,,,,,,,,,,,,,,,,651000.0,4.52,,,,,,,
5531,1982,,0.0,,,,0.735,0.033,,,,,0.0,0.0,,,,,,,,,6815.557,,,,,,,,,,,,,,,,,668000.0,4.553,,,,,,,
5532,1983,,0.0,,,,-16.983,-0.773,,,,,0.0,0.0,,,,,,,,,5517.629,,,,,,,,,,,,,,,,,685000.0,3.78,,,,,,,
5533,1984,,0.0,,,,10.78,0.407,,,,,0.0,0.0,,,,,,,,,5981.472,,,,,,,,,,,,,,,,,700000.0,4.187,,,,,,,
5534,1985,,0.0,,,,-0.543,-0.023,,,,,0.0,0.0,,,,,,,,,5848.743,,,,,,,,,,,,,,,,,712000.0,4.164,,,,,,,
5535,1986,,0.0,,,,22.454,0.935,,,,,0.0,0.0,,,,,,,,,7092.308,,,,,,,,,,,,,,,,,719000.0,5.099,,,,,,,
5536,1987,,0.0,,,,-15.237,-0.777,,,,,0.0,0.0,,,,,,,,,5986.693,,,,,,,,,,,,,,,,,722000.0,4.322,,,,,,,
5537,1988,,0.0,,,,0.411,0.018,,,,,0.0,0.0,,,,,,,,,6002.986,,,,,,,,,,,,,,,,,723000.0,4.34,,,,,,,
5538,1989,,0.0,,,,14.341,0.622,,,,,0.0,0.0,,,,,,,,,6844.946,,,,,,,,,,,,,,,,,725000.0,4.963,,,,,,,
5539,1990,,0.0,,,,9.021,0.448,,,,,0.0,0.0,,,,,,,,,7421.486,,,,,,,,,,,,,,,,,729000.0,5.41,,,,,,,
5540,1991,,0.0,,,,-13.365,-0.723,,,,,0.0,0.0,,,,,,,,,6377.138,,,,,,,,,,,,,,,,,735000.0,4.687,,,,,,,
5541,1992,,0.0,,,,3.466,0.162,,,,,0.0,0.0,,,,,,,,,6518.37,,,,,,,,,,,,,,,,,744000.0,4.85,,,,,,,
5542,1993,,0.0,,,,6.23,0.302,,,,,0.0,0.0,,,,,,,,,6823.602,,,,,,,,,,,,,,,,,755000.0,5.152,,,,,,,
5543,1994,,0.0,,,,2.775,0.143,,,,,0.0,0.0,,,,,,,,,6912.268,,,,,,,,,,,,,,,,,766000.0,5.295,,,,,,,
5544,1995,,0.0,,,,7.086,0.375,,,,,0.0,0.0,,,,,,,,,7316.1,,,,,,,,,,,,,,,,,775000.0,5.67,,,,,,,
5545,1996,,0.0,,,,2.614,0.148,,,,,0.0,0.0,,,,,,,,,7421.189,,,,,,,,,,,,,,,,,784000.0,5.818,,,,,,,
5546,1997,,0.0,,,,-0.126,-0.007,,,,,0.0,0.0,,,,,,,,,7327.752,,,,,,,,,,,,,,,,,793000.0,5.811,,,,,,,
5547,1998,,0.0,,,,-2.943,-0.171,,,,,0.0,0.0,,,,,,,,,7049.893,,,,,,,,,,,,,,,,,800000.0,5.64,,,,,,,
5548,1999,,0.0,,,,8.411,0.474,,,,,0.0,0.0,,,,,,,,,7585.986,,,,,,,,,,,,,,,,,806000.0,6.114,,,,,,,
5549,2000,,0.0,,,,22.871,1.398,,,,,0.0,0.0,0.631,0.414,0.0,0.093,0.507,0.0,0.0,,9263.495,,,,65.6,510.481,80.352,0.507,625.277,0.0,0.0,,,,114.673,14.736,778.175,811000.0,7.513,625.277,80.352,0.016,0.123,,0.0,0.0
5550,2001,,0.0,,,,4.177,0.314,,,,,0.0,0.0,0.674,0.463,0.0,0.08,0.543,0.0,0.0,,9614.842,,,,68.684,568.796,80.567,0.543,667.199,0.0,0.0,,,,98.28,11.868,828.133,814000.0,7.826,667.199,80.567,0.015,0.123,,0.0,0.0
5551,2002,,0.0,,,,-16.41,-1.284,,,,,0.0,0.0,0.711,0.45,0.0,0.107,0.557,0.0,0.0,,8027.191,,,,63.282,552.147,78.343,0.557,683.558,0.0,0.0,,,,131.288,15.047,872.515,815000.0,6.542,683.558,78.343,0.014,0.123,,0.0,0.0
5552,2003,,0.0,,,,10.99,0.719,,,,,0.0,0.0,0.723,0.344,0.0,0.094,0.438,0.0,0.0,,8898.435,,,,47.573,421.569,60.586,0.438,536.887,0.0,0.0,,,,115.196,13.0,886.152,816000.0,7.261,536.887,60.586,0.014,0.123,,0.0,0.0
5553,2004,,0.0,,,,32.764,2.379,,,,,0.0,0.0,0.753,0.367,0.0,0.104,0.471,0.0,0.0,,11785.005,,,,48.732,448.655,62.555,0.471,575.917,0.0,0.0,,,,127.139,13.81,920.66,818000.0,9.64,575.917,62.555,0.013,0.122,,0.0,0.0
5554,2005,,0.0,,,,-14.726,-1.42,,,,,0.0,0.0,0.787,0.339,0.0,0.102,0.441,0.0,0.0,,10000.685,,,,43.069,412.409,56.041,0.441,536.618,0.0,0.0,,,,124.088,12.959,957.543,822000.0,8.221,536.618,56.041,0.013,0.122,,0.0,0.0
5555,2006,,0.0,,,,9.658,0.794,,,,,0.0,0.0,0.848,0.341,0.0,0.112,0.453,0.0,0.0,,10887.048,,,,40.208,411.836,53.425,0.453,547.222,0.0,0.0,,,,135.266,13.206,1024.275,828000.0,9.014,547.222,53.425,0.012,0.121,,0.0,0.0
