,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
5569,1965,,,,,,,,,0.0,0.0,20.26,,,,,,,,,,2.38,24891.1,0.0,,,,,,,,,,67.486,,,,,,4569000.0,113.727,,,,,47789645824.0,,
5570,1966,,,,,,13.873,15.777,0.0,0.0,0.0,18.805,,,,,,,,,,2.609,28270.003,0.0,,,,,,,,,,81.865,,,,,,4581000.0,129.505,,,,,49644298240.0,,
5571,1967,,,,,,5.145,6.663,0.0,0.0,0.0,18.092,,,,,,,,,,2.631,29672.737,0.0,,,,,,,,,,85.773,,,,,,4589000.0,136.168,,,,,51762229248.0,,
5572,1968,,,,,,8.8,11.983,0.0,0.0,0.0,21.789,,,,,,,,,,2.681,32248.856,0.0,,,,,,,,,,97.227,,,,,,4594000.0,148.151,,,,,55262195712.0,,
5573,1969,,,,,,10.261,15.202,0.0,0.0,0.0,26.138,,,,,,,,,,2.666,35503.873,0.0,,,,,,,,,,112.922,,,,,,4601000.0,163.353,,,,,61272625152.0,,
5574,1970,,,,,,10.192,16.648,0.0,0.0,0.0,26.568,,,,,,,,,,2.711,39029.014,0.0,,,,,,,,,,126.978,,,,,,4612000.0,180.002,,,,,66400096256.0,,
5575,1971,,,,,,2.592,4.666,0.0,0.0,0.0,23.579,,,,,,,,,,2.71,39893.585,0.0,,,,,,,,,,131.419,,,,,,4629000.0,184.667,,,,,68133076992.0,,
5576,1972,,,,,,5.514,10.183,0.0,0.0,0.0,26.158,,,,,,,,,,2.66,41894.352,0.0,,,,,,,,,,139.86,,,,,,4651000.0,194.851,,,,,73247039488.0,,
5577,1973,,,,,,10.281,20.032,0.0,0.0,0.0,29.032,,,,,,,,,,2.747,45964.213,0.0,,,,,,,,,,156.462,,,,,,4675000.0,214.883,,,,,78225489920.0,,
5578,1974,,,,,,-4.291,-9.22,0.0,0.0,0.0,29.585,,,,,,,,,,2.56,43767.388,4.444,,,,,,,,,,136.347,,,,,,4699000.0,205.663,,,,,80328687616.0,,
5579,1975,,,,,,1.653,3.401,0.0,0.0,0.0,26.805,,,,,,,,,,2.664,44302.492,7.355,,,,,,,,,,140.989,,,,,,4719000.0,209.063,,,,,78471127040.0,,
5580,1976,,,,,,6.351,13.277,0.0,0.0,0.0,36.12,,,,,,,,,,2.844,46966.795,8.618,,,,,,,,,,151.264,,,,,,4734000.0,222.341,,,,,78168039424.0,,
5581,1977,,,,,,5.514,12.261,0.0,0.0,0.0,36.421,,,,,,,,,,2.98,49420.967,8.765,,,,,,,,,,148.238,,,,,,4747000.0,234.601,,,,,78724268032.0,,
5582,1978,,,,,,3.994,9.37,0.0,0.0,0.0,49.094,,,,,,,,,,3.003,51276.101,9.543,,,,,,,,,,149.112,,,,,,4758000.0,243.972,,,,,81247780864.0,,
5583,1979,,,,,,8.004,19.527,0.0,0.0,0.0,47.313,,,,,,,,,,3.004,55229.184,9.509,,,,,,,,,,157.883,,,,,,4771000.0,263.498,,,,,87718887424.0,,
5584,1980,,,,,,-0.411,-1.083,0.0,0.0,0.0,53.688,,,,,,,,,,2.834,54806.88,8.946,,,,,,,,,,152.029,,,,,,4788000.0,262.415,,,,,92598157312.0,,
5585,1981,,,,,,0.571,1.498,0.0,0.0,0.0,32.994,,,,,,,,,,2.816,54867.679,7.118,,,,,,,,,,145.419,,,,,,4810000.0,263.914,,,,,93724803072.0,,
5586,1982,,,,,,-1.273,-3.361,0.0,0.0,0.0,36.596,,,,,,,,,,2.738,53888.911,6.723,,,,,,,,,,134.6,,,,,,4835000.0,260.553,,,,,95149826048.0,,
5587,1983,,,,,,-1.025,-2.671,0.0,0.0,0.0,39.751,,,,,,,,,,2.685,53040.244,6.52,,,,,,,,,,125.006,,,,,,4862000.0,257.882,,,,,96061390848.0,,
5588,1984,,,,,,4.252,10.965,0.0,0.0,0.0,45.783,,,,,,,,,,2.745,55001.424,7.468,,,,,,,,,,126.754,,,,,,4888000.0,268.847,,,,,97928036352.0,,
5589,1985,,,,,,5.041,13.553,0.0,0.0,0.0,58.026,,,49.394,12.334,18.926,0.0,12.334,0.0,0.0,2.856,57503.625,9.476,,,24.971,2511.575,63.288,31.261,6365.437,38.317,3853.862,128.064,,,0.0,0.0,10057.829,4911000.0,282.4,2511.575,24.971,0.0,0.0,98888048640.0,0.0,0.0
5590,1986,,,,,,1.159,3.274,0.0,0.0,0.0,53.055,,,48.948,12.39,18.945,0.0,12.39,0.0,0.0,2.747,57946.186,11.472,,,25.312,2513.164,64.017,31.335,6356.017,38.705,3842.853,134.105,,,0.0,0.0,9928.6,4930000.0,285.675,2513.164,25.312,0.0,0.0,104000000000.0,0.0,0.0
5591,1987,,,,,,5.246,14.988,0.0,0.0,0.0,59.427,,,53.016,13.796,19.509,0.0,13.796,0.0,0.0,2.758,60788.971,15.172,,,26.022,2789.317,62.821,33.305,6733.812,36.799,3944.495,133.548,,,0.0,0.0,10718.965,4946000.0,300.662,2789.317,26.022,0.0,0.0,109000000000.0,0.0,0.0
5592,1988,,,,,,-0.635,-1.908,0.0,0.0,0.0,59.5,,,53.491,13.363,19.418,0.0,13.363,0.0,0.0,2.553,60220.555,16.32,,,24.981,2693.535,61.282,32.781,6607.644,36.301,3914.109,131.877,,,0.0,0.0,10782.302,4961000.0,298.754,2693.535,24.981,0.0,0.0,117000000000.0,0.0,0.0
5593,1989,,,,,,0.466,1.392,0.0,0.0,0.0,58.206,,,53.359,13.03,18.958,0.0,13.03,0.0,0.0,2.44,60306.652,21.4,,,24.42,2618.104,59.949,31.988,6427.205,35.529,3809.101,131.684,,,0.0,0.0,10721.117,4977000.0,300.146,2618.104,24.42,0.0,0.0,123000000000.0,0.0,0.0
5594,1990,,,,,,6.536,19.617,0.0,0.0,0.0,61.288,,,54.277,10.861,19.082,5.156,16.017,0.0,0.0,2.643,64003.814,25.21,,,20.01,2173.86,64.667,35.099,7025.463,35.157,3819.477,135.768,,,1032.026,9.499,10864.052,4996000.0,319.763,3205.986,29.51,0.001,0.1,121000000000.0,0.0,0.0
5595,1991,,,,,,2.032,6.497,0.0,0.0,0.0,61.212,,,57.979,13.198,19.376,4.999,18.198,0.0,0.001,2.939,65005.061,26.57,,,22.763,2629.603,64.806,37.574,7486.326,33.418,3860.488,134.107,,,996.015,8.622,11551.984,5019000.0,326.26,3625.838,31.387,0.001,0.1,111000000000.0,0.001,0.12
5596,1992,,,,,,-0.578,-1.887,0.0,0.0,0.0,55.714,,,57.635,15.108,19.126,4.95,20.061,0.001,0.002,2.949,64296.085,27.59,,,26.213,2994.664,67.992,39.187,7767.571,33.185,3791.143,132.216,,,981.169,8.588,11424.242,5045000.0,324.374,3976.428,34.807,0.001,0.119,110000000000.0,0.004,0.476
5597,1993,,,,,,1.193,3.868,0.0,0.0,0.0,63.689,,,60.982,13.474,19.789,5.958,19.437,0.001,0.004,3.039,64716.479,28.51,,,22.095,2656.494,64.324,39.226,7733.894,32.451,3901.71,127.081,,,1174.685,9.77,12023.326,5072000.0,328.242,3832.184,31.873,0.001,0.138,108000000000.0,0.007,0.868
5598,1994,,,,,,5.212,17.107,0.0,0.0,0.0,77.556,,,65.536,11.78,19.293,6.465,18.253,0.001,0.007,3.003,67755.426,31.47,,,17.975,2311.124,57.29,37.545,7366.182,29.438,3785.095,132.03,,,1268.393,9.865,12857.667,5097000.0,345.349,3581.087,27.852,0.001,0.157,115000000000.0,0.011,1.413
5599,1995,,,,,,-4.76,-16.439,0.0,0.0,0.0,68.605,,,64.414,12.917,19.082,6.608,19.537,0.001,0.011,2.57,64252.872,32.68,,,20.053,2523.358,59.954,38.619,7544.203,29.624,3727.702,120.351,,,1290.877,10.259,12583.303,5119000.0,328.91,3816.501,30.33,0.001,0.156,128000000000.0,0.017,2.11
5600,1996,,,,,,4.809,15.819,0.0,0.0,0.0,81.747,,,69.09,11.822,19.662,5.889,17.723,0.001,0.011,2.736,67107.119,34.189,,,17.111,2301.327,54.11,37.385,7277.599,28.459,3827.546,124.945,,,1146.389,8.524,13449.533,5137000.0,344.729,3450.052,25.652,0.001,0.195,126000000000.0,0.016,2.141
5601,1997,,,,,,0.994,3.428,0.0,0.0,0.0,77.428,,,69.145,11.914,21.106,7.891,19.823,0.001,0.017,2.505,67577.013,33.638,,,17.23,2312.508,59.193,40.929,7944.324,30.525,4096.723,123.398,,,1531.638,11.412,13421.092,5152000.0,348.157,3847.601,28.668,0.002,0.233,139000000000.0,0.024,3.222
5602,1998,,,,,,3.483,12.127,0.0,0.0,0.0,63.539,,,70.436,14.926,22.08,9.333,24.283,0.001,0.023,2.355,69768.411,38.536,,,21.191,2890.368,65.823,46.363,8978.148,31.348,4275.755,129.422,,,1807.32,13.25,13639.805,5164000.0,360.284,4702.393,34.476,0.002,0.252,153000000000.0,0.033,4.454
5603,1999,,,,,,-1.821,-6.56,0.0,0.0,0.0,61.566,,,69.407,12.673,23.221,8.363,21.087,0.001,0.049,2.197,68339.302,38.58,,,18.26,2448.5,63.838,44.308,8560.256,33.456,4486.293,130.501,,,1615.726,12.049,13409.405,5176000.0,353.724,4073.963,30.381,0.002,0.27,161000000000.0,0.071,9.467
5604,2000,,,,,,0.698,2.468,0.0,0.0,0.0,58.327,,,69.785,14.66,22.479,8.639,23.379,0.002,0.078,2.083,68656.965,39.41,,,21.007,2825.752,65.713,45.858,8839.168,32.212,4332.884,130.744,,,1665.194,12.38,13451.215,5188000.0,356.192,4506.284,33.501,0.002,0.304,171000000000.0,0.112,15.035
