,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
5625,1900,,,,,,,,,,,,269.726,6638.82,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,40628636.0,,,,,,171000000000.0,,
5626,1901,-3.268,-8.813,0.0,,0.0,,,,,,,260.913,6409.545,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,40706904.0,,,,,,169000000000.0,,
5627,1902,-7.192,-18.765,0.0,,0.0,,,,,,,242.148,5936.505,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,40789608.0,,,,,,167000000000.0,,
5628,1903,16.427,39.779,0.0,,0.0,,,,,,,281.926,6902.646,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,40843224.0,,,,,,172000000000.0,,
5629,1904,-2.105,-5.933,0.0,,0.0,,,,,,,275.993,6747.951,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,40900292.0,,,,,,174000000000.0,,
5630,1905,5.138,14.18,0.0,,0.0,,,,,,,290.173,7084.549,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,40958592.0,,,,,,178000000000.0,,
5631,1906,-4.89,-14.19,0.0,,0.0,,,,,,,275.983,6727.197,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,41025020.0,,,,,,182000000000.0,,
5632,1907,7.515,20.74,0.0,,0.0,,,,,,,296.723,7225.41,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,41066652.0,,,,,,190000000000.0,,
5633,1908,1.746,5.179,0.0,,0.0,,,,,,,301.903,7339.314,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,41135004.0,,,,,,190000000000.0,,
5634,1909,1.256,3.792,0.0,,0.0,,,,,,,305.695,7418.053,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,41209572.0,,,,,,199000000000.0,,
5635,1910,1.369,4.184,0.0,,0.0,,,,,,,309.879,7504.117,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,41294568.0,,,,,,188000000000.0,,
5636,1911,2.318,7.184,0.0,,0.0,,,,,,,317.063,7661.513,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,41383848.0,,,,,,204000000000.0,,
5637,1912,4.874,15.453,0.0,,0.0,,,,,,,332.516,8019.179,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,41465112.0,,,,,,218000000000.0,,
5638,1913,-0.778,-2.587,0.0,,0.64,,,,,,,329.929,7945.691,,,,,,,,,,,0.0,0.0,,,,,,,,,0.64,15.405,,,,41523004.0,,,,,,214000000000.0,,
5639,1914,-32.755,-108.069,0.0,-100.0,-0.64,,,,,,,221.86,5380.895,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,41231120.0,,,,,,197000000000.0,,
5640,1915,-29.322,-65.055,0.0,,0.0,,,,,,,156.806,3852.24,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,40705028.0,,,,,,191000000000.0,,
5641,1916,9.042,14.178,0.0,,0.0,,,,,,,170.984,4277.225,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,39975432.0,,,,,,198000000000.0,,
5642,1917,35.467,60.642,0.0,,0.0,,,,,,,231.626,5889.455,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,39328984.0,,,,,,166000000000.0,,
5643,1918,-9.56,-22.144,0.0,,0.605,,,,,,,209.483,5380.603,,,,,,,,,,,0.0,0.0,,,,,,,,,0.605,15.533,,,,38932952.0,,,,,,129000000000.0,,
5644,1919,-14.18,-29.705,0.0,-7.692,-0.047,,,,,,,179.778,4629.067,,,,,,,,,,,0.0,0.0,,,,,,,,,0.558,14.374,,,,38836732.0,,,,,,150000000000.0,,
5645,1920,12.638,22.72,0.0,14.583,0.081,,,,,,,202.498,5182.956,,,,,,,,,,,0.0,0.0,,,,,,,,,0.64,16.372,,,,39069936.0,,,,,,172000000000.0,,
5646,1921,15.223,30.827,0.0,1.818,0.012,,,,,,,233.325,5935.426,,,,,,,,,,,0.0,0.0,,,,,,,,,0.651,16.568,,,,39310488.0,,,,,,162000000000.0,,
5647,1922,10.271,23.965,0.0,25.0,0.163,,,,,,,257.29,6496.484,,,,,,,,,,,0.0,0.0,,,,,,,,,0.814,20.556,,,,39604500.0,,,,,,189000000000.0,,
5648,1923,20.886,53.739,0.0,0.0,0.0,,,,,,,311.029,7783.116,,,,,,,,,,,0.0,0.0,,,,,,,,,0.814,20.372,,,,39961988.0,,,,,,196000000000.0,,
5649,1924,16.728,52.029,0.0,5.714,0.047,,,,,,,363.058,8995.586,,,,,,,,,,,0.0,0.0,,,,,,,,,0.861,21.324,,,,40359568.0,,,,,,218000000000.0,,
5650,1925,6.944,25.209,0.0,-12.162,-0.105,,,,,,,388.267,9542.006,,,,,,,,,,,0.0,0.0,,,,,,,,,0.756,18.578,,,,40690332.0,,,,,,216000000000.0,,
5651,1926,9.091,35.298,0.0,3.077,0.023,,,,,,,423.565,10355.91,,,,,,,,,,,0.0,0.0,,,,,,,,,0.779,19.051,,,,40900816.0,,,,,,219000000000.0,,
5652,1927,0.793,3.359,0.0,8.955,0.07,,,,,,,426.924,10400.653,,,,,,,,,,,0.0,0.0,,,,,,,,,0.849,20.683,,,,41047820.0,,,,,,211000000000.0,,
5653,1928,-0.825,-3.52,0.0,1.37,0.012,,,,,,,423.404,10284.76,,,,,,,,,,,0.0,0.0,,,,,,,,,0.861,20.905,,,,41168096.0,,,,,,223000000000.0,,
5654,1929,4.786,20.266,0.0,1.351,0.012,,,,,,,443.67,10718.757,,,,,,,,,,,0.0,0.0,,,,,,,,,0.872,21.073,,,,41391944.0,,,,,,235000000000.0,,
5655,1930,0.175,0.777,0.0,1.333,0.012,,,,,,,444.447,10667.774,,,,,,,,,,,0.0,0.0,,,,,,,,,0.884,21.215,,,,41662568.0,,,,,,229000000000.0,,
5656,1931,-7.259,-32.264,0.0,-2.632,-0.023,,,,,,,412.182,9843.619,,,,,,,,,,,0.0,0.0,,,,,,,,,0.861,20.553,,,,41873056.0,,,,,,216000000000.0,,
5657,1932,-7.42,-30.584,0.0,1.351,0.012,,,,,,,381.598,9092.904,,,,,,,,,,,0.0,0.0,,,,,,,,,0.872,20.784,,,,41966604.0,,,,,,203000000000.0,,
5658,1933,1.428,5.448,0.0,5.333,0.047,,,,,,,387.046,9216.117,,,,,,,,,,,0.0,0.0,,,,,,,,,0.919,21.877,,,,41996672.0,,,,,,219000000000.0,,
5659,1934,1.481,5.733,0.0,-1.266,-0.012,,,,,,,392.779,9346.677,,,,,,,,,,,0.0,0.0,,,,,,,,,0.907,21.587,,,,42023400.0,,,,,,217000000000.0,,
5660,1935,-3.091,-12.141,0.0,-2.564,-0.023,,,,,,,380.638,9056.315,,,,,,,,,,,0.0,0.0,,,,,,,,,0.884,21.03,,,,42030080.0,,,,,,213000000000.0,,
5661,1936,-2.059,-7.838,0.0,-7.895,-0.07,,,,,,,372.799,8871.236,,,,,,,,,,,0.0,0.0,,,,,,,,,0.814,19.373,,,,42023400.0,,,,,,222000000000.0,,
5662,1937,-1.824,-6.801,0.0,0.0,0.0,,,,,,,365.998,8708.013,,,,,,,,,,,0.0,0.0,,,,,,,,,0.814,19.369,,,,42030080.0,,,,,,236000000000.0,,
5663,1938,4.852,17.759,0.0,2.857,0.023,,,,,,,383.757,9131.264,,,,,,,,,,,0.0,0.0,,,,,,,,,0.837,19.924,,,,42026740.0,,,,,,236000000000.0,,
5664,1939,5.663,21.732,0.0,-2.778,-0.023,,,,,,,405.489,9720.219,,,,,,,,,,,0.0,0.0,,,,,,,,,0.814,19.515,,,,41716024.0,,,,,,254000000000.0,,
5665,1940,-19.231,-77.979,0.0,-1.429,-0.012,,,,,,,327.509,8002.177,,,,,,,,,,,0.0,0.0,,,,,,,,,0.802,19.607,,,,40927544.0,,,,,,210000000000.0,,
5666,1941,7.02,22.992,0.0,-15.942,-0.128,,,,,,,350.501,8742.361,,,,,,,,,,,0.0,0.0,,,,,,,,,0.675,16.825,,,,40092288.0,,,,,,167000000000.0,,
5667,1942,-0.025,-0.086,0.0,12.069,0.081,,,,,,,350.415,8888.348,,,,,,,,,,,0.0,0.0,,,,,,,,,0.756,19.175,,,,39424084.0,,,,,,150000000000.0,,
5668,1943,-3.612,-12.656,0.0,4.615,0.035,,,,,,,337.759,8618.452,,,,,,,,,,,0.0,0.0,,,,,,,,,0.791,20.18,,,,39190212.0,,,,,,143000000000.0,,
5669,1944,-37.23,-125.746,0.0,-13.235,-0.105,,,,,,,212.013,5396.045,,,,,,,,,,,0.0,0.0,,,,,,,,,0.686,17.464,,,,39290440.0,,,,,,122000000000.0,,
5670,1945,31.843,67.512,0.0,-50.847,-0.349,,,,,,,279.525,7037.126,,,,,,,,,,,0.0,0.0,,,,,,,,,0.337,8.491,,,,39721432.0,,,,,,132000000000.0,,
5671,1946,41.065,114.788,1.177,79.31,0.267,,,,,,,394.313,9780.523,,,,,,,,,,,1.177,29.197,,,,,,,,,0.605,15.0,,,,40316136.0,,,,,,202000000000.0,,
5672,1947,-4.025,-15.872,1.926,-3.846,-0.023,,,,,,,378.441,9278.426,,,,,,,,,,,3.103,76.084,,,,,,,,,0.582,14.257,,,,40787220.0,,,,,,220000000000.0,,
5673,1948,-4.502,-17.036,0.728,4.0,0.023,,,,,,,361.405,8775.211,,,,,,,,,,,3.831,93.018,,,,,,,,,0.605,14.684,,,,41184804.0,,,,,,237000000000.0,,
5674,1949,17.824,64.418,1.391,11.538,0.07,,,,,,,425.823,10243.621,,,,,,,,,,,5.222,125.622,,,,,,,,,0.675,16.227,,,,41569624.0,,,,,,271000000000.0,,
5675,1950,-0.863,-3.675,0.407,120.69,0.814,,,,,,,422.149,10091.042,,,,,,,,,,,5.629,134.548,,,,,,,,,1.489,35.584,,,,41834000.0,,,,,,292000000000.0,,
5676,1951,4.473,18.881,0.792,127.344,1.896,,,,,,,441.029,10492.952,,,,,,,,,,,6.421,152.757,,,,,,,,,3.384,80.52,,,,42031000.0,,,,,,312000000000.0,,
5677,1952,4.403,19.418,-0.203,20.275,0.686,,,,,,,460.447,10881.16,,,,,,,,,,,6.217,146.924,,,,,,,,,4.071,96.193,,,,42316000.0,,,,,,323000000000.0,,
5678,1953,-4.954,-22.813,-0.61,4.857,0.198,,,,,,,437.634,10259.863,,,,,,,,,,,5.607,131.456,,,,,,,,,4.268,100.064,,,,42655000.0,,,,,,336000000000.0,,
5679,1954,3.338,14.607,0.706,37.602,1.605,,,,,,,452.241,10511.123,,,,,,,,,,,6.314,146.741,,,,,,,,,5.873,136.506,,,,43025000.0,,,,,,353000000000.0,,
5680,1955,1.829,8.27,0.471,73.861,4.338,,,,,,,460.511,10608.157,,,,,,,,,,,6.784,156.282,,,,,,,,,10.211,235.22,,,,43411000.0,,,,,,374000000000.0,,
5681,1956,-0.153,-0.705,1.498,43.964,4.489,,,,,,,459.806,10495.69,,,,,,,,,,,8.282,189.059,,,,,,,,,14.7,335.555,,,,43809000.0,,,,,,394000000000.0,,
5682,1957,2.994,13.768,3.66,11.63,1.71,,,,,,,473.574,10709.25,,,,,,,,,,,11.942,270.057,,,,,,,,,16.41,371.089,,,,44221000.0,,,,,,420000000000.0,,
5683,1958,1.617,7.656,5.95,-1.772,-0.291,,,,,,,481.23,10775.645,,,,,,,,,,,17.892,400.634,,,,,,,,,16.119,360.939,,,,44659000.0,,,,,,436000000000.0,,
5684,1959,-0.34,-1.635,23.842,16.739,2.698,,,,,,,479.595,10625.079,,,,,,,,,,,41.734,924.576,,,,,,,,,18.817,416.885,,,,45138000.0,,,,,,450000000000.0,,
5685,1960,-2.689,-12.899,-11.279,22.188,4.175,,,,,,,466.696,10218.208,,,,,,,,,,,30.455,666.8,,,,,,,,,22.993,503.416,,,,45673000.0,,,,,,479000000000.0,,
5686,1961,-5.626,-26.255,12.456,9.408,2.163,,,,,,,440.441,9519.56,,,,,,,,,,,42.911,927.456,,,,,,,,,25.156,543.707,,,,46267000.0,,,,,,506000000000.0,,
5687,1962,-0.025,-0.109,7.812,9.57,2.407,,,,,,,440.332,9387.349,,,,,,,,,,,50.722,1081.337,,,,,,,,,27.563,587.612,,,,46907000.0,,,,,,545000000000.0,,
5688,1963,-8.965,-39.477,1.295,6.414,1.768,,,,,,,400.855,8428.229,,,,,,,,,,,52.017,1093.692,,,,,,,,,29.331,616.7,,,,47561000.0,,,,,,575000000000.0,,
5689,1964,10.442,41.858,2.451,12.847,3.768,,,,,,,442.713,9187.963,,,,,,,,,,,54.468,1130.408,,,,,,,,,33.099,686.929,,,,48184000.0,,,,,,617000000000.0,,
5690,1965,0.0,,,0.0,,,,,0.0,0.0,481.136,,,,,,,,,,2.008,26692.962,50.047,,,,,,,,,,637.302,,,,,,48747000.0,1301.202,,,,,648000000000.0,,
5691,1966,0.0,,,0.0,,2.345,30.515,0.0,0.0,0.0,445.814,,,,,,,,,,1.938,27049.266,52.797,,,,,,,,,,683.124,,,,,,49233000.0,1331.717,,,,,687000000000.0,,
5692,1967,0.0,,,0.0,,6.529,86.953,0.0,0.0,0.0,440.043,,,,,,,,,,1.959,28572.823,60.339,,,,,,,,,,784.791,,,,,,49651000.0,1418.669,,,,,724000000000.0,,
