,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
5746,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,21890.37,,,,,,,,,,,,,,,,,67000.0,1.467,,,,,,,
5747,1981,,0.0,,,,-20.0,-0.293,,,,,0.0,0.0,,,,,,,,,16761.769,,,,,,,,,,,,,,,,,70000.0,1.173,,,,,,,
5748,1982,,0.0,,,,50.0,0.587,,,,,0.0,0.0,,,,,,,,,24109.395,,,,,,,,,,,,,,,,,73000.0,1.76,,,,,,,
5749,1983,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,22856.959,,,,,,,,,,,,,,,,,77000.0,1.76,,,,,,,
5750,1984,,0.0,,,,-16.667,-0.293,,,,,0.0,0.0,,,,,,,,,17886.034,,,,,,,,,,,,,,,,,82000.0,1.467,,,,,,,
5751,1985,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,17054.125,,,,,,,,,,,,,,,,,86000.0,1.467,,,,,,,
5752,1986,,0.0,,,,6.315,0.093,,,,,0.0,0.0,,,,,,,,,16948.606,,,,,,,,,,,,,,,,,92000.0,1.559,,,,,,,
5753,1987,,0.0,,,,14.219,0.222,,,,,0.0,0.0,,,,,,,,,18173.237,,,,,,,,,,,,,,,,,98000.0,1.781,,,,,,,
5754,1988,,0.0,,,,14.91,0.266,,,,,0.0,0.0,,,,,,,,,19678.036,,,,,,,,,,,,,,,,,104000.0,2.047,,,,,,,
5755,1989,,0.0,,,,15.002,0.307,,,,,0.0,0.0,,,,,,,,,21395.806,,,,,,,,,,,,,,,,,110000.0,2.354,,,,,,,
5756,1990,,0.0,,,,19.429,0.457,,,,,0.0,0.0,,,,,,,,,24231.046,,,,,,,,,,,,,,,,,116000.0,2.811,,,,,,,
5757,1991,,0.0,,,,9.842,0.277,,,,,0.0,0.0,,,,,,,,,25516.148,,,,,,,,,,,,,,,,,121000.0,3.087,,,,,,,
5758,1992,,0.0,,,,-17.511,-0.541,,,,,0.0,0.0,,,,,,,,,20374.596,,,,,,,,,,,,,,,,,125000.0,2.547,,,,,,,
5759,1993,,0.0,,,,33.353,0.849,,,,,0.0,0.0,,,,,,,,,26327.732,,,,,,,,,,,,,,,,,129000.0,3.396,,,,,,,
5760,1994,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,25535.92,,,,,,,,,,,,,,,,,133000.0,3.396,,,,,,,
5761,1995,,0.0,,,,16.609,0.564,,,,,0.0,0.0,,,,,,,,,28907.85,,,,,,,,,,,,,,,,,137000.0,3.96,,,,,,,
5762,1996,,0.0,,,,-1.432,-0.057,,,,,0.0,0.0,,,,,,,,,27490.485,,,,,,,,,,,,,,,,,142000.0,3.904,,,,,,,
5763,1997,,0.0,,,,1.453,0.057,,,,,0.0,0.0,,,,,,,,,27125.859,,,,,,,,,,,,,,,,,146000.0,3.96,,,,,,,
5764,1998,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,26227.652,,,,,,,,,,,,,,,,,151000.0,3.96,,,,,,,
5765,1999,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,25225.323,,,,,,,,,,,,,,,,,157000.0,3.96,,,,,,,
5766,2000,,0.0,,,,-43.123,-1.708,,,,,0.0,0.0,0.428,0.0,0.0,0.0,0.0,0.0,0.0,,13819.317,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2625.767,163000.0,2.253,0.0,0.0,0.0,0.0,,0.0,0.0
5767,2001,,0.0,,,,79.131,1.782,,,,,0.0,0.0,0.585,0.53,0.0,0.0,0.53,0.0,0.0,,23735.374,,,,90.598,3117.647,90.598,0.53,3117.647,0.0,0.0,,,,0.0,0.0,3441.176,170000.0,4.035,3117.647,90.598,0.0,0.0,,0.0,0.0
5768,2002,,0.0,,,,-6.632,-0.268,,,,,0.0,0.0,0.606,0.549,0.0,0.0,0.549,0.0,0.0,,21046.969,,,,90.594,3067.039,90.594,0.549,3067.039,0.0,0.0,,,,0.0,0.0,3385.475,179000.0,3.767,3067.039,90.594,0.0,0.0,,0.0,0.0
5769,2003,,0.0,,,,16.983,0.64,,,,,0.0,0.0,0.631,0.571,0.0,0.0,0.571,0.0,0.0,,23567.982,,,,90.491,3053.476,90.491,0.571,3053.476,0.0,0.0,,,,0.0,0.0,3374.332,187000.0,4.407,3053.476,90.491,0.0,0.0,,0.0,0.0
5770,2004,,0.0,,,,0.263,0.012,,,,,0.0,0.0,0.655,0.593,0.0,0.0,0.593,0.0,0.0,,22660.503,,,,90.534,3041.026,90.534,0.593,3041.026,0.0,0.0,,,,0.0,0.0,3358.974,195000.0,4.419,3041.026,90.534,0.0,0.0,,0.0,0.0
5771,2005,,0.0,,,,0.127,0.006,,,,,0.0,0.0,0.681,0.616,0.0,0.0,0.616,0.0,0.0,,21795.019,,,,90.455,3034.483,90.455,0.616,3034.483,0.0,0.0,,,,0.0,0.0,3354.68,203000.0,4.424,3034.483,90.455,0.0,0.0,,0.0,0.0
