,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
5786,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,5751.588,,,,,,,,,,,,,,,,,153000.0,0.88,,,,,,,
5787,1981,,0.0,,,,66.667,0.587,,,,,0.0,0.0,,,,,,,,,9282.625,,,,,,,,,,,,,,,,,158000.0,1.467,,,,,,,
5788,1982,,0.0,,,,20.0,0.293,,,,,0.0,0.0,,,,,,,,,10797.459,,,,,,,,,,,,,,,,,163000.0,1.76,,,,,,,
5789,1983,,0.0,,,,35.931,0.632,,,,,0.0,0.0,,,,,,,,,14325.521,,,,,,,,,,,,,,,,,167000.0,2.392,,,,,,,
5790,1984,,0.0,,,,50.0,1.196,,,,,0.0,0.0,,,,,,,,,20863.623,,,,,,,,,,,,,,,,,172000.0,3.589,,,,,,,
5791,1985,,0.0,,,,-7.537,-0.27,,,,,0.0,0.0,,,,,,,,,18746.155,,,,,,,,,,,,,,,,,177000.0,3.318,,,,,,,
5792,1986,,0.0,,,,23.714,0.787,,,,,0.0,0.0,,,,,,,,,22554.459,,,,,,,,,,,,,,,,,182000.0,4.105,,,,,,,
5793,1987,,0.0,,,,1.047,0.043,,,,,0.0,0.0,,,,,,,,,22181.151,,,,,,,,,,,,,,,,,187000.0,4.148,,,,,,,
5794,1988,,0.0,,,,0.25,0.01,,,,,0.0,0.0,,,,,,,,,21770.982,,,,,,,,,,,,,,,,,191000.0,4.158,,,,,,,
5795,1989,,0.0,,,,1.236,0.051,,,,,0.0,0.0,,,,,,,,,21477.849,,,,,,,,,,,,,,,,,196000.0,4.21,,,,,,,
5796,1990,,0.0,,,,-5.37,-0.226,,,,,0.0,0.0,,,,,,,,,19918.065,,,,,,,,,,,,,,,,,200000.0,3.984,,,,,,,
5797,1991,,0.0,,,,0.814,0.032,,,,,0.0,0.0,,,,,,,,,19686.554,,,,,,,,,,,,,,,,,204000.0,4.016,,,,,,,
