,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
5946,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,0.402,920.976,,,,,,,,,,,,,,,,,637000.0,0.587,,,,,1461132032.0,,
5947,1981,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.345,891.583,,,,,,,,,,,,,,,,,658000.0,0.587,,,,,1698972032.0,,
5948,1982,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.325,865.283,,,,,,,,,,,,,,,,,678000.0,0.587,,,,,1806964992.0,,
5949,1983,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.342,838.088,,,,,,,,,,,,,,,,,700000.0,0.587,,,,,1714221056.0,,
5950,1984,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.337,808.074,,,,,,,,,,,,,,,,,726000.0,0.587,,,,,1742091008.0,,
5951,1985,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.327,776.008,,,,,,,,,,,,,,,,,756000.0,0.587,,,,,1795678976.0,,
5952,1986,,0.0,,,,9.852,0.058,,,,,0.0,0.0,,,,,,,,0.342,814.743,,,,,,,,,,,,,,,,,791000.0,0.644,,,,,1886114944.0,,
5953,1987,,0.0,,,,21.749,0.14,,,,,0.0,0.0,,,,,,,,0.424,944.198,,,,,,,,,,,,,,,,,831000.0,0.785,,,,,1852512000.0,,
5954,1988,,0.0,,,,0.27,0.002,,,,,0.0,0.0,,,,,,,,0.42,901.197,,,,,,,,,,,,,,,,,873000.0,0.787,,,,,1872499968.0,,
5955,1989,,0.0,,,,-0.269,-0.002,,,,,0.0,0.0,,,,,,,,0.412,856.582,,,,,,,,,,,,,,,,,916000.0,0.785,,,,,1906080000.0,,
5956,1990,,0.0,,,,0.475,0.004,,,,,0.0,0.0,,,,,,,,0.402,824.639,,,,,,,,,,,,,,,,,956000.0,0.788,,,,,1959059968.0,,
5957,1991,,0.0,,,,-0.473,-0.004,,,,,0.0,0.0,,,,,,,,0.391,790.16,,,,,,,,,,,,,,,,,993000.0,0.785,,,,,2005784064.0,,
5958,1992,,0.0,,,,0.27,0.002,,,,,0.0,0.0,,,,,,,,0.395,766.061,,,,,,,,,,,,,,,,,1027000.0,0.787,,,,,1989415936.0,,
5959,1993,,0.0,,,,7.658,0.06,,,,,0.0,0.0,,,,,,,,0.413,798.299,,,,,,,,,,,,,,,,,1061000.0,0.847,,,,,2052761984.0,,
5960,1994,,0.0,,,,15.258,0.129,,,,,0.0,0.0,,,,,,,,0.479,892.347,,,,,,,,,,,,,,,,,1094000.0,0.976,,,,,2036160000.0,,
5961,1995,,0.0,,,,-7.477,-0.073,,,,,0.0,0.0,,,,,,,,0.427,800.032,,,,,,,,,,,,,,,,,1129000.0,0.903,,,,,2115341952.0,,
5962,1996,,0.0,,,,0.27,0.002,,,,,0.0,0.0,,,,,,,,0.424,778.073,,,,,,,,,,,,,,,,,1164000.0,0.906,,,,,2135954048.0,,
5963,1997,,0.0,,,,-0.27,-0.002,,,,,0.0,0.0,,,,,,,,0.416,752.07,,,,,,,,,,,,,,,,,1201000.0,0.903,,,,,2169774080.0,,
5964,1998,,0.0,,,,6.721,0.061,,,,,0.0,0.0,,,,,,,,0.454,778.629,,,,,,,,,,,,,,,,,1238000.0,0.964,,,,,2125555968.0,,
5965,1999,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.419,754.853,,,,,,,,,,,,,,,,,1277000.0,0.964,,,,,2298119936.0,,
5966,2000,,0.0,,,,31.411,0.303,,,,,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.515,961.099,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,83.839,1318000.0,1.267,0.0,0.0,0.0,0.0,2458884096.0,0.0,0.0
5967,2001,,0.0,,,,8.93,0.113,,,,,0.0,0.0,0.127,0.0,0.0,0.0,0.0,0.0,0.0,0.549,1014.598,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,93.382,1360000.0,1.38,0.0,0.0,0.0,0.0,2514364928.0,0.0,0.0
5968,2002,,0.0,,,,-0.423,-0.006,,,,,0.0,0.0,0.142,0.0,0.0,0.0,0.0,0.0,0.0,0.578,978.644,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,101.14,1404000.0,1.374,0.0,0.0,0.0,0.0,2376890880.0,0.0,0.0
5969,2003,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0.512,947.598,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,108.966,1450000.0,1.374,0.0,0.0,0.0,0.0,2682394112.0,0.0,0.0
