,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
5986,1992,,,,,,,,,,,,0.718,135.37,,,,,,,,3.718,17437.119,,0.218,41.111,,,,,,,,,1.831,345.153,,,,5304000.0,92.486,,,,,24876775424.0,,
5987,1993,6.383,0.046,-0.218,-31.223,-0.572,-39.424,-36.462,,,,,0.764,146.637,,,,,,,,3.744,10755.402,,0.0,0.0,,,,,,,,,1.259,241.715,,,,5209000.0,56.025,,,,,14965552128.0,,
5988,1994,22.667,0.173,0.0,-9.575,-0.121,-23.602,-13.223,,,,,0.937,183.828,,,,,,,,3.198,8397.448,,0.0,0.0,,,,,,,,,1.139,223.373,,,,5097000.0,42.802,,,,,13382023168.0,,
5989,1995,-81.522,-0.764,0.0,-44.705,-0.509,-0.442,-0.189,,,,,0.173,34.794,,,,,,,,2.886,8563.608,,0.0,0.0,,,,,,,,,0.63,126.517,,,,4976000.0,42.613,,,,,14763447296.0,,
5990,1996,-52.941,-0.092,0.0,20.329,0.128,6.15,2.621,,,,,0.081,16.809,,,,,,,,2.736,9332.19,,0.0,0.0,,,,,,,,,0.758,156.288,,,,4847000.0,45.233,,,,,16530052096.0,,
5991,1997,-68.75,-0.056,0.651,122.336,0.927,3.641,1.647,,,,,0.025,5.406,,,,,,,,2.653,9953.277,,0.651,138.164,,,,,,,,,1.684,357.591,,,,4710000.0,46.88,,,,,17668464640.0,,
5992,1998,200.0,0.051,0.0,-18.085,-0.305,1.731,0.812,,,,,0.076,16.696,,,,,,,,2.83,10424.359,,0.651,142.241,,,,,,,,,1.38,301.564,,,,4575000.0,47.691,,,,,16853489664.0,,
5993,1999,6.667,0.005,0.0,0.388,0.005,-3.559,-1.697,,,,,0.081,18.28,,,,,,,,2.763,10319.516,,0.651,146.007,,,,,,,,,1.385,310.748,,,,4457000.0,45.994,,,,,16648032256.0,,
5994,2000,-56.25,-0.046,0.0,-8.842,-0.122,-14.962,-6.882,,,,,0.036,8.172,7.271,5.801,0.0,0.0,5.801,0.0,0.0,2.369,8966.649,,0.651,149.187,79.781,1329.895,79.781,5.801,1329.895,0.0,0.0,,1.263,289.442,0.0,0.0,1666.933,4362000.0,39.113,1329.895,79.781,0.0,0.0,16507205632.0,0.0,0.0
5995,2001,-85.681,-0.031,0.0,-0.273,-0.003,-8.498,-3.324,,,,,0.005,1.188,6.798,5.487,0.0,0.0,5.487,0.0,0.0,2.065,8328.818,,0.651,151.443,80.711,1276.937,80.711,5.487,1276.937,0.0,0.0,,1.259,293.017,0.0,0.0,1582.104,4297000.0,35.789,1276.937,80.711,0.0,0.0,17331390464.0,0.0,0.0
5996,2002,498.619,0.025,-0.512,-26.0,-0.327,18.332,6.561,,,,,0.031,7.174,7.16,6.699,0.0,0.0,6.699,0.0,0.0,2.297,9943.595,,0.139,32.631,93.567,1572.904,93.567,6.699,1572.904,0.0,0.0,,0.932,218.767,0.0,0.0,1681.052,4259000.0,42.35,1572.904,93.567,0.0,0.0,18439915520.0,0.0,0.0
5997,2003,33.333,0.01,0.075,89.189,0.831,-12.606,-5.339,,,,,0.041,9.61,7.057,6.461,0.0,0.0,6.461,0.0,0.0,1.774,8731.094,,0.214,50.439,91.555,1524.18,91.555,6.461,1524.18,0.0,0.0,,1.763,415.837,0.0,0.0,1664.77,4239000.0,37.011,1524.18,91.555,0.0,0.0,20863416320.0,0.0,0.0
