,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
6014,1900,,,,,,,,,,,,647.411,11685.928,,,,,,,,,,,0.0,0.0,,,,,,,,,0.582,10.496,,,,55400944.0,,,,,,250000000000.0,,
6015,1901,0.941,6.095,0.0,-12.0,-0.07,,,,,,,653.506,11615.012,,,,,,,,,,,0.0,0.0,,,,,,,,,0.512,9.095,,,,56263936.0,,,,,,245000000000.0,,
6016,1902,-1.329,-8.683,0.0,13.636,0.07,,,,,,,644.823,11286.34,,,,,,,,,,,0.0,0.0,,,,,,,,,0.582,10.178,,,,57133064.0,,,,,,252000000000.0,,
6017,1903,8.149,52.546,0.0,26.0,0.151,,,,,,,697.37,12021.19,,,,,,,,,,,0.0,0.0,,,,,,,,,0.733,12.63,,,,58011692.0,,,,,,267000000000.0,,
6018,1904,3.999,27.887,0.0,42.857,0.314,,,,,,,725.257,12315.093,,,,,,,,,,,0.0,0.0,,,,,,,,,1.047,17.773,,,,58891708.0,,,,,,279000000000.0,,
6019,1905,5.798,42.054,0.0,-12.222,-0.128,,,,,,,767.31,12835.884,,,,,,,,,,,0.0,0.0,,,,,,,,,0.919,15.37,,,,59778544.0,,,,,,287000000000.0,,
6020,1906,7.666,58.825,0.0,2.532,0.023,,,,,,,826.136,13617.267,,,,,,,,,,,0.0,0.0,,,,,,,,,0.942,15.528,,,,60668248.0,,,,,,296000000000.0,,
6021,1907,5.486,45.322,0.0,30.864,0.291,,,,,,,871.457,14158.493,,,,,,,,,,,0.0,0.0,,,,,,,,,1.233,20.029,,,,61550144.0,,,,,,311000000000.0,,
6022,1908,3.229,28.135,0.0,33.019,0.407,,,,,,,899.592,14408.061,,,,,,,,,,,0.0,0.0,,,,,,,,,1.64,26.264,,,,62436736.0,,,,,,318000000000.0,,
6023,1909,1.153,10.376,0.0,-2.837,-0.047,,,,,,,909.969,14363.995,,,,,,,,,,,0.0,0.0,,,,,,,,,1.593,25.151,,,,63350672.0,,,,,,325000000000.0,,
6024,1910,1.496,13.613,0.0,2.19,0.035,,,,,,,923.582,14383.067,,,,,,,,,,,0.0,0.0,,,,,,,,,1.628,25.356,,,,64213148.0,,,,,,339000000000.0,,
6025,1911,5.158,47.638,0.0,-2.143,-0.035,,,,,,,971.22,14918.689,,,,,,,,,,,0.0,0.0,,,,,,,,,1.593,24.474,,,,65100920.0,,,,,,345000000000.0,,
6026,1912,10.773,104.63,0.0,-1.46,-0.023,,,,,,,1075.851,16334.458,,,,,,,,,,,0.0,0.0,,,,,,,,,1.57,23.838,,,,65863880.0,,,,,,354000000000.0,,
6027,1913,8.539,91.862,0.0,-10.37,-0.163,,,,,,,1167.712,17519.749,,,,,,,,,,,0.0,0.0,,,,,,,,,1.407,21.113,,,,66651200.0,,,,,,363000000000.0,,
6028,1914,-13.066,-152.579,0.0,-9.091,-0.128,,,,,,,1015.133,15088.524,,,,,,,,,,,0.0,0.0,,,,,,,,,1.279,19.015,,,,67278504.0,,,,,,304000000000.0,,
6029,1915,-6.123,-62.152,0.0,-10.0,-0.128,,,,,,,952.981,14087.189,,,,,,,,,,,0.0,0.0,,,,,,,,,1.151,17.02,,,,67648792.0,,,,,,284000000000.0,,
6030,1916,8.082,77.016,0.0,-6.061,-0.07,,,,,,,1029.997,15246.002,,,,,,,,,,,0.0,0.0,,,,,,,,,1.082,16.01,,,,67558520.0,,,,,,282000000000.0,,
6031,1917,4.497,46.318,0.0,-2.151,-0.023,,,,,,,1076.316,16006.369,,,,,,,,,,,0.0,0.0,,,,,,,,,1.058,15.739,,,,67242968.0,,,,,,277000000000.0,,
6032,1918,-3.253,-35.013,0.0,-58.242,-0.616,,,,,,,1041.302,15934.491,,,,,,,,,,,0.0,0.0,,,,,,,,,0.442,6.763,,,,65348956.0,,,,,,273000000000.0,,
6033,1919,-21.628,-225.217,0.0,-2.632,-0.012,,,,,,,816.085,12813.836,,,,,,,,,,,0.0,0.0,,,,,,,,,0.43,6.757,,,,63687828.0,,,,,,216000000000.0,,
6034,1920,14.519,118.485,0.0,-5.405,-0.023,,,,,,,934.57,14968.022,,,,,,,,,,,0.0,0.0,,,,,,,,,0.407,6.519,,,,62437800.0,,,,,,230000000000.0,,
6035,1921,5.582,52.167,0.0,8.571,0.035,,,,,,,986.737,15687.549,,,,,,,,,,,0.0,0.0,,,,,,,,,0.442,7.026,,,,62899396.0,,,,,,251000000000.0,,
6036,1922,-5.12,-50.522,0.0,10.526,0.047,,,,,,,936.215,14771.123,,,,,,,,,,,0.0,0.0,,,,,,,,,0.488,7.707,,,,63381464.0,,,,,,268000000000.0,,
6037,1923,-35.274,-330.24,0.0,21.429,0.105,,,,,,,605.976,9503.275,,,,,,,,,,,0.0,0.0,,,,,,,,,0.593,9.302,,,,63764928.0,,,,,,218000000000.0,,
6038,1924,49.033,297.127,0.0,15.686,0.093,,,,,,,903.103,14067.715,,,,,,,,,,,0.0,0.0,,,,,,,,,0.686,10.689,,,,64196844.0,,,,,,250000000000.0,,
6039,1925,11.815,106.699,0.0,33.898,0.233,,,,,,,1009.802,15619.95,,,,,,,,,,,0.0,0.0,,,,,,,,,0.919,14.212,,,,64648204.0,,,,,,273000000000.0,,
6040,1926,6.143,62.035,0.0,20.253,0.186,,,,,,,1071.836,16464.311,,,,,,,,,,,0.0,0.0,,,,,,,,,1.105,16.971,,,,65100588.0,,,,,,274000000000.0,,
6041,1927,6.36,68.166,0.0,2.105,0.023,,,,,,,1140.002,17399.515,,,,,,,,,,,0.0,0.0,,,,,,,,,1.128,17.218,,,,65519196.0,,,,,,295000000000.0,,
6042,1928,2.204,25.124,0.0,-5.155,-0.058,,,,,,,1165.127,17680.882,,,,,,,,,,,0.0,0.0,,,,,,,,,1.07,16.237,,,,65897548.0,,,,,,301000000000.0,,
6043,1929,7.289,84.932,0.0,11.957,0.128,,,,,,,1250.058,18866.095,,,,,,,,,,,0.0,0.0,,,,,,,,,1.198,18.079,,,,66259520.0,,,,,,293000000000.0,,
6044,1930,-13.939,-174.249,0.0,68.932,0.826,,,,,,,1075.809,16150.64,,,,,,,,,,,0.0,0.0,,,,,,,,,2.024,30.38,,,,66610920.0,,,,,,301000000000.0,,
6045,1931,-14.118,-151.885,0.0,31.609,0.64,,,,,,,923.924,13801.397,,,,,,,,,,,0.0,0.0,,,,,,,,,2.663,39.783,,,,66944240.0,,,,,,289000000000.0,,
6046,1932,-10.388,-95.98,0.0,0.437,0.012,,,,,,,827.944,12308.51,,,,,,,,,,,0.0,0.0,,,,,,,,,2.675,39.766,,,,67265952.0,,,,,,277000000000.0,,
6047,1933,4.234,35.054,0.0,3.913,0.105,,,,,,,862.998,12765.795,,,,,,,,,,,0.0,0.0,,,,,,,,,2.78,41.117,,,,67602344.0,,,,,,305000000000.0,,
6048,1934,11.803,101.861,0.0,33.054,0.919,,,,,,,964.859,14189.853,,,,,,,,,,,0.0,0.0,,,,,,,,,3.698,54.39,,,,67996384.0,,,,,,344000000000.0,,
6049,1935,11.929,115.101,0.0,34.277,1.268,,,,,,,1079.959,15777.943,,,,,,,,,,,0.0,0.0,,,,,,,,,4.966,72.552,,,,68447408.0,,,,,,382000000000.0,,
6050,1936,10.367,111.955,0.0,4.215,0.209,,,,,,,1191.914,17291.027,,,,,,,,,,,0.0,0.0,,,,,,,,,5.175,75.079,,,,68932544.0,,,,,,417000000000.0,,
6051,1937,15.859,189.02,0.0,1.348,0.07,,,,,,,1380.935,19867.253,,,,,,,,,,,0.0,0.0,,,,,,,,,5.245,75.461,,,,69508088.0,,,,,,443000000000.0,,
6052,1938,2.527,34.899,0.0,35.033,1.838,,,,,,,1415.834,20177.512,,,,,,,,,,,0.0,0.0,,,,,,,,,7.083,100.938,,,,70168920.0,,,,,,478000000000.0,,
6053,1939,-1.15,-16.284,0.0,21.511,1.524,,,,,,,1399.55,19752.977,,,,,,,,,,,0.0,0.0,,,,,,,,,8.606,121.466,,,,70852616.0,,,,,,524000000000.0,,
6054,1940,1.694,23.712,0.0,42.703,3.675,,,,,,,1423.262,19925.88,,,,,,,,,,,0.0,0.0,,,,,,,,,12.281,171.94,,,,71427816.0,,,,,,528000000000.0,,
6055,1941,1.592,22.652,0.0,-14.583,-1.791,,,,,,,1445.914,20094.435,,,,,,,,,,,0.0,0.0,,,,,,,,,10.49,145.787,,,,71955936.0,,,,,,563000000000.0,,
6056,1942,1.869,27.025,0.0,-17.517,-1.838,,,,,,,1472.939,20414.263,,,,,,,,,,,0.0,0.0,,,,,,,,,8.653,119.923,,,,72152448.0,,,,,,572000000000.0,,
6057,1943,1.842,27.125,0.0,-4.435,-0.384,,,,,,,1500.064,20827.528,,,,,,,,,,,0.0,0.0,,,,,,,,,8.269,114.809,,,,72023152.0,,,,,,584000000000.0,,
6058,1944,-10.87,-163.06,0.0,1.547,0.128,,,,,,,1337.005,18906.91,,,,,,,,,,,0.0,0.0,,,,,,,,,8.397,118.742,,,,70715128.0,,,,,,600000000000.0,,
6059,1945,-74.942,-1001.975,0.0,-24.792,-2.082,,,,,,,335.03,4872.508,,,,,,,,,,,0.0,0.0,,,,,,,,,6.315,91.844,,,,68759232.0,,,,,,428000000000.0,,
6060,1946,144.706,484.809,2.347,19.705,1.244,,,,,,,819.839,12150.675,,,,,,,,,,,2.347,34.779,,,,,,,,,7.56,112.038,,,,67472704.0,,,,,,203000000000.0,,
6061,1947,16.411,134.543,-0.667,-11.231,-0.849,,,,,,,954.382,14123.649,,,,,,,,,,,1.679,24.85,,,,,,,,,6.711,99.307,,,,67573344.0,,,,,,228000000000.0,,
6062,1948,16.618,158.599,-0.237,10.052,0.675,,,,,,,1112.982,16199.75,,,,,,,,,,,1.442,20.995,,,,,,,,,7.385,107.492,,,,68703624.0,,,,,,271000000000.0,,
6063,1949,16.904,188.135,-0.28,32.598,2.407,,,,,,,1301.117,18725.913,,,,,,,,,,,1.163,16.731,,,,,,,,,9.792,140.935,,,,69482160.0,,,,,,318000000000.0,,
6064,1950,6.789,88.339,0.301,32.898,3.222,,,,,,,1389.456,19859.015,,,,,,,,,,,1.464,20.924,,,,,,,,,13.014,186.004,,,,69966000.0,,,,,,379000000000.0,,
6065,1951,8.464,117.606,0.323,22.163,2.884,,,,,,,1507.062,21437.586,,,,,,,,,,,1.787,25.418,,,,,,,,,15.898,226.148,,,,70300000.0,,,,,,422000000000.0,,
6066,1952,4.116,62.029,0.28,28.383,4.512,,,,,,,1569.091,22218.792,,,,,,,,,,,2.067,29.266,,,,,,,,,20.411,289.021,,,,70620000.0,,,,,,465000000000.0,,
6067,1953,2.807,44.05,0.172,24.729,5.047,,,,,,,1613.141,22742.723,,,,,,,,,,,2.239,31.566,,,,,,,,,25.458,358.919,,,,70930000.0,,,,,,503000000000.0,,
6068,1954,3.523,56.827,0.99,21.791,5.548,,,,,,,1669.968,23443.746,,,,,,,,,,,3.229,45.334,,,,,,,,,31.006,435.27,,,,71233000.0,,,,,,544000000000.0,,
6069,1955,4.414,73.708,1.938,18.042,5.594,,,,,,,1743.677,24374.473,,,,,,,,,,,5.167,72.226,,,,,,,,,36.6,511.618,,,,71537000.0,,,,,,613000000000.0,,
6070,1956,2.839,49.501,2.734,11.535,4.222,,,,,,,1793.178,24956.896,,,,,,,,,,,7.901,109.963,,,,,,,,,40.821,568.139,,,,71851000.0,,,,,,659000000000.0,,
6071,1957,0.895,16.041,-0.215,12.963,5.292,,,,,,,1809.219,25064.339,,,,,,,,,,,7.686,106.475,,,,,,,,,46.113,638.834,,,,72183000.0,,,,,,696000000000.0,,
6072,1958,-0.416,-7.526,0.106,11.929,5.501,,,,,,,1801.693,24834.502,,,,,,,,,,,7.792,107.399,,,,,,,,,51.614,711.446,,,,72548000.0,,,,,,726000000000.0,,
6073,1959,3.871,69.751,0.931,15.142,7.815,,,,,,,1871.445,25652.043,,,,,,,,,,,8.723,119.564,,,,,,,,,59.429,814.603,,,,72955000.0,,,,,,783000000000.0,,
6074,1960,1.925,36.023,1.34,8.219,4.885,,,,,,,1907.468,25982.351,,,,,,,,,,,10.063,137.068,,,,,,,,,64.314,876.045,,,,73414000.0,,,,,,840000000000.0,,
6075,1961,1.749,33.361,0.903,12.242,7.874,,,,,,,1940.829,26252.961,,,,,,,,,,,10.966,148.334,,,,,,,,,72.187,976.456,,,,73928000.0,,,,,,861000000000.0,,
6076,1962,1.08,20.969,3.147,9.65,6.966,,,,,,,1961.798,26336.747,,,,,,,,,,,14.113,189.471,,,,,,,,,79.154,1062.625,,,,74489000.0,,,,,,895000000000.0,,
6077,1963,1.883,36.949,7.209,8.992,7.118,,,,,,,1998.747,26621.211,,,,,,,,,,,21.322,283.988,,,,,,,,,86.271,1149.044,,,,75081000.0,,,,,,919000000000.0,,
6078,1964,0.783,15.655,11.781,4.246,3.663,,,,,,,2014.402,26618.416,,,,,,,,,,,33.103,437.425,,,,,,,,,89.935,1188.404,,,,75677000.0,,,,,,989000000000.0,,
6079,1965,0.0,,,0.0,,,,,0.0,0.0,1869.478,,,,,,,,,,2.88,38899.306,30.976,,,,,,,,,,1020.571,,,,,,76258000.0,2966.383,,,,,1030000000000.0,,
6080,1966,0.0,,,0.0,,0.252,7.462,0.0,0.0,0.0,1745.341,,,,,,,,,,2.779,38711.866,37.23,,,,,,,,,,1141.833,,,,,,76820000.0,2973.846,,,,,1070000000000.0,,
6081,1967,0.0,,,0.0,,-0.251,-7.469,0.0,0.0,0.0,1681.306,,,,,,,,,,2.772,38346.579,47.989,,,,,,,,,,1187.423,,,,,,77357000.0,2966.376,,,,,1070000000000.0,,
6082,1968,0.0,,,0.0,,6.773,200.905,0.0,0.0,0.0,1705.44,,,,,,,,,,2.778,40685.977,78.87,,,,,,,,,,1331.124,,,,,,77847000.0,3167.281,,,,,1140000000000.0,,
6083,1969,0.0,,,0.0,,7.885,249.747,0.0,0.0,0.0,1755.962,,,,,,,,,,2.801,43661.954,112.316,,,,,,,,,,1496.943,,,,,,78261000.0,3417.028,,,,,1220000000000.0,,
6084,1970,0.0,,,0.0,,5.563,190.08,0.0,0.0,0.0,1733.999,,,,,,,,,,2.796,45904.808,159.738,120.13,1528.797,,,,,,,,1644.072,,,,,,78578000.0,3607.108,,,,,1290000000000.0,,
6085,1971,0.0,,27.868,0.0,,0.922,33.254,0.0,0.0,0.0,1659.381,,,,,,,,,,2.737,46203.354,211.025,147.997,1878.378,,,,,,,,1712.533,,,,,,78790000.0,3640.362,,,,,1330000000000.0,,
6086,1972,0.0,,29.189,0.0,,3.475,126.506,0.0,0.0,0.0,1619.863,,,,,,,,,,2.71,47741.096,273.225,177.186,2245.645,,,,,,,,1807.818,,,,,,78902000.0,3766.868,,,,,1390000000000.0,,
6087,1973,0.0,,21.189,0.0,,5.75,216.601,0.0,0.0,0.0,1625.131,,,,,,,,,,2.728,50467.093,352.331,198.375,2513.235,,,,,,,,1927.15,,,,,,78932000.0,3983.469,,,,,1460000000000.0,,
6088,1974,0.0,,7.663,0.0,,-1.755,-69.909,0.0,0.0,0.0,1632.121,,,,,,,,,,2.662,49595.234,440.765,206.037,2611.04,,,,,,,,1748.526,,,,,,78910000.0,3913.56,,,,,1470000000000.0,,
6089,1975,0.0,,-14.785,0.0,,-3.934,-153.954,0.0,0.0,0.0,1478.57,,,,,,,,,,2.54,47676.849,465.144,191.252,2425.334,,,,,,,,1698.331,,,,,,78856000.0,3759.606,,,,,1480000000000.0,,
6090,1976,0.0,,5.958,0.0,,6.717,252.527,0.0,0.0,0.0,1560.84,,,,,,,,,,2.572,50927.02,492.289,197.21,2503.236,,,,,,,,1834.954,,,,,,78782000.0,4012.132,,,,,1560000000000.0,,
