,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
6255,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,68443.895,,0.0,0.0,,,,,,,,,0.0,0.0,,,,30000.0,2.053,,,,,,,
6256,1981,,0.0,0.0,,0.0,14.286,0.293,,,,,0.0,0.0,,,,,,,,,78221.593,,0.0,0.0,,,,,,,,,0.0,0.0,,,,30000.0,2.347,,,,,,,
6257,1982,,0.0,0.0,,0.0,-12.5,-0.293,,,,,0.0,0.0,,,,,,,,,68443.895,,0.0,0.0,,,,,,,,,0.0,0.0,,,,30000.0,2.053,,,,,,,
6258,1983,,0.0,0.0,,0.0,-14.286,-0.293,,,,,0.0,0.0,,,,,,,,,60689.166,,0.0,0.0,,,,,,,,,0.0,0.0,,,,29000.0,1.76,,,,,,,
6259,1984,,0.0,0.0,,0.0,-16.667,-0.293,,,,,0.0,0.0,,,,,,,,,50574.302,,0.0,0.0,,,,,,,,,0.0,0.0,,,,29000.0,1.467,,,,,,,
6260,1985,,0.0,0.0,,0.0,140.0,2.053,,,,,0.0,0.0,,,,,,,,,121378.336,,0.0,0.0,,,,,,,,,0.0,0.0,,,,29000.0,3.52,,,,,,,
6261,1986,,0.0,0.0,,0.0,54.193,1.908,,,,,0.0,0.0,,,,,,,,,187156.99,,0.0,0.0,,,,,,,,,0.0,0.0,,,,29000.0,5.428,,,,,,,
6262,1987,,0.0,0.0,,0.0,2.361,0.128,,,,,0.0,0.0,,,,,,,,,191575.809,,0.0,0.0,,,,,,,,,0.0,0.0,,,,29000.0,5.556,,,,,,,
6263,1988,,0.0,0.0,,0.0,31.181,1.732,,,,,0.0,0.0,,,,,,,,,251310.352,,0.0,0.0,,,,,,,,,0.0,0.0,,,,29000.0,7.288,,,,,,,
6264,1989,,0.0,0.0,,0.0,-14.983,-1.092,,,,,0.0,0.0,,,,,,,,,213656.454,,0.0,0.0,,,,,,,,,0.0,0.0,,,,29000.0,6.196,,,,,,,
6265,1990,,0.0,0.0,,0.0,4.266,0.264,,,,,0.0,0.0,,,,,,,,,222770.34,,0.0,0.0,,,,,,,,,0.0,0.0,,,,29000.0,6.46,,,,,,,
6266,1991,,0.0,0.0,,0.0,2.165,0.14,,,,,0.0,0.0,,,,,,,,,227592.375,,0.0,0.0,,,,,,,,,0.0,0.0,,,,29000.0,6.6,,,,,,,
6267,1992,,0.0,0.0,,0.0,78.643,5.191,,,,,0.0,0.0,,,,,,,,,406578.504,,0.0,0.0,,,,,,,,,0.0,0.0,,,,29000.0,11.791,,,,,,,
6268,1993,,0.0,0.0,,0.0,5.437,0.641,,,,,0.0,0.0,,,,,,,,,428683.845,,0.0,0.0,,,,,,,,,0.0,0.0,,,,29000.0,12.432,,,,,,,
6269,1994,,0.0,0.0,,0.0,0.502,0.062,,,,,0.0,0.0,,,,,,,,,430834.393,,0.0,0.0,,,,,,,,,0.0,0.0,,,,29000.0,12.494,,,,,,,
6270,1995,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,430834.393,,0.0,0.0,,,,,,,,,0.0,0.0,,,,29000.0,12.494,,,,,,,
6271,1996,,0.0,0.0,,0.0,0.273,0.034,,,,,0.0,0.0,,,,,,,,,432009.704,,0.0,0.0,,,,,,,,,0.0,0.0,,,,29000.0,12.528,,,,,,,
6272,1997,,0.0,0.0,,0.0,-0.272,-0.034,,,,,0.0,0.0,,,,,,,,,430834.393,,0.0,0.0,,,,,,,,,0.0,0.0,,,,29000.0,12.494,,,,,,,
6273,1998,,0.0,0.0,,0.0,14.837,1.854,,,,,0.0,0.0,,,,,,,,,478265.801,,0.0,0.0,,,,,,,,,0.0,0.0,,,,30000.0,14.348,,,,,,,
6274,1999,,0.0,0.0,,0.0,-12.487,-1.792,,,,,0.0,0.0,,,,,,,,,405041.837,,0.0,0.0,,,,,,,,,0.0,0.0,,,,31000.0,12.556,,,,,,,
6275,2000,,0.0,0.0,,0.0,179.772,22.573,,,,,0.0,0.0,0.118,0.0,0.0,0.0,0.0,0.0,0.0,,1133193.698,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,3790.323,31000.0,35.129,0.0,0.0,0.0,0.0,,0.0,0.0
6276,2001,,0.0,0.0,,0.0,9.981,3.506,,,,,0.0,0.0,0.118,0.0,0.0,0.0,0.0,0.0,0.0,,1207346.825,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,3701.25,32000.0,38.635,0.0,0.0,0.0,0.0,,0.0,0.0
6277,2002,,0.0,0.0,,0.0,10.44,4.033,,,,,0.0,0.0,0.121,0.0,0.0,0.0,0.0,0.0,0.0,,1333392.366,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,3789.375,32000.0,42.669,0.0,0.0,0.0,0.0,,0.0,0.0
6278,2003,,0.0,0.0,,0.0,14.921,6.366,,,,,0.0,0.0,0.126,0.0,0.0,0.0,0.0,0.0,0.0,,1485906.844,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,3816.97,33000.0,49.035,0.0,0.0,0.0,0.0,,0.0,0.0
6279,2004,,0.0,0.0,,0.0,-4.54,-2.226,,,,,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.0,0.0,,1418449.637,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,3873.939,33000.0,46.809,0.0,0.0,0.0,0.0,,0.0,0.0
6280,2005,,0.0,0.0,,0.0,11.94,5.589,,,,,0.0,0.0,0.136,0.0,0.0,0.0,0.0,0.0,0.0,,1587810.243,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,4130.303,33000.0,52.398,0.0,0.0,0.0,0.0,,0.0,0.0
6281,2006,,0.0,0.0,,0.0,-2.303,-1.207,,,,,0.0,0.0,0.142,0.0,0.0,0.0,0.0,0.0,0.0,,1551249.506,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,4301.212,33000.0,51.191,0.0,0.0,0.0,0.0,,0.0,0.0
6282,2007,,0.0,0.0,,0.0,8.122,4.158,,,,,0.0,0.0,0.146,0.0,0.0,0.0,0.0,0.0,0.0,,1627908.121,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,4285.294,34000.0,55.349,0.0,0.0,0.0,0.0,,0.0,0.0
6283,2008,,0.0,0.0,,0.0,-2.741,-1.517,,,,,0.0,0.0,0.156,0.0,0.0,0.0,0.0,0.0,0.0,,1583284.324,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,4589.412,34000.0,53.832,0.0,0.0,0.0,0.0,,0.0,0.0
6284,2009,,0.0,0.0,,0.0,5.894,3.173,,,,,0.0,0.0,0.164,0.0,0.0,0.0,0.0,0.0,0.0,,1676609.704,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,4810.588,34000.0,57.005,0.0,0.0,0.0,0.0,,0.0,0.0
6285,2010,,0.0,0.0,,0.0,-3.333,-1.9,,,,,0.0,0.0,0.166,0.0,0.0,0.0,0.0,0.0,0.0,,1620733.403,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,4893.529,34000.0,55.105,0.0,0.0,0.0,0.0,,0.0,0.0
6286,2011,,0.0,0.0,,0.0,-0.471,-0.259,,,,,0.0,0.0,0.161,0.0,0.0,0.0,0.0,0.0,0.0,,1613107.031,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,4727.647,34000.0,54.846,0.0,0.0,0.0,0.0,,0.0,0.0
6287,2012,,0.0,0.0,,0.0,0.879,0.482,,,,,0.0,0.0,0.165,0.0,0.0,0.0,0.0,0.0,0.0,,1627291.56,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,4865.882,34000.0,55.328,0.0,0.0,0.0,0.0,,0.0,0.0
6288,2013,,0.0,0.0,,0.0,-7.905,-4.374,,,,,0.0,0.0,0.178,0.0,0.0,0.0,0.0,0.0,0.0,,1498650.42,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,5225.294,34000.0,50.954,0.0,0.0,0.0,0.0,,0.0,0.0
6289,2014,,0.0,0.0,,0.0,-5.457,-2.781,,,,,0.0,0.0,0.186,0.0,0.0,0.0,0.0,0.0,0.0,,1416867.234,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,5474.118,34000.0,48.173,0.0,0.0,0.0,0.0,,0.0,0.0
6290,2015,,0.0,0.0,,0.0,2.341,1.128,,,,,0.0,0.0,0.211,0.0,0.0,0.0,0.0,0.0,0.0,,1450036.062,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,6192.941,34000.0,49.301,0.0,0.0,0.0,0.0,,0.0,0.0
6291,2016,,0.0,0.0,,0.0,5.117,2.523,,,,,0.0,0.0,0.201,0.0,0.0,0.0,0.0,0.0,0.0,,1524228.108,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,5916.471,34000.0,51.824,0.0,0.0,0.0,0.0,,0.0,0.0
6292,2017,,,,,,,,,,,,,,0.169,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,4976.471,34000.0,,0.0,0.0,0.0,0.0,,0.0,0.0
6293,2018,,,,,,,,,,,,,,0.202,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,5944.118,34000.0,,0.0,0.0,0.0,0.0,,0.0,0.0
6294,2019,,,,,,,,,,,,,,0.199,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,5861.176,34000.0,,0.0,0.0,0.0,0.0,,0.0,0.0
